component,percentage,edge_count,max_possible,component_nodes
1,50.0,1,2,"{4011, 4013}"
16,50.0,1,2,"{3993, 3997}"
17,33.33333333333333,2,6,"{3992, 3986, 3996}"
26,50.0,1,2,"{3984, 3983}"
28,50.0,1,2,"{3980, 3981}"
30,33.33333333333333,2,6,"{3968, 3969, 3978}"
39,50.0,1,2,"{3966, 3967}"
40,50.0,1,2,"{3964, 3965}"
42,33.33333333333333,2,6,"{3962, 3948, 3950}"
44,16.666666666666664,5,30,"{3911, 3896, 3890, 3895, 3960, 3897}"
46,50.0,1,2,"{3957, 3958}"
53,50.0,1,2,"{3938, 3949}"
58,50.0,1,2,"{3916, 3943}"
62,50.0,1,2,"{3939, 3877}"
74,50.0,1,2,"{3925, 3926}"
79,50.0,1,2,"{3920, 3904}"
80,50.0,1,2,"{3882, 3919}"
86,50.0,1,2,"{3912, 3910}"
94,50.0,1,2,"{3900, 3901}"
99,50.0,1,2,"{3892, 3887}"
114,25.0,3,12,"{3873, 3826, 3828, 3825}"
120,33.33333333333333,2,6,"{3867, 3837, 3838}"
131,50.0,1,2,"{3856, 3855}"
135,50.0,1,2,"{3850, 3851}"
141,50.0,1,2,"{3836, 3844}"
145,33.33333333333333,2,6,"{3840, 3819, 3820}"
150,16.666666666666664,5,30,"{3713, 3815, 3816, 3657, 3832, 3679}"
153,50.0,1,2,"{3829, 3773}"
155,33.33333333333333,2,6,"{3824, 3721, 3656}"
159,50.0,1,2,"{3817, 3818}"
160,50.0,1,2,"{3813, 3814}"
174,33.33333333333333,2,6,"{3787, 3788, 3799}"
175,50.0,1,2,"{3796, 3798}"
176,9.090909090909092,10,110,"{3716, 3717, 3752, 3786, 3661, 3673, 3793, 3730, 3668, 3797, 3737}"
181,20.0,4,20,"{2507, 3790, 2577, 2579, 2428}"
183,33.33333333333333,2,6,"{3784, 3785, 3765}"
184,50.0,1,2,"{3782, 3783}"
196,50.0,1,2,"{3769, 1639}"
218,50.0,1,2,"{3744, 3745}"
220,50.0,1,2,"{3741, 3742}"
221,50.0,1,2,"{3738, 3740}"
226,50.0,1,2,"{3732, 3733}"
237,50.0,1,2,"{3718, 3719}"
241,30.0,6,20,"{2837, 3704, 3707, 3710, 3711}"
260,50.0,1,2,"{3688, 3689}"
262,50.0,1,2,"{3684, 3685}"
266,50.0,1,2,"{3680, 3674}"
269,50.0,1,2,"{3676, 3653}"
282,33.33333333333333,4,12,"{3392, 3368, 3659, 3430}"
283,50.0,1,2,"{1721, 3658}"
284,50.0,1,2,"{3627, 3655}"
287,50.0,1,2,"{3651, 1211}"
288,50.0,1,2,"{3633, 3650}"
290,50.0,1,2,"{3648, 3249}"
292,50.0,1,2,"{2856, 3646}"
297,50.0,1,2,"{3640, 3641}"
299,33.33333333333333,2,6,"{3616, 3619, 3638}"
302,50.0,1,2,"{3635, 3615}"
307,33.33333333333333,2,6,"{3242, 3628, 3629}"
310,33.33333333333333,2,6,"{3624, 3562, 3565}"
311,50.0,1,2,"{3588, 3623}"
312,50.0,1,2,"{3622, 3567}"
313,16.666666666666664,5,30,"{3394, 3396, 3621, 3409, 3506, 3614}"
314,25.0,3,12,"{3498, 3618, 3499, 3620}"
318,50.0,1,2,"{3611, 3596}"
321,50.0,1,2,"{3608, 3606}"
324,50.0,1,2,"{3604, 3589}"
333,16.666666666666664,5,30,"{3493, 3594, 3370, 3056, 3025, 3029}"
340,50.0,1,2,"{3584, 3585}"
