component,percentage,fixes_count,edge_count,component_nodes
1,0.0,0,1,"{4011, 4013}"
16,0.0,0,1,"{3993, 3997}"
17,0.0,0,2,"{3992, 3986, 3996}"
26,0.0,0,1,"{3984, 3983}"
28,0.0,0,1,"{3980, 3981}"
30,0.0,0,2,"{3968, 3969, 3978}"
39,0.0,0,1,"{3966, 3967}"
40,0.0,0,1,"{3964, 3965}"
42,0.0,0,2,"{3962, 3948, 3950}"
44,0.0,0,5,"{3911, 3896, 3890, 3895, 3960, 3897}"
46,0.0,0,1,"{3957, 3958}"
53,0.0,0,1,"{3938, 3949}"
58,0.0,0,1,"{3916, 3943}"
62,0.0,0,1,"{3939, 3877}"
74,0.0,0,1,"{3925, 3926}"
79,0.0,0,1,"{3920, 3904}"
80,0.0,0,1,"{3882, 3919}"
86,0.0,0,1,"{3912, 3910}"
94,0.0,0,1,"{3900, 3901}"
99,0.0,0,1,"{3892, 3887}"
114,0.0,0,3,"{3873, 3826, 3828, 3825}"
120,0.0,0,2,"{3867, 3837, 3838}"
131,100.0,1,1,"{3856, 3855}"
135,0.0,0,1,"{3850, 3851}"
141,0.0,0,1,"{3836, 3844}"
145,0.0,0,2,"{3840, 3819, 3820}"
150,0.0,0,5,"{3713, 3815, 3816, 3657, 3832, 3679}"
153,0.0,0,1,"{3829, 3773}"
155,0.0,0,2,"{3824, 3721, 3656}"
159,0.0,0,1,"{3817, 3818}"
160,0.0,0,1,"{3813, 3814}"
174,0.0,0,2,"{3787, 3788, 3799}"
175,0.0,0,1,"{3796, 3798}"
176,0.0,0,10,"{3716, 3717, 3752, 3786, 3661, 3673, 3793, 3730, 3668, 3797, 3737}"
181,0.0,0,4,"{2507, 3790, 2577, 2579, 2428}"
183,0.0,0,2,"{3784, 3785, 3765}"
184,0.0,0,1,"{3782, 3783}"
196,100.0,1,1,"{3769, 1639}"
218,0.0,0,1,"{3744, 3745}"
220,0.0,0,1,"{3741, 3742}"
221,0.0,0,1,"{3738, 3740}"
226,0.0,0,1,"{3732, 3733}"
237,100.0,1,1,"{3718, 3719}"
241,0.0,0,6,"{2837, 3704, 3707, 3710, 3711}"
260,0.0,0,1,"{3688, 3689}"
262,0.0,0,1,"{3684, 3685}"
266,0.0,0,1,"{3680, 3674}"
269,0.0,0,1,"{3676, 3653}"
282,0.0,0,4,"{3392, 3368, 3659, 3430}"
283,0.0,0,1,"{1721, 3658}"
284,0.0,0,1,"{3627, 3655}"
287,0.0,0,1,"{3651, 1211}"
288,0.0,0,1,"{3633, 3650}"
290,0.0,0,1,"{3648, 3249}"
292,0.0,0,1,"{2856, 3646}"
297,0.0,0,1,"{3640, 3641}"
299,0.0,0,2,"{3616, 3619, 3638}"
302,0.0,0,1,"{3635, 3615}"
307,0.0,0,2,"{3242, 3628, 3629}"
310,0.0,0,2,"{3624, 3562, 3565}"
311,0.0,0,1,"{3588, 3623}"
312,0.0,0,1,"{3622, 3567}"
313,20.0,1,5,"{3394, 3396, 3621, 3409, 3506, 3614}"
314,0.0,0,3,"{3498, 3618, 3499, 3620}"
318,0.0,0,1,"{3611, 3596}"
321,0.0,0,1,"{3608, 3606}"
324,0.0,0,1,"{3604, 3589}"
333,0.0,0,5,"{3493, 3594, 3370, 3056, 3025, 3029}"
340,0.0,0,1,"{3584, 3585}"
346,0.0,0,3,"{3465, 3578, 3566, 3570}"
352,0.0,0,1,"{3571, 3572}"
359,0.0,0,1,"{3556, 3559}"
368,0.0,0,1,"{3548, 3549}"
380,0.0,0,2,"{3536, 3481, 3529}"
396,0.0,0,1,"{3518, 3519}"
408,0.0,0,14,"{3299, 3236, 3497, 3019, 3341, 3342, 3343, 3505, 3282, 3292, 3286, 3322, 3324}"
415,0.0,0,1,"{2197, 3495}"
430,100.0,1,1,"{3477, 3478}"
439,100.0,1,1,"{3467, 3468}"
440,0.0,0,1,"{3464, 3463}"
447,0.0,0,2,"{3456, 3425, 3441}"
449,100.0,2,2,"{3446, 3445, 3454}"
459,0.0,0,1,"{3433, 3442}"
460,0.0,0,1,"{3440, 3439}"
461,100.0,1,1,"{3437, 3438}"
468,0.0,0,1,"{3418, 3428}"
486,0.0,0,2,"{3405, 3406, 3407}"
488,0.0,0,1,"{3403, 3398}"
489,0.0,0,6,"{3393, 3401, 3402, 3385, 3386}"
493,0.0,0,3,"{3387, 3395, 3388}"
497,0.0,0,1,"{3384, 3383}"
498,0.0,0,1,"{3381, 3382}"
505,100.0,1,1,"{3373, 3374}"
508,0.0,0,2,"{160, 3369, 3358}"
509,0.0,0,4,"{3, 3076, 3367, 2666, 3210}"
514,0.0,0,1,"{3362, 782}"
518,0.0,0,1,"{3356, 3357}"
519,0.0,0,1,"{3354, 3355}"
530,0.0,0,1,"{3339, 3340}"
547,0.0,0,1,"{3320, 3319}"
548,66.66666666666666,2,3,"{3315, 3316, 3317, 3318}"
552,0.0,0,7,"{2144, 2116, 2213, 2118, 2475, 3311, 2227, 2104}"
553,0.0,0,1,"{3309, 3310}"
556,0.0,0,5,"{3296, 3274, 3306, 3246, 3215, 3287}"
558,0.0,0,2,"{3304, 2843, 3303}"
564,0.0,0,1,"{3132, 3295}"
565,0.0,0,1,"{3291, 3294}"
570,0.0,0,1,"{3154, 3285}"
573,0.0,0,1,"{3281, 3273}"
576,0.0,0,1,"{3277, 3278}"
583,0.0,0,1,"{1640, 3268}"
584,0.0,0,5,"{3265, 3266, 3267, 3239, 3152, 3255}"
585,0.0,0,1,"{3264, 3102}"
586,0.0,0,1,"{3262, 3263}"
590,0.0,0,8,"{3202, 3172, 3205, 3109, 3133, 3221, 3192, 3258, 3197}"
592,0.0,0,7,"{1904, 2904, 2933, 1399, 3256, 1850, 2845, 2938}"
593,0.0,0,3,"{3112, 3129, 3254, 3127}"
596,0.0,0,1,"{3250, 3251}"
600,0.0,0,1,"{3243, 3244}"
602,0.0,0,2,"{3240, 3148, 3164}"
615,0.0,0,1,"{3224, 3225}"
621,100.0,1,1,"{3217, 3204}"
622,0.0,0,2,"{3216, 3106, 3188}"
626,0.0,0,1,"{3209, 3211}"
631,0.0,0,3,"{3184, 3201, 3185, 3193}"
637,0.0,0,3,"{3194, 3171, 3165, 3166}"
638,50.0,1,2,"{2436, 2413, 3191}"
639,0.0,0,1,"{3186, 3190}"
641,0.0,0,1,"{3187, 3108}"
647,0.0,0,1,"{2712, 3178}"
652,0.0,0,3,"{3136, 3104, 3173, 3159}"
655,100.0,1,1,"{3168, 3167}"
657,0.0,0,1,"{3160, 3161}"
663,0.0,0,3,"{2481, 1274, 2254, 3151}"
668,0.0,0,1,"{3145, 3143}"
669,0.0,0,2,"{3144, 418, 3131}"
674,0.0,0,1,"{3138, 3117}"
