component,percentage,edge_count,max_possible,component_nodes
15,33.33333333333333,2,6,"{809, 642, 668}"
16,50.0,1,2,"{808, 676}"
24,20.0,4,20,"{800, 778, 763, 765, 798}"
47,33.33333333333333,2,6,"{690, 699, 775}"
69,50.0,1,2,"{749, 751}"
84,11.11111111111111,8,72,"{576, 448, 646, 496, 563, 312, 633, 637, 735}"
94,50.0,1,2,"{724, 725}"
97,33.33333333333333,2,6,"{721, 516, 513}"
132,12.5,9,72,"{615, 488, 649, 585, 555, 684, 595, 603, 604}"
141,6.666666666666667,14,210,"{1, 674, 2, 3, 131, 5, 7, 40, 9, 38, 11, 13, 15, 176, 49}"
154,50.0,1,2,"{225, 660}"
160,25.0,3,12,"{577, 458, 461, 654}"
167,50.0,1,2,"{644, 645}"
204,50.0,1,2,"{601, 594}"
207,50.0,1,2,"{598, 103}"
214,50.0,1,2,"{546, 589}"
215,50.0,1,2,"{584, 588}"
232,50.0,1,2,"{558, 566}"
238,33.33333333333333,2,6,"{249, 518, 559}"
244,50.0,1,2,"{524, 551}"
270,20.0,4,20,"{486, 487, 523, 491, 498}"
286,25.0,3,12,"{504, 474, 466, 503}"
320,10.909090909090908,12,110,"{320, 321, 326, 460, 396, 442, 339, 375, 410, 349, 413}"
332,50.0,1,2,"{300, 446}"
342,50.0,1,2,"{323, 435}"
343,5.555555555555555,17,306,"{288, 292, 294, 154, 296, 298, 107, 301, 142, 434, 306, 309, 310, 152, 314, 92, 157, 63}"
354,50.0,1,2,"{329, 423}"
385,50.0,1,2,"{389, 366}"
437,50.0,1,2,"{332, 333}"
446,50.0,1,2,"{317, 318}"
461,50.0,1,2,"{290, 291}"
469,50.0,1,2,"{281, 268}"
485,33.33333333333333,2,6,"{264, 104, 143}"
522,50.0,1,2,"{226, 223}"
557,50.0,1,2,"{170, 189}"
594,50.0,1,2,"{147, 117}"
614,50.0,1,2,"{8, 124}"
642,50.0,1,2,"{82, 91}"
692,33.33333333333333,2,6,"{26, 36, 22}"
694,33.33333333333333,2,6,"{34, 27, 30}"
698,50.0,1,2,"{28, 29}"
705,50.0,1,2,"{18, 14}"
