component,percentage,edge_count,max_possible,component_nodes
0,50.0,1,2,"{477, 455}"
7,33.33333333333333,2,6,"{468, 469, 470}"
9,8.333333333333332,13,156,"{420, 421, 422, 432, 433, 466, 435, 436, 407, 408, 412, 414, 447}"
16,50.0,1,2,"{450, 459}"
17,50.0,1,2,"{458, 397}"
20,50.0,1,2,"{454, 439}"
21,25.0,3,12,"{259, 452, 453, 102}"
25,50.0,1,2,"{425, 446}"
26,50.0,1,2,"{404, 445}"
38,50.0,1,2,"{426, 428}"
41,50.0,1,2,"{247, 423}"
42,33.33333333333333,2,6,"{417, 419, 356}"
53,50.0,1,2,"{401, 402}"
57,3.488372093023256,66,1892,"{389, 390, 391, 136, 393, 395, 396, 150, 295, 296, 169, 170, 173, 304, 305, 306, 309, 311, 312, 313, 314, 317, 319, 327, 328, 329, 330, 331, 332, 334, 336, 337, 341, 342, 88, 348, 349, 353, 358, 363, 364, 365, 366, 378}"
61,50.0,1,2,"{387, 357}"
62,50.0,1,2,"{385, 386}"
64,50.0,1,2,"{381, 383}"
69,9.848484848484848,13,132,"{354, 355, 361, 367, 368, 369, 371, 372, 343, 376, 346, 318}"
72,50.0,1,2,"{362, 373}"
74,50.0,1,2,"{360, 34}"
91,16.666666666666664,7,42,"{160, 321, 322, 163, 135, 267, 171}"
93,50.0,1,2,"{315, 316}"
94,50.0,1,2,"{307, 310}"
100,33.33333333333333,2,6,"{62, 299, 14}"
104,30.0,9,30,"{293, 266, 275, 277, 278, 284}"
106,50.0,1,2,"{291, 276}"
107,50.0,1,2,"{290, 255}"
111,25.0,3,12,"{282, 269, 286, 271}"
113,33.33333333333333,2,6,"{283, 268, 118}"
114,50.0,1,2,"{280, 281}"
121,33.33333333333333,2,6,"{264, 1, 2}"
122,50.0,1,2,"{246, 263}"
126,50.0,1,2,"{257, 258}"
129,50.0,1,2,"{251, 253}"
132,33.33333333333333,2,6,"{248, 249, 244}"
137,50.0,1,2,"{240, 239}"
138,25.0,3,12,"{120, 190, 125, 238}"
140,50.0,1,2,"{233, 236}"
146,33.33333333333333,4,12,"{224, 221, 211, 229}"
149,50.0,1,2,"{226, 223}"
150,33.33333333333333,2,6,"{225, 220, 222}"
152,50.0,1,2,"{217, 218}"
153,50.0,1,2,"{216, 207}"
154,50.0,1,2,"{214, 215}"
162,33.33333333333333,2,6,"{91, 196, 204}"
163,33.33333333333333,2,6,"{203, 197, 198}"
167,50.0,1,2,"{195, 199}"
170,50.0,1,2,"{192, 191}"
174,50.0,1,2,"{185, 186}"
178,50.0,1,2,"{180, 181}"
179,50.0,1,2,"{178, 179}"
180,33.33333333333333,2,6,"{176, 177, 158}"
189,50.0,1,2,"{161, 162}"
195,50.0,1,2,"{153, 139}"
196,25.0,3,12,"{152, 64, 128, 151}"
197,19.642857142857142,11,56,"{138, 144, 146, 147, 149, 124, 126, 127}"
215,50.0,1,2,"{93, 117}"
218,50.0,1,2,"{104, 114}"
223,50.0,1,2,"{108, 109}"
229,50.0,1,2,"{100, 30}"
244,50.0,1,2,"{32, 82}"
261,50.0,1,2,"{65, 54}"
268,50.0,1,2,"{56, 15}"
274,50.0,1,2,"{48, 49}"
276,50.0,1,2,"{45, 46}"
280,50.0,1,2,"{41, 37}"
285,50.0,1,2,"{9, 35}"
306,50.0,1,2,"{8, 7}"
309,50.0,1,2,"{3, 4}"
