component,percentage,fixes_count,edge_count,component_nodes
0,0.0,0,1,"{477, 455}"
7,50.0,1,2,"{468, 469, 470}"
9,7.6923076923076925,1,13,"{420, 421, 422, 432, 433, 466, 435, 436, 407, 408, 412, 414, 447}"
16,0.0,0,1,"{450, 459}"
17,0.0,0,1,"{458, 397}"
20,100.0,1,1,"{454, 439}"
21,33.33333333333333,1,3,"{259, 452, 453, 102}"
25,100.0,1,1,"{425, 446}"
26,0.0,0,1,"{404, 445}"
38,0.0,0,1,"{426, 428}"
41,0.0,0,1,"{247, 423}"
42,0.0,0,2,"{417, 419, 356}"
53,0.0,0,1,"{401, 402}"
57,24.242424242424242,16,66,"{389, 390, 391, 136, 393, 395, 396, 150, 295, 296, 169, 170, 173, 304, 305, 306, 309, 311, 312, 313, 314, 317, 319, 327, 328, 329, 330, 331, 332, 334, 336, 337, 341, 342, 88, 348, 349, 353, 358, 363, 364, 365, 366, 378}"
61,100.0,1,1,"{387, 357}"
62,0.0,0,1,"{385, 386}"
64,100.0,1,1,"{381, 383}"
69,53.84615384615385,7,13,"{354, 355, 361, 367, 368, 369, 371, 372, 343, 376, 346, 318}"
72,100.0,1,1,"{362, 373}"
74,0.0,0,1,"{360, 34}"
91,0.0,0,7,"{160, 321, 322, 163, 135, 267, 171}"
93,0.0,0,1,"{315, 316}"
94,0.0,0,1,"{307, 310}"
100,0.0,0,2,"{62, 299, 14}"
104,0.0,0,9,"{293, 266, 275, 277, 278, 284}"
106,100.0,1,1,"{291, 276}"
107,100.0,1,1,"{290, 255}"
111,0.0,0,3,"{282, 269, 286, 271}"
113,0.0,0,2,"{283, 268, 118}"
114,0.0,0,1,"{280, 281}"
121,0.0,0,2,"{264, 1, 2}"
122,100.0,1,1,"{246, 263}"
126,100.0,1,1,"{257, 258}"
129,0.0,0,1,"{251, 253}"
132,50.0,1,2,"{248, 249, 244}"
137,0.0,0,1,"{240, 239}"
138,33.33333333333333,1,3,"{120, 190, 125, 238}"
140,100.0,1,1,"{233, 236}"
146,0.0,0,4,"{224, 221, 211, 229}"
149,0.0,0,1,"{226, 223}"
150,0.0,0,2,"{225, 220, 222}"
152,0.0,0,1,"{217, 218}"
153,0.0,0,1,"{216, 207}"
154,0.0,0,1,"{214, 215}"
162,50.0,1,2,"{91, 196, 204}"
163,50.0,1,2,"{203, 197, 198}"
167,0.0,0,1,"{195, 199}"
170,100.0,1,1,"{192, 191}"
174,0.0,0,1,"{185, 186}"
178,100.0,1,1,"{180, 181}"
179,0.0,0,1,"{178, 179}"
180,0.0,0,2,"{176, 177, 158}"
189,0.0,0,1,"{161, 162}"
195,100.0,1,1,"{153, 139}"
196,33.33333333333333,1,3,"{152, 64, 128, 151}"
197,0.0,0,11,"{138, 144, 146, 147, 149, 124, 126, 127}"
215,0.0,0,1,"{93, 117}"
218,0.0,0,1,"{104, 114}"
223,0.0,0,1,"{108, 109}"
229,0.0,0,1,"{100, 30}"
244,0.0,0,1,"{32, 82}"
261,0.0,0,1,"{65, 54}"
268,0.0,0,1,"{56, 15}"
274,0.0,0,1,"{48, 49}"
276,100.0,1,1,"{45, 46}"
280,0.0,0,1,"{41, 37}"
285,0.0,0,1,"{9, 35}"
306,0.0,0,1,"{8, 7}"
309,0.0,0,1,"{3, 4}"
