component,percentage,edge_count,max_possible,component_nodes
10,33.33333333333333,2,6,"{91, 7429, 8215}"
27,50.0,1,2,"{8198, 7918}"
28,50.0,1,2,"{8196, 8103}"
30,50.0,1,2,"{8194, 7762}"
36,50.0,1,2,"{8187, 8159}"
43,0.6532663316582915,260,39800,"{1, 2, 513, 5126, 6663, 6150, 2567, 1031, 5131, 5133, 1550, 2578, 1554, 21, 5142, 5143, 5144, 5145, 539, 5149, 5150, 6175, 1565, 1574, 5159, 5160, 6697, 6193, 6194, 4146, 56, 57, 1592, 59, 1594, 61, 4159, 6722, 7753, 4169, 75, 4171, 1610, 6222, 5200, 5201, 2645, 1110, 2135, 4186, 4188, 1116, 4191, 7264, 100, 1637, 102, 4202, 1648, 2161, 5745, 5111, 4210, 4222, 5759, 6784, 5760, 5761, 1150, 6281, 7305, 6283, 5116, 1166, 1685, 1687, 1690, 7842, 2211, 1702, 6825, 7858, 5819, 1726, 6851, 2244, 2254, 5846, 5847, 222, 1249, 1766, 1768, 2282, 5867, 1774, 5871, 5880, 5882, 5889, 6914, 264, 777, 6925, 2318, 6414, 2320, 5910, 2336, 813, 5942, 7992, 5951, 5955, 5959, 5971, 6996, 2392, 5978, 5980, 1892, 8039, 5991, 7017, 1387, 2417, 1393, 6516, 1396, 2422, 2423, 1399, 2425, 2424, 1401, 2429, 1408, 2434, 6020, 2436, 900, 903, 1928, 7049, 1421, 6030, 6553, 6041, 6554, 6556, 3996, 2462, 6047, 1434, 7075, 1444, 1957, 6054, 423, 7594, 4011, 2476, 6061, 7595, 2475, 7605, 1461, 6078, 1471, 2499, 6084, 1478, 969, 2512, 5072, 5076, 5078, 1500, 8158, 990, 4064, 991, 994, 995, 1510, 8167, 8168, 1515, 5100, 2544, 2033, 8180, 5109, 6134, 2549, 5113, 5114, 6652, 5117, 5119}"
44,50.0,1,2,"{8064, 8179}"
55,14.444444444444443,13,90,"{8162, 1282, 2598, 1094, 2568, 6507, 333, 2200, 1755, 444}"
60,33.33333333333333,2,6,"{8154, 8155, 39}"
67,50.0,1,2,"{8147, 7669}"
93,25.0,3,12,"{7386, 7411, 8118, 8119}"
95,50.0,1,2,"{8114, 124}"
97,50.0,1,2,"{8112, 1538}"
99,50.0,1,2,"{8082, 8109}"
102,50.0,1,2,"{8104, 7345}"
107,20.0,4,20,"{5, 8, 9, 208, 8095}"
108,33.33333333333333,4,12,"{7592, 7944, 8094, 7943}"
111,50.0,1,2,"{8091, 7999}"
112,50.0,1,2,"{8090, 127}"
120,33.33333333333333,4,12,"{1803, 8075, 1804, 1806}"
122,33.33333333333333,2,6,"{5220, 46, 8071}"
128,50.0,1,2,"{8048, 8062}"
133,50.0,1,2,"{8057, 7809}"
137,50.0,1,2,"{8052, 8046}"
140,33.33333333333333,2,6,"{7417, 7421, 8047}"
147,50.0,1,2,"{8002, 8037}"
151,50.0,1,2,"{8032, 8026}"
152,33.33333333333333,2,6,"{5839, 7394, 8031}"
168,33.33333333333333,2,6,"{67, 7996, 6302}"
182,50.0,1,2,"{7969, 7978}"
192,50.0,1,2,"{7964, 7966}"
194,10.0,11,110,"{2529, 2530, 2526, 6089, 6442, 6506, 6448, 6096, 7963, 2525, 5214}"
203,50.0,1,2,"{7954, 7941}"
207,50.0,1,2,"{7949, 7950}"
212,50.0,1,2,"{7554, 7942}"
217,50.0,1,2,"{7936, 5171}"
224,50.0,1,2,"{7928, 5857}"
229,50.0,1,2,"{7432, 7923}"
234,50.0,1,2,"{7917, 6783}"
261,50.0,1,2,"{7889, 7890}"
262,50.0,1,2,"{7888, 6499}"
264,50.0,1,2,"{7805, 7886}"
270,50.0,1,2,"{7872, 7877}"
271,25.0,3,12,"{2355, 7873, 7874, 7867}"
280,50.0,1,2,"{7292, 7861}"
300,33.33333333333333,2,6,"{7833, 6383, 1849}"
305,50.0,1,2,"{7795, 7828}"
309,50.0,1,2,"{7824, 7745}"
311,50.0,1,2,"{7818, 7822}"
314,50.0,1,2,"{7680, 7819}"
331,50.0,1,2,"{7721, 7794}"
337,50.0,1,2,"{7787, 7782}"
376,50.0,1,2,"{7512, 7731}"
381,33.33333333333333,2,6,"{7312, 7705, 7726}"
385,6.666666666666667,14,210,"{7718, 7654, 7720, 7497, 7495, 7498, 7499, 7500, 7496, 7663, 7662, 7571, 7507, 5851, 7709}"
417,50.0,1,2,"{7659, 7676}"
424,50.0,1,2,"{7668, 7039}"
426,50.0,1,2,"{7666, 7660}"
432,7.142857142857142,15,210,"{32, 7649, 2272, 7651, 2596, 4037, 6212, 4003, 7656, 2632, 2380, 18, 19, 4026, 31}"
444,25.0,3,12,"{7048, 7641, 83, 7047}"
447,50.0,1,2,"{7633, 7634}"
450,50.0,1,2,"{7617, 7630}"
451,50.0,1,2,"{7620, 7629}"
458,50.0,1,2,"{7621, 7622}"
459,50.0,1,2,"{7618, 7619}"
466,50.0,1,2,"{7610, 7603}"
475,33.33333333333333,2,6,"{7539, 7534, 7599}"
