component,percentage,fixes_count,edge_count,component_nodes
0,33.33333333333333,1,3,"{1714, 1715, 1838, 1839}"
2,12.82798833819242,88,686,"{1, 4, 8, 12, 24, 26, 44, 56, 59, 73, 104, 113, 116, 130, 131, 135, 138, 150, 153, 155, 156, 158, 168, 171, 179, 181, 182, 210, 212, 216, 219, 234, 245, 246, 254, 256, 257, 258, 266, 271, 272, 278, 283, 284, 285, 286, 293, 294, 295, 298, 308, 309, 312, 313, 328, 331, 332, 335, 351, 357, 369, 385, 391, 396, 404, 409, 416, 418, 419, 426, 431, 436, 437, 440, 442, 453, 456, 457, 458, 459, 464, 465, 468, 469, 471, 472, 475, 476, 480, 481, 482, 483, 484, 486, 487, 488, 489, 490, 491, 496, 498, 499, 501, 502, 505, 509, 510, 512, 513, 514, 519, 521, 522, 523, 526, 527, 531, 532, 533, 536, 560, 570, 574, 595, 596, 615, 616, 617, 618, 621, 624, 639, 653, 655, 656, 657, 665, 666, 668, 672, 692, 693, 701, 703, 704, 705, 715, 729, 745, 748, 754, 767, 768, 779, 780, 782, 783, 790, 792, 797, 805, 811, 815, 817, 819, 821, 822, 838, 850, 852, 855, 863, 866, 873, 876, 879, 880, 884, 895, 897, 903, 906, 908, 909, 920, 921, 922, 923, 925, 927, 928, 929, 930, 935, 938, 939, 948, 949, 951, 954, 956, 960, 961, 963, 967, 970, 976, 978, 983, 985, 990, 994, 995, 996, 997, 998, 999, 1000, 1003, 1004, 1007, 1009, 1010, 1020, 1021, 1026, 1027, 1028, 1031, 1033, 1036, 1037, 1038, 1039, 1041, 1043, 1044, 1045, 1047, 1051, 1054, 1055, 1056, 1057, 1058, 1060, 1062, 1063, 1064, 1069, 1072, 1073, 1074, 1075, 1076, 1077, 1084, 1085, 1086, 1087, 1088, 1089, 1090, 1091, 1092, 1093, 1095, 1096, 1097, 1098, 1099, 1100, 1101, 1102, 1103, 1104, 1105, 1107, 1108, 1109, 1110, 1111, 1114, 1115, 1117, 1118, 1120, 1121, 1122, 1126, 1128, 1130, 1136, 1137, 1145, 1148, 1151, 1155, 1158, 1160, 1161, 1165, 1167, 1168, 1171, 1180, 1189, 1194, 1197, 1198, 1201, 1202, 1203, 1204, 1207, 1208, 1213, 1220, 1221, 1222, 1225, 1226, 1228, 1229, 1232, 1235, 1236, 1239, 1243, 1245, 1248, 1249, 1258, 1261, 1271, 1283, 1292, 1296, 1297, 1298, 1302, 1303, 1313, 1316, 1317, 1322, 1323, 1328, 1329, 1330, 1331, 1332, 1342, 1345, 1346, 1352, 1356, 1361, 1364, 1366, 1367, 1368, 1371, 1372, 1375, 1376, 1379, 1381, 1382, 1383, 1387, 1388, 1389, 1396, 1401, 1407, 1414, 1421, 1426, 1427, 1428, 1429, 1433, 1435, 1439, 1442, 1445, 1446, 1456, 1457, 1461, 1474, 1481, 1487, 1491, 1493, 1494, 1498, 1499, 1504, 1505, 1506, 1508, 1509, 1514, 1515, 1518, 1522, 1526, 1529, 1531, 1532, 1536, 1537, 1542, 1548, 1557, 1558, 1559, 1562, 1563, 1564, 1571, 1572, 1573, 1584, 1585, 1586, 1592, 1596, 1606, 1607, 1611, 1614, 1619, 1620, 1628, 1629, 1630, 1633, 1641, 1642, 1645, 1649, 1654, 1655, 1662, 1663, 1664, 1670, 1671, 1674, 1675, 1678, 1682, 1686, 1687, 1690, 1691, 1692, 1694, 1716, 1717, 1718, 1719, 1727, 1728, 1731, 1734, 1742, 1752, 1753, 1755, 1756, 1757, 1760, 1776, 1780, 1785, 1812, 1814, 1828, 1831, 1834, 1836}"
6,100.0,1,1,"{1829, 1830}"
9,66.66666666666666,2,3,"{1824, 1778, 1764, 1782}"
11,28.57142857142857,4,14,"{1797, 1769, 1770, 1771, 1822, 1821, 1790}"
13,20.0,1,5,"{1793, 1796, 1800, 1801, 1802, 1817}"
21,0.0,0,2,"{1777, 1779, 1791}"
26,0.0,0,1,"{1774, 1775}"
33,100.0,1,1,"{1761, 1762}"
34,100.0,1,1,"{1758, 1759}"
39,100.0,1,1,"{1744, 1745}"
43,0.0,0,2,"{1729, 1738, 1726}"
51,0.0,0,1,"{1722, 1468}"
57,0.0,0,1,"{1705, 1706}"
60,50.0,1,2,"{1697, 1699, 1701}"
62,50.0,1,2,"{1696, 1667, 1677}"
71,0.0,0,2,"{1672, 1673, 1668}"
73,100.0,1,1,"{1665, 1661}"
74,33.33333333333333,1,3,"{1652, 1651, 1660}"
76,50.0,1,2,"{1657, 1658, 367}"
79,0.0,0,2,"{1521, 1650, 1510}"
80,50.0,1,2,"{1648, 1646, 1647}"
83,100.0,1,1,"{1627, 1613}"
84,100.0,1,1,"{1425, 1618}"
90,100.0,1,1,"{1339, 1603}"
91,70.0,7,10,"{1602, 1538, 1541, 1478, 1580, 1424, 1500}"
92,50.0,1,2,"{1601, 1582, 1583}"
93,66.66666666666666,2,3,"{1600, 1597, 1598, 1599}"
107,100.0,1,1,"{1565, 1566}"
113,100.0,1,1,"{1448, 1545}"
118,0.0,0,5,"{1473, 108, 54, 27, 796, 1533}"
124,0.0,0,1,"{1512, 1511}"
125,100.0,1,1,"{268, 1503}"
128,16.666666666666664,1,6,"{1440, 1441, 1495, 1496, 1497, 1438}"
130,33.33333333333333,1,3,"{1488, 1489, 1341, 1477}"
133,100.0,1,1,"{1400, 1484}"
134,100.0,1,1,"{1483, 1301}"
135,50.0,1,2,"{1480, 1067, 1363}"
141,100.0,1,1,"{1464, 1469}"
142,0.0,0,8,"{549, 552, 937, 778, 688, 537, 1466, 542, 543}"
154,0.0,0,1,"{1436, 1437}"
158,50.0,1,2,"{1417, 1419, 1422}"
159,100.0,1,1,"{1418, 1420}"
161,44.44444444444444,4,9,"{1410, 1411, 1412, 103, 597, 25, 1403, 1405, 1406}"
162,100.0,1,1,"{1409, 1397}"
169,100.0,1,1,"{1392, 1385}"
170,100.0,1,1,"{1386, 1391}"
173,100.0,1,1,"{1357, 1373}"
174,33.33333333333333,1,3,"{1360, 1370, 1282, 1333}"
176,100.0,1,1,"{1338, 1365}"
182,100.0,1,1,"{1344, 1343}"
187,0.0,0,1,"{795, 1325}"
191,100.0,1,1,"{1312, 1311}"
192,0.0,0,1,"{1209, 1306}"
198,0.0,0,2,"{592, 1284, 589}"
206,100.0,1,1,"{1240, 1257}"
209,66.66666666666666,2,3,"{1252, 1253, 1254}"
212,0.0,0,1,"{1234, 1244}"
213,100.0,1,1,"{1241, 1242}"
216,0.0,0,1,"{1233, 1230}"
217,25.0,1,4,"{1169, 1170, 1211, 1231}"
219,100.0,1,1,"{1224, 1217}"
220,100.0,1,1,"{1214, 1223}"
227,0.0,0,1,"{1205, 1206}"
239,100.0,1,1,"{1178, 1179}"
243,0.0,0,1,"{1172, 1173}"
245,0.0,0,1,"{1164, 807}"
246,0.0,0,3,"{1163, 1012, 422, 862}"
250,0.0,0,1,"{1152, 1156}"
253,0.0,0,2,"{1144, 710, 1150}"
258,100.0,1,1,"{1142, 1119}"
299,0.0,0,1,"{1034, 1035}"
306,0.0,0,1,"{973, 1022}"
307,100.0,1,1,"{1019, 1013}"
308,100.0,1,1,"{1018, 853}"
311,0.0,0,1,"{945, 1015}"
322,0.0,0,1,"{641, 989}"
324,0.0,0,1,"{986, 987}"
327,0.0,0,1,"{980, 981}"
334,100.0,1,1,"{969, 962}"
346,0.0,0,1,"{947, 492}"
347,100.0,1,1,"{946, 899}"
348,100.0,1,1,"{944, 936}"
350,50.0,1,2,"{940, 941, 942}"
359,0.0,0,1,"{915, 917}"
374,0.0,0,1,"{785, 894}"
389,0.0,0,1,"{874, 875}"
391,0.0,0,2,"{576, 827, 871}"
394,6.666666666666667,1,15,"{769, 867, 868, 837, 648, 649, 720, 529, 786}"
400,50.0,1,2,"{858, 771, 846}"
418,0.0,0,2,"{584, 833, 583}"
429,0.0,0,23,"{129, 133, 775, 788, 789, 793, 794, 31, 34, 818, 697, 315, 699, 707, 78, 609, 758, 123, 764, 765, 766}"
435,0.0,0,1,"{809, 541}"
449,0.0,0,3,"{777, 738, 734}"
458,0.0,0,2,"{760, 619, 660}"
460,50.0,1,2,"{259, 757, 751}"
472,0.0,0,1,"{741, 326}"
487,0.0,0,1,"{721, 723}"
491,0.0,0,1,"{717, 711}"
493,0.0,0,2,"{690, 714, 700}"
497,0.0,0,1,"{708, 695}"
500,0.0,0,1,"{682, 698}"
519,0.0,0,5,"{554, 46, 148, 188, 221, 671}"
535,100.0,1,1,"{644, 645}"
558,0.0,0,1,"{611, 612}"
559,100.0,1,1,"{608, 610}"
560,0.0,0,1,"{470, 607}"
562,40.0,2,5,"{176, 177, 601, 602, 605}"
567,0.0,0,1,"{586, 598}"
571,0.0,0,1,"{565, 590}"
576,0.0,0,1,"{571, 581}"
578,0.0,0,1,"{578, 579}"
583,0.0,0,2,"{432, 569, 389}"
585,0.0,0,1,"{511, 567}"
597,0.0,0,1,"{547, 551}"
602,0.0,0,1,"{544, 540}"
625,0.0,0,3,"{425, 420, 412, 493}"
629,100.0,1,1,"{474, 477}"
633,0.0,0,1,"{424, 463}"
635,0.0,0,1,"{400, 461}"
640,0.0,0,1,"{451, 444}"
655,100.0,1,1,"{296, 429}"
662,0.0,0,2,"{376, 374, 414}"
669,0.0,0,3,"{225, 267, 405, 359}"
676,100.0,1,1,"{393, 395}"
677,12.5,1,8,"{355, 356, 327, 394, 362, 363, 365, 368}"
678,0.0,0,1,"{392, 388}"
681,0.0,0,1,"{386, 382}"
689,0.0,0,1,"{373, 375}"
693,0.0,0,1,"{360, 366}"
701,0.0,0,5,"{344, 345, 346, 347, 348, 349}"
702,0.0,0,1,"{342, 343}"
715,0.0,0,1,"{322, 323}"
716,100.0,1,1,"{320, 321}"
766,0.0,0,1,"{243, 189}"
771,0.0,0,3,"{146, 147, 237, 238}"
790,0.0,0,1,"{211, 213}"
791,0.0,0,2,"{209, 206, 199}"
793,0.0,0,2,"{2, 141, 207}"
794,0.0,0,1,"{200, 205}"
811,0.0,0,3,"{184, 137, 163}"
813,0.0,0,1,"{180, 166}"
819,0.0,0,1,"{169, 170}"
828,0.0,0,1,"{154, 149}"
835,0.0,0,1,"{139, 140}"
839,0.0,0,4,"{128, 127, 126, 47}"
862,0.0,0,2,"{97, 92, 55}"
867,0.0,0,3,"{43, 91, 60, 53}"
873,100.0,1,1,"{84, 85}"
875,0.0,0,1,"{81, 82}"
879,0.0,0,1,"{76, 38}"
880,0.0,0,2,"{58, 75, 45}"
907,100.0,1,1,"{32, 33}"
911,100.0,1,1,"{22, 23}"
912,100.0,1,1,"{21, 14}"
913,50.0,1,2,"{18, 20, 15}"
915,0.0,0,2,"{16, 17, 13}"
