component,percentage,edge_count,max_possible,component_nodes
0,50.0,1,2,"{205, 206}"
1,33.33333333333333,2,6,"{162, 180, 204}"
7,33.33333333333333,2,6,"{177, 187, 196}"
31,50.0,1,2,"{168, 169}"
46,50.0,1,2,"{152, 150}"
50,50.0,1,2,"{146, 147}"
52,50.0,1,2,"{144, 87}"
54,50.0,1,2,"{141, 142}"
55,33.33333333333333,4,12,"{120, 121, 123, 140}"
57,50.0,1,2,"{136, 138}"
63,50.0,1,2,"{130, 131}"
72,50.0,1,2,"{117, 118}"
89,33.33333333333333,2,6,"{48, 57, 100}"
92,50.0,1,2,"{96, 97}"
94,50.0,1,2,"{93, 94}"
97,5.952380952380952,25,420,"{1, 3, 4, 5, 6, 7, 8, 9, 11, 15, 18, 19, 20, 21, 23, 32, 33, 34, 43, 89, 90}"
103,30.0,6,20,"{2, 75, 78, 79, 82}"
104,16.071428571428573,9,56,"{80, 81, 50, 49, 51, 53, 54, 55}"
112,23.333333333333332,7,30,"{64, 65, 66, 69, 61, 63}"
134,50.0,1,2,"{29, 30}"
