component,percentage,fixes_count,edge_count,component_nodes
0,0.0,0,1,"{205, 206}"
1,0.0,0,2,"{162, 180, 204}"
7,0.0,0,2,"{177, 187, 196}"
31,100.0,1,1,"{168, 169}"
46,100.0,1,1,"{152, 150}"
50,0.0,0,1,"{146, 147}"
52,0.0,0,1,"{144, 87}"
54,0.0,0,1,"{141, 142}"
55,25.0,1,4,"{120, 121, 123, 140}"
57,0.0,0,1,"{136, 138}"
63,0.0,0,1,"{130, 131}"
72,0.0,0,1,"{117, 118}"
89,0.0,0,2,"{48, 57, 100}"
92,0.0,0,1,"{96, 97}"
94,0.0,0,1,"{93, 94}"
97,0.0,0,25,"{1, 3, 4, 5, 6, 7, 8, 9, 11, 15, 18, 19, 20, 21, 23, 32, 33, 34, 43, 89, 90}"
103,33.33333333333333,2,6,"{2, 75, 78, 79, 82}"
104,11.11111111111111,1,9,"{80, 81, 50, 49, 51, 53, 54, 55}"
112,0.0,0,7,"{64, 65, 66, 69, 61, 63}"
134,0.0,0,1,"{29, 30}"
