component,percentage,edge_count,max_possible,component_nodes
6,50.0,1,2,"{1450, 1466}"
11,50.0,1,2,"{1461, 1453}"
14,50.0,1,2,"{1458, 1358}"
15,50.0,1,2,"{1457, 1054}"
16,50.0,1,2,"{1456, 1455}"
29,33.92857142857143,19,56,"{1430, 1431, 1432, 1433, 1434, 1436, 1437, 1439}"
35,33.33333333333333,2,6,"{1425, 362, 451}"
37,50.0,1,2,"{1411, 1423}"
45,0.37070032170254885,749,202050,"{2, 4, 5, 7, 16, 41, 56, 72, 78, 82, 94, 97, 117, 120, 124, 125, 139, 147, 149, 150, 154, 167, 184, 193, 195, 208, 209, 210, 218, 227, 228, 230, 239, 244, 246, 249, 253, 254, 264, 265, 270, 272, 281, 285, 286, 291, 297, 302, 304, 305, 306, 308, 309, 311, 312, 313, 316, 317, 318, 320, 321, 324, 325, 326, 328, 329, 330, 332, 333, 334, 335, 336, 337, 338, 339, 346, 347, 349, 355, 357, 358, 359, 361, 363, 364, 366, 371, 376, 377, 379, 380, 384, 390, 393, 394, 399, 407, 408, 410, 413, 415, 422, 425, 426, 427, 428, 429, 430, 436, 440, 441, 445, 455, 457, 460, 464, 467, 469, 470, 472, 473, 475, 476, 491, 496, 498, 499, 501, 502, 503, 506, 507, 508, 509, 511, 514, 515, 518, 526, 528, 530, 531, 537, 538, 544, 549, 551, 552, 557, 558, 559, 562, 572, 574, 575, 576, 578, 585, 588, 589, 590, 594, 596, 601, 604, 605, 606, 607, 608, 610, 620, 621, 632, 633, 634, 635, 641, 642, 643, 644, 645, 646, 648, 654, 655, 659, 660, 661, 662, 665, 668, 669, 670, 672, 674, 675, 676, 677, 678, 680, 681, 682, 683, 684, 688, 689, 690, 691, 692, 693, 697, 700, 701, 702, 703, 706, 709, 710, 716, 717, 718, 721, 723, 724, 726, 727, 728, 736, 737, 739, 742, 743, 744, 745, 746, 751, 752, 756, 757, 758, 760, 761, 763, 765, 766, 768, 770, 771, 772, 773, 774, 775, 776, 780, 781, 782, 783, 784, 785, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 799, 800, 801, 804, 806, 807, 808, 810, 812, 814, 815, 816, 819, 820, 821, 824, 825, 827, 828, 829, 830, 837, 838, 840, 841, 844, 846, 852, 856, 858, 860, 862, 863, 867, 868, 870, 872, 875, 877, 878, 880, 881, 882, 884, 885, 887, 890, 891, 892, 893, 896, 897, 899, 900, 901, 902, 904, 905, 907, 909, 914, 916, 917, 918, 919, 920, 922, 923, 924, 925, 926, 929, 930, 932, 934, 938, 939, 940, 941, 945, 947, 951, 955, 956, 962, 963, 964, 966, 967, 968, 969, 970, 971, 972, 973, 978, 979, 980, 981, 982, 985, 986, 988, 989, 990, 992, 993, 994, 996, 997, 998, 1000, 1004, 1005, 1008, 1009, 1010, 1011, 1012, 1014, 1015, 1016, 1017, 1019, 1020, 1021, 1023, 1024, 1025, 1032, 1037, 1042, 1046, 1051, 1052, 1055, 1056, 1060, 1065, 1070, 1071, 1079, 1083, 1084, 1085, 1086, 1089, 1090, 1096, 1097, 1103, 1108, 1109, 1110, 1112, 1115, 1118, 1120, 1124, 1127, 1128, 1130, 1131, 1132, 1137, 1146, 1150, 1153, 1159, 1166, 1188, 1237, 1240, 1254, 1259, 1260, 1261, 1310, 1405, 1414}"
47,25.0,3,12,"{1400, 1410, 1387, 1406}"
50,33.33333333333333,4,12,"{1401, 1228, 1229, 1407}"
64,50.0,3,6,"{1365, 1382, 1383}"
65,25.0,5,20,"{1379, 1380, 1334, 1241, 1244}"
66,50.0,1,2,"{1378, 1375}"
67,50.0,1,2,"{1376, 1377}"
68,50.0,1,2,"{1373, 1374}"
72,25.0,3,12,"{1369, 1340, 1317, 1359}"
81,50.0,1,2,"{1357, 1175}"
89,33.33333333333333,2,6,"{1321, 1195, 1349}"
95,50.0,1,2,"{256, 1343}"
116,50.0,1,2,"{1315, 1319}"
125,50.0,1,2,"{1307, 1143}"
129,7.6923076923076925,14,182,"{1249, 1284, 1252, 1253, 1288, 1257, 1225, 1227, 1231, 1232, 1201, 1266, 1204, 1303}"
134,50.0,1,2,"{1298, 1213}"
145,50.0,1,2,"{1285, 1286}"
156,50.0,3,6,"{1273, 1267, 1263}"
187,50.0,1,2,"{1220, 1221}"
194,50.0,1,2,"{1211, 1212}"
195,50.0,1,2,"{1210, 261}"
197,21.428571428571427,9,42,"{1092, 650, 822, 1208, 1116, 1117, 1119}"
198,50.0,1,2,"{178, 1207}"
208,50.0,1,2,"{1193, 1190}"
209,50.0,1,2,"{1192, 1177}"
216,33.33333333333333,2,6,"{1098, 1095, 1183}"
238,50.0,1,2,"{1156, 1157}"
249,50.0,1,2,"{1138, 1141}"
255,50.0,1,2,"{1061, 1133}"
268,33.33333333333333,2,6,"{1104, 1040, 1034}"
270,50.0,1,2,"{1050, 1101}"
281,16.666666666666664,5,30,"{236, 237, 1073, 1077, 1078, 927}"
284,50.0,1,2,"{1074, 1059}"
306,20.0,4,20,"{673, 1026, 487, 488, 1035}"
327,50.0,1,2,"{977, 975}"
333,33.33333333333333,2,6,"{777, 778, 959}"
359,50.0,1,2,"{280, 906}"
372,50.0,1,2,"{859, 871}"
373,33.33333333333333,2,6,"{823, 869, 855}"
374,33.33333333333333,2,6,"{864, 865, 866}"
377,50.0,1,2,"{853, 854}"
387,33.33333333333333,2,6,"{834, 835, 836}"
393,25.0,5,20,"{813, 45, 46, 47, 817}"
394,50.0,1,2,"{618, 811}"
396,50.0,1,2,"{629, 805}"
401,50.0,1,2,"{779, 271}"
416,50.0,1,2,"{738, 732}"
424,25.0,3,12,"{200, 81, 722, 188}"
434,50.0,1,2,"{640, 705}"
442,50.0,1,2,"{685, 686}"
446,50.0,1,2,"{664, 666}"
448,50.0,1,2,"{657, 658}"
450,50.0,1,2,"{652, 653}"
451,50.0,1,2,"{96, 651}"
464,50.0,1,2,"{624, 623}"
470,50.0,1,2,"{370, 614}"
491,50.0,3,6,"{386, 395, 580}"
494,50.0,1,2,"{504, 573}"
496,50.0,1,2,"{560, 570}"
499,50.0,1,2,"{564, 567}"
503,50.0,1,2,"{561, 354}"
511,50.0,1,2,"{545, 546}"
523,50.0,1,2,"{525, 527}"
527,50.0,1,2,"{520, 521}"
537,50.0,1,2,"{493, 494}"
541,33.33333333333333,2,6,"{483, 485, 486}"
545,50.0,1,2,"{480, 477}"
546,50.0,1,2,"{478, 479}"
552,50.0,1,2,"{353, 463}"
558,50.0,3,6,"{452, 453, 454}"
559,25.0,3,12,"{450, 250, 298, 223}"
566,25.0,3,12,"{442, 203, 204, 206}"
567,50.0,1,2,"{438, 439}"
576,25.0,3,12,"{416, 418, 420, 421}"
577,50.0,1,2,"{419, 391}"
584,33.33333333333333,2,6,"{402, 405, 398}"
586,33.33333333333333,2,6,"{369, 145, 403}"
589,50.0,1,2,"{397, 382}"
594,50.0,1,2,"{385, 387}"
599,50.0,1,2,"{373, 374}"
605,33.33333333333333,2,6,"{352, 356, 350}"
624,33.33333333333333,2,6,"{299, 100, 301}"
627,50.0,1,2,"{268, 295}"
632,50.0,1,2,"{289, 282}"
639,50.0,1,2,"{276, 277}"
640,50.0,1,2,"{274, 275}"
653,20.0,4,20,"{211, 212, 213, 214, 251}"
665,50.0,3,6,"{232, 220, 221}"
666,50.0,1,2,"{229, 231}"
671,25.0,3,12,"{216, 217, 219, 215}"
674,50.0,1,2,"{201, 202}"
679,20.0,6,30,"{160, 192, 194, 182, 187, 156}"
686,50.0,1,2,"{179, 181}"
688,50.0,1,2,"{177, 175}"
693,50.0,1,2,"{171, 165}"
695,50.0,1,2,"{152, 169}"
696,50.0,1,2,"{168, 144}"
706,50.0,1,2,"{153, 148}"
716,50.0,1,2,"{134, 135}"
719,50.0,3,6,"{128, 131, 127}"
723,25.0,3,12,"{109, 106, 123, 101}"
732,50.0,1,2,"{112, 111}"
735,50.0,1,2,"{107, 86}"
737,50.0,1,2,"{104, 98}"
761,50.0,1,2,"{69, 15}"
763,50.0,1,2,"{66, 67}"
764,33.33333333333333,2,6,"{64, 65, 63}"
772,50.0,1,2,"{36, 54}"
775,50.0,1,2,"{51, 44}"
776,50.0,1,2,"{50, 38}"
789,33.33333333333333,2,6,"{25, 26, 30}"
803,50.0,1,2,"{12, 6}"
804,50.0,1,2,"{9, 11}"
