component,percentage,edge_count,max_possible,component_nodes
20,50.0,1,2,"{218, 219}"
42,25.0,3,12,"{177, 154, 196, 141}"
59,33.33333333333333,2,6,"{179, 100, 175}"
68,50.0,1,2,"{168, 167}"
71,50.0,1,2,"{163, 164}"
72,50.0,1,2,"{160, 162}"
85,11.11111111111111,8,72,"{73, 137, 77, 145, 146, 83, 147, 84, 118}"
92,33.33333333333333,2,6,"{136, 131, 134}"
95,25.0,3,12,"{88, 89, 132, 22}"
101,10.0,9,90,"{58, 69, 105, 115, 120, 121, 122, 91, 124, 125}"
103,50.0,1,2,"{104, 119}"
118,50.0,1,2,"{99, 95}"
121,50.0,1,2,"{96, 93}"
125,50.0,1,2,"{31, 87}"
130,50.0,1,2,"{80, 70}"
142,14.285714285714285,6,42,"{64, 40, 44, 45, 47, 48, 63}"
144,50.0,1,2,"{60, 61}"
148,50.0,1,2,"{54, 55}"
149,50.0,1,2,"{50, 53}"
154,50.0,1,2,"{42, 43}"
155,50.0,1,2,"{41, 15}"
156,33.33333333333333,2,6,"{33, 29, 39}"
158,26.666666666666668,8,30,"{1, 36, 37, 6, 26, 27}"
163,33.33333333333333,2,6,"{18, 28, 20}"
164,50.0,3,6,"{24, 25, 23}"
165,25.0,3,12,"{16, 8, 10, 21}"
168,50.0,1,2,"{9, 14}"
