Row Labels,Count of total_comments_per_component,Count of total_comments_per_component2
1,13563,70.77%
2,3442,17.96%
3,955,4.98%
4,443,2.31%
5,216,1.13%
6,130,0.68%
7,86,0.45%
8,61,0.32%
9,42,0.22%
10,27,0.14%
11,32,0.17%
12,18,0.09%
13,13,0.07%
14,12,0.06%
15,20,0.10%
16,5,0.03%
17,8,0.04%
18,4,0.02%
19,6,0.03%
20,3,0.02%
21,8,0.04%
22,1,0.01%
23,3,0.02%
24,3,0.02%
25,4,0.02%
26,1,0.01%
27,4,0.02%
28,1,0.01%
30,3,0.02%
31,2,0.01%
32,1,0.01%
33,1,0.01%
34,3,0.02%
35,1,0.01%
37,1,0.01%
38,2,0.01%
39,2,0.01%
40,1,0.01%
41,4,0.02%
44,2,0.01%
45,1,0.01%
47,1,0.01%
49,3,0.02%
51,1,0.01%
56,2,0.01%
61,1,0.01%
63,1,0.01%
65,2,0.01%
66,1,0.01%
76,1,0.01%
78,1,0.01%
82,1,0.01%
87,1,0.01%
88,1,0.01%
111,1,0.01%
139,1,0.01%
176,1,0.01%
177,1,0.01%
200,1,0.01%
282,1,0.01%
306,1,0.01%
367,1,0.01%
450,1,0.01%
485,1,0.01%
801,1,0.01%
1268,1,0.01%
1296,1,0.01%
1879,1,0.01%
Grand Total,19166,100.00%
