repo_name,component_number,component_size,edge_count,max_possible,subgraph_density
amphp-amp,0,1,0,0,0.0
amphp-amp,1,1,0,0,0.0
amphp-amp,2,1,0,0,0.0
amphp-amp,3,1,0,0,0.0
amphp-amp,4,1,0,0,0.0
amphp-amp,5,4,3,12,0.25
amphp-amp,6,1,0,0,0.0
amphp-amp,7,1,0,0,0.0
amphp-amp,8,1,0,0,0.0
amphp-amp,9,1,0,0,0.0
amphp-amp,10,1,0,0,0.0
amphp-amp,11,1,0,0,0.0
amphp-amp,12,1,0,0,0.0
amphp-amp,13,2,1,2,0.5
amphp-amp,14,1,0,0,0.0
amphp-amp,15,1,0,0,0.0
amphp-amp,16,1,0,0,0.0
amphp-amp,17,2,1,2,0.5
amphp-amp,18,1,0,0,0.0
amphp-amp,19,1,0,0,0.0
amphp-amp,20,1,0,0,0.0
amphp-amp,21,4,4,12,0.3333333333333333
amphp-amp,22,1,0,0,0.0
amphp-amp,23,2,1,2,0.5
amphp-amp,24,1,0,0,0.0
amphp-amp,25,1,0,0,0.0
amphp-amp,26,1,0,0,0.0
amphp-amp,27,1,0,0,0.0
amphp-amp,28,1,0,0,0.0
amphp-amp,29,1,0,0,0.0
amphp-amp,30,1,0,0,0.0
amphp-amp,31,2,1,2,0.5
amphp-amp,32,1,0,0,0.0
amphp-amp,33,1,0,0,0.0
amphp-amp,34,2,1,2,0.5
amphp-amp,35,1,0,0,0.0
amphp-amp,36,8,7,56,0.125
amphp-amp,37,1,0,0,0.0
amphp-amp,38,1,0,0,0.0
amphp-amp,39,1,0,0,0.0
amphp-amp,40,1,0,0,0.0
amphp-amp,41,2,1,2,0.5
amphp-amp,42,1,0,0,0.0
amphp-amp,43,5,6,20,0.3
amphp-amp,44,1,0,0,0.0
amphp-amp,45,1,0,0,0.0
amphp-amp,46,1,0,0,0.0
amphp-amp,47,4,3,12,0.25
amphp-amp,48,1,0,0,0.0
amphp-amp,49,2,1,2,0.5
amphp-amp,50,2,1,2,0.5
amphp-amp,51,1,0,0,0.0
amphp-amp,52,1,0,0,0.0
amphp-amp,53,1,0,0,0.0
amphp-amp,54,2,1,2,0.5
amphp-amp,55,1,0,0,0.0
amphp-amp,56,1,0,0,0.0
amphp-amp,57,1,0,0,0.0
amphp-amp,58,1,0,0,0.0
amphp-amp,59,1,0,0,0.0
amphp-amp,60,1,0,0,0.0
amphp-amp,61,2,1,2,0.5
amphp-amp,62,1,0,0,0.0
amphp-amp,63,1,0,0,0.0
amphp-amp,64,5,8,20,0.4
amphp-amp,65,1,0,0,0.0
amphp-amp,66,1,0,0,0.0
amphp-amp,67,1,0,0,0.0
amphp-amp,68,1,0,0,0.0
amphp-amp,69,1,0,0,0.0
amphp-amp,70,1,0,0,0.0
amphp-amp,71,1,0,0,0.0
amphp-amp,72,3,2,6,0.3333333333333333
amphp-amp,73,1,0,0,0.0
amphp-amp,74,1,0,0,0.0
amphp-amp,75,1,0,0,0.0
amphp-amp,76,1,0,0,0.0
amphp-amp,77,1,0,0,0.0
amphp-amp,78,1,0,0,0.0
amphp-amp,79,1,0,0,0.0
amphp-amp,80,1,0,0,0.0
amphp-amp,81,1,0,0,0.0
amphp-amp,82,1,0,0,0.0
amphp-amp,83,1,0,0,0.0
amphp-amp,84,1,0,0,0.0
amphp-amp,85,1,0,0,0.0
amphp-amp,86,3,3,6,0.5
amphp-amp,87,1,0,0,0.0
amphp-amp,88,1,0,0,0.0
amphp-amp,89,1,0,0,0.0
amphp-amp,90,1,0,0,0.0
amphp-amp,91,1,0,0,0.0
amphp-amp,92,1,0,0,0.0
amphp-amp,93,1,0,0,0.0
amphp-amp,94,2,1,2,0.5
amphp-amp,95,1,0,0,0.0
amphp-amp,96,1,0,0,0.0
amphp-amp,97,1,0,0,0.0
amphp-amp,98,1,0,0,0.0
amphp-amp,99,1,0,0,0.0
amphp-amp,100,1,0,0,0.0
amphp-amp,101,2,1,2,0.5
amphp-amp,102,1,0,0,0.0
amphp-amp,103,1,0,0,0.0
amphp-amp,104,1,0,0,0.0
amphp-amp,105,1,0,0,0.0
amphp-amp,106,1,0,0,0.0
amphp-amp,107,1,0,0,0.0
amphp-amp,108,1,0,0,0.0
amphp-amp,109,1,0,0,0.0
amphp-amp,110,1,0,0,0.0
amphp-amp,111,1,0,0,0.0
amphp-amp,112,1,0,0,0.0
amphp-amp,113,1,0,0,0.0
amphp-amp,114,1,0,0,0.0
amphp-amp,115,1,0,0,0.0
amphp-amp,116,1,0,0,0.0
amphp-amp,117,1,0,0,0.0
amphp-amp,118,3,3,6,0.5
amphp-amp,119,1,0,0,0.0
amphp-amp,120,1,0,0,0.0
amphp-amp,121,1,0,0,0.0
amphp-amp,122,1,0,0,0.0
amphp-amp,123,1,0,0,0.0
amphp-amp,124,1,0,0,0.0
amphp-amp,125,1,0,0,0.0
amphp-amp,126,1,0,0,0.0
amphp-amp,127,1,0,0,0.0
amphp-amp,128,1,0,0,0.0
amphp-amp,129,2,2,2,1.0
amphp-amp,130,1,0,0,0.0
amphp-amp,131,1,0,0,0.0
amphp-amp,132,1,0,0,0.0
amphp-amp,133,1,0,0,0.0
amphp-amp,134,2,1,2,0.5
amphp-amp,135,1,0,0,0.0
amphp-amp,136,1,0,0,0.0
amphp-amp,137,1,0,0,0.0
amphp-amp,138,2,1,2,0.5
amphp-amp,139,2,1,2,0.5
amphp-amp,140,1,0,0,0.0
amphp-amp,141,2,1,2,0.5
amphp-amp,142,1,0,0,0.0
amphp-amp,143,1,0,0,0.0
amphp-amp,144,1,0,0,0.0
amphp-amp,145,1,0,0,0.0
amphp-amp,146,1,0,0,0.0
amphp-amp,147,1,0,0,0.0
amphp-amp,148,1,0,0,0.0
amphp-amp,149,1,0,0,0.0
amphp-amp,150,1,0,0,0.0
amphp-amp,151,1,0,0,0.0
amphp-amp,152,1,0,0,0.0
amphp-amp,153,1,0,0,0.0
amphp-amp,154,1,0,0,0.0
amphp-amp,155,1,0,0,0.0
amphp-amp,156,6,6,30,0.2
amphp-amp,157,1,0,0,0.0
amphp-amp,158,1,0,0,0.0
amphp-amp,159,2,1,2,0.5
amphp-amp,160,1,0,0,0.0
amphp-amp,161,1,0,0,0.0
amphp-amp,162,1,0,0,0.0
amphp-amp,163,1,0,0,0.0
amphp-amp,164,1,0,0,0.0
amphp-amp,165,1,0,0,0.0
amphp-amp,166,1,0,0,0.0
amphp-amp,167,1,0,0,0.0
amphp-amp,168,1,0,0,0.0
amphp-amp,169,1,0,0,0.0
amphp-amp,170,1,0,0,0.0
amphp-amp,171,1,0,0,0.0
amphp-amp,172,1,0,0,0.0
amphp-amp,173,2,1,2,0.5
amphp-amp,174,1,0,0,0.0
amphp-amp,175,1,0,0,0.0
amphp-amp,176,1,0,0,0.0
amphp-amp,177,1,0,0,0.0
amphp-amp,178,1,0,0,0.0
amphp-amp,179,1,0,0,0.0
amphp-amp,180,1,0,0,0.0
amphp-amp,181,2,1,2,0.5
amphp-amp,182,1,0,0,0.0
amphp-amp,183,1,0,0,0.0
amphp-amp,184,2,1,2,0.5
amphp-amp,185,1,0,0,0.0
amphp-amp,186,1,0,0,0.0
amphp-amp,187,1,0,0,0.0
amphp-amp,188,1,0,0,0.0
amphp-amp,189,1,0,0,0.0
amphp-amp,190,1,0,0,0.0
amphp-amp,191,1,0,0,0.0
amphp-amp,192,1,0,0,0.0
amphp-amp,193,1,0,0,0.0
amphp-amp,194,1,0,0,0.0
amphp-amp,195,1,0,0,0.0
amphp-amp,196,1,0,0,0.0
amphp-amp,197,1,0,0,0.0
amphp-amp,198,1,0,0,0.0
amphp-amp,199,1,0,0,0.0
amphp-amp,200,1,0,0,0.0
amphp-amp,201,1,0,0,0.0
amphp-amp,202,2,2,2,1.0
amphp-amp,203,1,0,0,0.0
amphp-amp,204,1,0,0,0.0
amphp-amp,205,1,0,0,0.0
amphp-amp,206,1,0,0,0.0
amphp-amp,207,1,0,0,0.0
amphp-amp,208,1,0,0,0.0
amphp-amp,209,1,0,0,0.0
amphp-amp,210,1,0,0,0.0
amphp-amp,211,1,0,0,0.0
amphp-amp,212,1,0,0,0.0
amphp-amp,213,1,0,0,0.0
amphp-amp,214,1,0,0,0.0
amphp-amp,215,1,0,0,0.0
amphp-amp,216,1,0,0,0.0
amphp-amp,217,1,0,0,0.0
amphp-amp,218,1,0,0,0.0
amphp-amp,219,1,0,0,0.0
amphp-amp,220,2,1,2,0.5
amphp-amp,221,1,0,0,0.0
amphp-amp,222,1,0,0,0.0
amphp-amp,223,1,0,0,0.0
amphp-amp,224,1,0,0,0.0
amphp-amp,225,1,0,0,0.0
amphp-amp,226,1,0,0,0.0
amphp-amp,227,3,2,6,0.3333333333333333
amphp-amp,228,1,0,0,0.0
amphp-amp,229,1,0,0,0.0
amphp-amp,230,1,0,0,0.0
amphp-amp,231,1,0,0,0.0
amphp-amp,232,1,0,0,0.0
amphp-amp,233,1,0,0,0.0
amphp-amp,234,1,0,0,0.0
amphp-amp,235,2,1,2,0.5
amphp-amp,236,1,0,0,0.0
amphp-amp,237,1,0,0,0.0
amphp-amp,238,1,0,0,0.0
amphp-amp,239,1,0,0,0.0
amphp-amp,240,1,0,0,0.0
amphp-amp,241,1,0,0,0.0
amphp-amp,242,1,0,0,0.0
amphp-amp,243,1,0,0,0.0
amphp-amp,244,1,0,0,0.0
amphp-amp,245,1,0,0,0.0
amphp-amp,246,1,0,0,0.0
amphp-amp,247,2,1,2,0.5
amphp-amp,248,1,0,0,0.0
amphp-amp,249,1,0,0,0.0
amphp-amp,250,1,0,0,0.0
amphp-amp,251,1,0,0,0.0
amphp-amp,252,1,0,0,0.0
amphp-amp,253,1,0,0,0.0
amphp-amp,254,1,0,0,0.0
amphp-amp,255,2,1,2,0.5
amphp-amp,256,1,0,0,0.0
amphp-amp,257,1,0,0,0.0
amphp-amp,258,2,1,2,0.5
amphp-amp,259,1,0,0,0.0
amphp-amp,260,1,0,0,0.0
amphp-amp,261,1,0,0,0.0
amphp-amp,262,1,0,0,0.0
amphp-amp,263,1,0,0,0.0
amphp-amp,264,1,0,0,0.0
amphp-amp,265,1,0,0,0.0
amphp-amp,266,1,0,0,0.0
amphp-amp,267,1,0,0,0.0
amphp-amp,268,1,0,0,0.0
amphp-amp,269,1,0,0,0.0
amphp-amp,270,1,0,0,0.0
amphp-amp,271,2,2,2,1.0
amphp-amp,272,1,0,0,0.0
amphp-amp,273,1,0,0,0.0
amphp-amp,274,1,0,0,0.0
amphp-amp,275,1,0,0,0.0
amphp-amp,276,1,0,0,0.0
amphp-amp,277,1,0,0,0.0
amphp-amp,278,1,0,0,0.0
amphp-amp,279,1,0,0,0.0
amphp-amp,280,1,0,0,0.0
amphp-amp,281,1,0,0,0.0
amphp-amp,282,1,0,0,0.0
amphp-amp,283,1,0,0,0.0
amphp-amp,284,2,2,2,1.0
amphp-amp,285,1,0,0,0.0
amphp-amp,286,1,0,0,0.0
amphp-amp,287,1,0,0,0.0
amphp-amp,288,1,0,0,0.0
amphp-amp,289,1,0,0,0.0
amphp-amp,290,1,0,0,0.0
amphp-amp,291,1,0,0,0.0
amphp-amp,292,1,0,0,0.0
amphp-amp,293,1,0,0,0.0
amphp-amp,294,1,0,0,0.0
amphp-amp,295,1,0,0,0.0
amphp-amp,296,1,0,0,0.0
amphp-amp,297,1,0,0,0.0
amphp-amp,298,1,0,0,0.0
amphp-amp,299,1,0,0,0.0
amphp-amp,300,1,0,0,0.0
amphp-amp,301,1,0,0,0.0
amphp-amp,302,1,0,0,0.0
amphp-amp,303,1,0,0,0.0
amphp-amp,304,1,0,0,0.0
amphp-amp,305,1,0,0,0.0
amphp-amp,306,1,0,0,0.0
amphp-amp,307,1,0,0,0.0
amphp-amp,308,1,0,0,0.0
amphp-amp,309,1,0,0,0.0
amphp-amp,310,1,0,0,0.0
amphp-amp,311,2,2,2,1.0
amphp-amp,312,1,0,0,0.0
amphp-amp,313,1,0,0,0.0
amphp-amp,314,1,0,0,0.0
amphp-amp,315,1,0,0,0.0
amphp-amp,316,1,0,0,0.0
amphp-amp,317,1,0,0,0.0
amphp-amp,318,1,0,0,0.0
amphp-amp,319,1,0,0,0.0
amphp-amp,320,1,0,0,0.0
