repo_name,component_size,component_frequency,edge_count,max_possible,subgraph_density
Activiti-Activiti,1,2852,0,0,0
Activiti-Activiti,2,280,298,560,0.532142857
Activiti-Activiti,3,67,144,402,0.358208955
Activiti-Activiti,4,33,107,396,0.27020202
Activiti-Activiti,5,16,84,320,0.2625
Activiti-Activiti,6,7,35,210,0.166666667
Activiti-Activiti,7,2,16,84,0.19047619
Activiti-Activiti,8,2,14,112,0.125
Activiti-Activiti,9,2,18,144,0.125
Activiti-Activiti,10,1,10,90,0.111111111
Activiti-Activiti,11,2,21,220,0.095454545
Activiti-Activiti,12,1,12,132,0.090909091
Activiti-Activiti,13,1,14,156,0.08974359
Activiti-Activiti,15,1,19,210,0.09047619
Activiti-Activiti,23,1,26,506,0.051383399
ag-grid-ag-grid,1,4491,0,0,0
ag-grid-ag-grid,2,255,270,510,0.529411765
ag-grid-ag-grid,3,47,105,282,0.372340426
ag-grid-ag-grid,4,16,56,192,0.291666667
ag-grid-ag-grid,5,7,32,140,0.228571429
ag-grid-ag-grid,6,4,25,120,0.208333333
ag-grid-ag-grid,7,2,14,84,0.166666667
ag-grid-ag-grid,8,1,8,56,0.142857143
ag-grid-ag-grid,10,1,9,90,0.1
ag-grid-ag-grid,12,1,12,132,0.090909091
ag-grid-ag-grid,16,1,19,240,0.079166667
amphp-amp,1,280,0,0,0
amphp-amp,2,30,35,60,0.583333333
amphp-amp,3,4,10,24,0.416666667
amphp-amp,4,3,10,36,0.277777778
amphp-amp,5,2,14,40,0.35
amphp-amp,6,1,6,30,0.2
amphp-amp,8,1,7,56,0.125
apache-dubbo,1,5240,0,0,0
apache-dubbo,2,730,805,1460,0.551369863
apache-dubbo,3,215,505,1290,0.391472868
apache-dubbo,4,84,302,1008,0.299603175
apache-dubbo,5,44,232,880,0.263636364
apache-dubbo,6,22,137,660,0.207575758
apache-dubbo,7,13,102,546,0.186813187
apache-dubbo,8,9,88,504,0.174603175
apache-dubbo,9,9,111,648,0.171296296
apache-dubbo,10,4,43,360,0.119444444
apache-dubbo,11,8,94,880,0.106818182
apache-dubbo,12,2,26,264,0.098484848
apache-dubbo,13,1,18,156,0.115384615
apache-dubbo,14,3,40,546,0.073260073
apache-dubbo,15,2,39,420,0.092857143
apache-dubbo,1296,1,1659,1678320,0.000988488
apache-dubbo,18,1,22,306,0.071895425
apache-dubbo,19,2,50,684,0.073099415
apache-dubbo,20,2,61,760,0.080263158
apache-dubbo,21,1,30,420,0.071428571
apache-dubbo,31,1,41,930,0.044086022
apache-dubbo,49,1,67,2352,0.028486395
apache-dubbo,63,1,84,3906,0.021505376
apache-dubbo,65,1,70,4160,0.016826923
apache-dubbo,87,1,94,7482,0.012563486
App-vNext-Polly,1,492,0,0,0
App-vNext-Polly,2,33,46,66,0.696969697
App-vNext-Polly,3,7,14,42,0.333333333
App-vNext-Polly,4,3,16,36,0.444444444
App-vNext-Polly,8,1,9,56,0.160714286
App-vNext-Polly,9,1,15,72,0.208333333
App-vNext-Polly,14,1,22,182,0.120879121
App-vNext-Polly,306,1,517,93330,0.005539484
App-vNext-Polly,21,1,30,420,0.071428571
archriss-react-native-snap-carousel,1,599,0,0,0
archriss-react-native-snap-carousel,2,37,40,74,0.540540541
archriss-react-native-snap-carousel,3,14,33,84,0.392857143
archriss-react-native-snap-carousel,4,5,20,60,0.333333333
archriss-react-native-snap-carousel,5,2,9,40,0.225
archriss-react-native-snap-carousel,7,1,6,42,0.142857143
archriss-react-native-snap-carousel,177,1,241,31152,0.007736261
BurntSushi-toml,1,168,0,0,0
BurntSushi-toml,2,35,42,70,0.6
BurntSushi-toml,3,9,19,54,0.351851852
