component,percentage,edge_count,max_possible,component_nodes
4,50.0,1,2,"{3070, 3191}"
6,50.0,1,2,"{3189, 3159}"
11,25.0,3,12,"{3178, 3082, 3124, 3149}"
12,33.33333333333333,2,6,"{3177, 3121, 3151}"
19,20.0,6,30,"{3139, 2628, 3048, 1774, 2644, 3165}"
33,50.0,1,2,"{3146, 3147}"
34,50.0,1,2,"{3144, 3145}"
38,50.0,1,2,"{3137, 3138}"
41,50.0,1,2,"{3129, 3133}"
50,33.33333333333333,4,12,"{3115, 2948, 2949, 2876}"
52,50.0,1,2,"{3112, 3111}"
56,10.0,9,90,"{3088, 3089, 3091, 3092, 3093, 3095, 3096, 3097, 3098, 3100}"
68,50.0,1,2,"{3049, 3068}"
69,33.33333333333333,2,6,"{3064, 2536, 2680}"
73,50.0,1,2,"{3057, 3058}"
77,50.0,1,2,"{3051, 2997}"
78,25.0,3,12,"{2864, 3050, 2891, 2918}"
82,50.0,1,2,"{3044, 2927}"
89,50.0,1,2,"{3032, 3004}"
98,25.0,3,12,"{3001, 2995, 2996, 2951}"
116,50.0,1,2,"{2946, 2967}"
120,50.0,3,6,"{2923, 2924, 2958}"
123,33.33333333333333,2,6,"{2952, 2953, 2939}"
127,25.0,3,12,"{2936, 2941, 2878, 2879}"
128,20.0,4,20,"{2932, 2933, 2007, 1976, 2044}"
133,1.203931203931204,147,12210,"{1024, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1043, 1038, 1567, 1059, 1025, 1063, 1064, 1065, 1066, 2603, 1071, 1027, 2612, 566, 1029, 64, 1092, 1103, 1106, 1034, 1543, 1109, 1110, 1035, 126, 1154, 1157, 146, 147, 1187, 1192, 683, 684, 1219, 1220, 1222, 1233, 1748, 1753, 1276, 1280, 2323, 1337, 1849, 1857, 845, 846, 2392, 859, 863, 2912, 1376, 2402, 866, 2925, 888, 889, 891, 2440, 905, 2442, 908, 2450, 2458, 924, 929, 931, 932, 2472, 937, 953, 955, 963, 968, 971, 974, 979, 980, 2523, 988, 2524, 1507, 1001, 1005, 1006, 1011, 1013, 1016, 1018, 1021, 1023}"
138,50.0,1,2,"{2917, 2814}"
143,50.0,1,2,"{2910, 2823}"
147,50.0,1,2,"{2905, 2906}"
160,50.0,1,2,"{2881, 2882}"
164,50.0,1,2,"{2861, 2870}"
173,50.0,1,2,"{2850, 2852}"
175,50.0,1,2,"{2849, 2535}"
177,33.33333333333333,2,6,"{2788, 2845, 2759}"
181,50.0,1,2,"{2836, 2837}"
183,50.0,1,2,"{2832, 2834}"
184,50.0,1,2,"{2576, 2833}"
188,33.33333333333333,2,6,"{2570, 2820, 2821}"
189,50.0,1,2,"{2819, 2734}"
196,25.0,3,12,"{2801, 2754, 2755, 2710}"
200,50.0,1,2,"{2793, 2779}"
202,50.0,1,2,"{2777, 2786}"
218,23.333333333333332,7,30,"{1313, 1409, 1383, 1319, 2764, 1620}"
219,50.0,1,2,"{2762, 2763}"
220,50.0,1,2,"{2760, 2761}"
241,50.0,1,2,"{2722, 2723}"
