component,percentage,edge_count,max_possible,component_nodes
3,50.0,1,2,"{928, 927}"
6,16.071428571428573,9,56,"{898, 803, 840, 847, 884, 888, 889, 924}"
21,25.0,3,12,"{892, 890, 908, 893}"
24,50.0,1,2,"{904, 905}"
34,25.0,5,20,"{865, 802, 878, 854, 891}"
37,25.0,5,20,"{869, 617, 845, 879, 885}"
38,50.0,1,2,"{11, 883}"
39,2.8282828282828283,56,1980,"{1, 641, 2, 3, 4, 642, 524, 14, 16, 18, 20, 24, 153, 27, 539, 155, 287, 160, 37, 556, 301, 557, 559, 562, 52, 54, 55, 696, 184, 187, 713, 843, 595, 221, 483, 874, 875, 876, 106, 494, 491, 492, 881, 882, 495}"
53,26.666666666666668,8,30,"{834, 620, 849, 851, 823, 860}"
55,50.0,1,2,"{858, 766}"
56,50.0,1,2,"{857, 373}"
57,50.0,1,2,"{856, 855}"
58,25.0,3,12,"{668, 853, 718, 669}"
59,50.0,1,2,"{852, 527}"
60,50.0,1,2,"{850, 611}"
61,50.0,1,2,"{848, 821}"
62,50.0,1,2,"{822, 846}"
66,50.0,1,2,"{189, 839}"
81,16.666666666666664,5,30,"{806, 816, 818, 819, 820, 735}"
82,50.0,1,2,"{817, 807}"
83,50.0,1,2,"{814, 815}"
84,33.33333333333333,2,6,"{808, 813, 790}"
93,50.0,1,2,"{798, 799}"
94,50.0,1,2,"{12, 797}"
97,10.0,9,90,"{292, 393, 298, 395, 274, 275, 278, 793, 794, 414}"
102,50.0,3,6,"{784, 787, 783}"
106,50.0,1,2,"{771, 781}"
114,50.0,1,2,"{733, 773}"
115,6.432748538011696,22,342,"{772, 536, 537, 411, 413, 543, 544, 420, 421, 422, 549, 682, 304, 695, 698, 446, 712, 586, 496}"
118,19.047619047619047,8,42,"{768, 740, 742, 634, 759, 729, 730}"
126,50.0,1,2,"{757, 758}"
128,12.727272727272727,14,110,"{161, 164, 166, 167, 203, 205, 432, 755, 340, 412, 540}"
134,50.0,1,2,"{748, 749}"
138,50.0,1,2,"{744, 522}"
142,50.0,1,2,"{737, 738}"
150,50.0,1,2,"{720, 725}"
151,50.0,1,2,"{724, 613}"
152,33.33333333333333,2,6,"{689, 723, 708}"
155,50.0,1,2,"{716, 719}"
160,50.0,1,2,"{704, 710}"
170,33.33333333333333,2,6,"{697, 690, 685}"
174,50.0,1,2,"{691, 206}"
186,50.0,1,2,"{672, 675}"
187,50.0,1,2,"{674, 666}"
188,50.0,1,2,"{673, 671}"
196,50.0,1,2,"{659, 660}"
199,50.0,1,2,"{656, 655}"
209,50.0,1,2,"{643, 645}"
211,50.0,1,2,"{640, 622}"
212,50.0,1,2,"{637, 638}"
213,50.0,1,2,"{636, 631}"
214,33.33333333333333,2,6,"{635, 604, 597}"
219,50.0,1,2,"{628, 589}"
221,33.33333333333333,2,6,"{624, 625, 626}"
228,50.0,1,2,"{598, 614}"
254,50.0,1,2,"{579, 580}"
255,33.33333333333333,2,6,"{576, 577, 578}"
258,50.0,1,2,"{568, 573}"
262,50.0,1,2,"{569, 566}"
279,50.0,1,2,"{528, 545}"
295,50.0,1,2,"{516, 519}"
296,50.0,1,2,"{517, 518}"
299,33.33333333333333,2,6,"{512, 513, 511}"
301,50.0,1,2,"{505, 509}"
311,50.0,1,2,"{497, 498}"
314,4.761904761904762,20,420,"{384, 13, 300, 306, 51, 461, 339, 85, 89, 482, 484, 486, 489, 365, 372, 376, 378, 379, 381, 382, 383}"
319,16.666666666666664,5,30,"{480, 39, 46, 19, 404, 86}"
324,50.0,1,2,"{297, 475}"
326,50.0,1,2,"{473, 449}"
327,50.0,1,2,"{472, 435}"
330,50.0,1,2,"{440, 469}"
331,33.33333333333333,2,6,"{434, 452, 468}"
333,50.0,1,2,"{465, 466}"
336,50.0,1,2,"{307, 462}"
337,50.0,1,2,"{410, 460}"
338,50.0,1,2,"{433, 459}"
339,50.0,1,2,"{458, 451}"
341,50.0,1,2,"{456, 448}"
343,50.0,1,2,"{453, 454}"
355,25.0,3,12,"{400, 423, 242, 431}"
372,8.333333333333332,11,132,"{289, 388, 143, 369, 370, 145, 212, 53, 405, 284, 349, 286}"
376,33.33333333333333,2,6,"{245, 149, 399}"
377,50.0,1,2,"{296, 398}"
379,50.0,1,2,"{394, 396}"
380,50.0,1,2,"{392, 363}"
383,50.0,1,2,"{48, 389}"
384,20.0,4,20,"{98, 387, 386, 330, 348}"
391,6.985294117647059,19,272,"{352, 291, 36, 5, 6, 355, 71, 73, 361, 75, 79, 368, 83, 84, 343, 59, 316}"
393,50.0,1,2,"{240, 366}"
394,50.0,1,2,"{299, 364}"
395,50.0,1,2,"{360, 362}"
396,50.0,1,2,"{358, 359}"
397,50.0,1,2,"{356, 357}"
400,50.0,1,2,"{233, 351}"
401,50.0,1,2,"{243, 350}"
402,50.0,1,2,"{347, 334}"
403,50.0,1,2,"{346, 244}"
406,50.0,1,2,"{341, 342}"
420,33.33333333333333,2,6,"{232, 323, 246}"
421,50.0,1,2,"{322, 77}"
426,50.0,1,2,"{317, 295}"
436,50.0,1,2,"{302, 303}"
454,33.33333333333333,2,6,"{225, 226, 268}"
457,50.0,1,2,"{264, 265}"
461,33.33333333333333,2,6,"{260, 237, 231}"
463,50.0,1,2,"{256, 258}"
