component,percentage,fixes_count,edge_count,component_nodes
3,0.0,0,1,"{928, 927}"
6,0.0,0,9,"{898, 803, 840, 847, 884, 888, 889, 924}"
21,0.0,0,3,"{892, 890, 908, 893}"
24,0.0,0,1,"{904, 905}"
34,0.0,0,5,"{865, 802, 878, 854, 891}"
37,0.0,0,5,"{869, 617, 845, 879, 885}"
38,0.0,0,1,"{11, 883}"
39,3.571428571428571,2,56,"{1, 641, 2, 3, 4, 642, 524, 14, 16, 18, 20, 24, 153, 27, 539, 155, 287, 160, 37, 556, 301, 557, 559, 562, 52, 54, 55, 696, 184, 187, 713, 843, 595, 221, 483, 874, 875, 876, 106, 494, 491, 492, 881, 882, 495}"
53,0.0,0,8,"{834, 620, 849, 851, 823, 860}"
55,0.0,0,1,"{858, 766}"
56,0.0,0,1,"{857, 373}"
57,0.0,0,1,"{856, 855}"
58,33.33333333333333,1,3,"{668, 853, 718, 669}"
59,0.0,0,1,"{852, 527}"
60,0.0,0,1,"{850, 611}"
61,0.0,0,1,"{848, 821}"
62,0.0,0,1,"{822, 846}"
66,0.0,0,1,"{189, 839}"
81,20.0,1,5,"{806, 816, 818, 819, 820, 735}"
82,0.0,0,1,"{817, 807}"
83,0.0,0,1,"{814, 815}"
84,0.0,0,2,"{808, 813, 790}"
93,0.0,0,1,"{798, 799}"
94,0.0,0,1,"{12, 797}"
97,0.0,0,9,"{292, 393, 298, 395, 274, 275, 278, 793, 794, 414}"
102,0.0,0,3,"{784, 787, 783}"
106,100.0,1,1,"{771, 781}"
114,100.0,1,1,"{733, 773}"
115,0.0,0,22,"{772, 536, 537, 411, 413, 543, 544, 420, 421, 422, 549, 682, 304, 695, 698, 446, 712, 586, 496}"
118,25.0,2,8,"{768, 740, 742, 634, 759, 729, 730}"
126,0.0,0,1,"{757, 758}"
128,0.0,0,14,"{161, 164, 166, 167, 203, 205, 432, 755, 340, 412, 540}"
134,0.0,0,1,"{748, 749}"
138,0.0,0,1,"{744, 522}"
142,100.0,1,1,"{737, 738}"
150,0.0,0,1,"{720, 725}"
151,0.0,0,1,"{724, 613}"
152,0.0,0,2,"{689, 723, 708}"
155,100.0,1,1,"{716, 719}"
160,0.0,0,1,"{704, 710}"
170,50.0,1,2,"{697, 690, 685}"
174,0.0,0,1,"{691, 206}"
186,0.0,0,1,"{672, 675}"
187,0.0,0,1,"{674, 666}"
188,100.0,1,1,"{673, 671}"
196,0.0,0,1,"{659, 660}"
199,0.0,0,1,"{656, 655}"
209,0.0,0,1,"{643, 645}"
211,0.0,0,1,"{640, 622}"
212,0.0,0,1,"{637, 638}"
213,0.0,0,1,"{636, 631}"
214,0.0,0,2,"{635, 604, 597}"
219,0.0,0,1,"{628, 589}"
221,50.0,1,2,"{624, 625, 626}"
228,0.0,0,1,"{598, 614}"
254,0.0,0,1,"{579, 580}"
255,50.0,1,2,"{576, 577, 578}"
258,100.0,1,1,"{568, 573}"
262,100.0,1,1,"{569, 566}"
279,0.0,0,1,"{528, 545}"
295,0.0,0,1,"{516, 519}"
296,100.0,1,1,"{517, 518}"
299,50.0,1,2,"{512, 513, 511}"
301,100.0,1,1,"{505, 509}"
311,0.0,0,1,"{497, 498}"
314,10.0,2,20,"{384, 13, 300, 306, 51, 461, 339, 85, 89, 482, 484, 486, 489, 365, 372, 376, 378, 379, 381, 382, 383}"
319,20.0,1,5,"{480, 39, 46, 19, 404, 86}"
324,0.0,0,1,"{297, 475}"
326,0.0,0,1,"{473, 449}"
327,0.0,0,1,"{472, 435}"
330,0.0,0,1,"{440, 469}"
331,0.0,0,2,"{434, 452, 468}"
333,0.0,0,1,"{465, 466}"
336,0.0,0,1,"{307, 462}"
337,0.0,0,1,"{410, 460}"
338,0.0,0,1,"{433, 459}"
339,0.0,0,1,"{458, 451}"
341,0.0,0,1,"{456, 448}"
343,0.0,0,1,"{453, 454}"
355,0.0,0,3,"{400, 423, 242, 431}"
372,9.090909090909092,1,11,"{289, 388, 143, 369, 370, 145, 212, 53, 405, 284, 349, 286}"
376,0.0,0,2,"{245, 149, 399}"
377,0.0,0,1,"{296, 398}"
379,0.0,0,1,"{394, 396}"
380,100.0,1,1,"{392, 363}"
383,0.0,0,1,"{48, 389}"
384,0.0,0,4,"{98, 387, 386, 330, 348}"
391,5.263157894736842,1,19,"{352, 291, 36, 5, 6, 355, 71, 73, 361, 75, 79, 368, 83, 84, 343, 59, 316}"
393,100.0,1,1,"{240, 366}"
394,100.0,1,1,"{299, 364}"
395,0.0,0,1,"{360, 362}"
396,0.0,0,1,"{358, 359}"
397,0.0,0,1,"{356, 357}"
400,0.0,0,1,"{233, 351}"
401,0.0,0,1,"{243, 350}"
402,0.0,0,1,"{347, 334}"
403,0.0,0,1,"{346, 244}"
406,0.0,0,1,"{341, 342}"
420,0.0,0,2,"{232, 323, 246}"
421,0.0,0,1,"{322, 77}"
426,0.0,0,1,"{317, 295}"
436,0.0,0,1,"{302, 303}"
