component,percentage,fixes_count,edge_count,component_nodes
5,35.714285714285715,5,14,"{227, 228, 165, 101, 103, 206, 48, 177, 178, 180, 28, 223}"
6,0.0,0,1,"{226, 220}"
8,0.0,0,6,"{224, 164, 176, 179, 52, 191}"
9,100.0,1,1,"{221, 222}"
10,25.0,1,4,"{195, 209, 210, 219, 190}"
22,0.0,0,1,"{200, 204}"
23,0.0,0,1,"{201, 203}"
37,33.33333333333333,1,3,"{184, 171, 45}"
51,0.0,0,1,"{161, 162}"
62,0.0,0,1,"{149, 150}"
66,0.0,0,1,"{145, 140}"
70,100.0,1,1,"{139, 141}"
80,100.0,1,1,"{129, 127}"
82,100.0,1,1,"{125, 126}"
84,0.0,0,1,"{91, 123}"
87,0.0,0,1,"{120, 119}"
88,100.0,1,1,"{117, 118}"
91,100.0,1,1,"{114, 109}"
96,0.0,0,1,"{107, 108}"
98,0.0,0,1,"{104, 105}"
102,0.0,0,2,"{96, 97, 98}"
103,0.0,0,1,"{94, 95}"
105,0.0,0,1,"{92, 60}"
110,100.0,1,1,"{53, 86}"
113,100.0,1,1,"{83, 76}"
134,0.0,0,1,"{57, 61}"
135,33.33333333333333,1,3,"{51, 50, 59}"
136,100.0,1,1,"{24, 58}"
138,0.0,0,1,"{54, 55}"
141,100.0,1,1,"{44, 46}"
142,0.0,0,1,"{41, 43}"
145,0.0,0,1,"{38, 39}"
149,0.0,0,1,"{25, 34}"
154,0.0,0,1,"{26, 29}"
