component,percentage,fixes_count,edge_count,component_nodes
1,0.0,0,1,"{413, 414}"
8,33.33333333333333,1,3,"{401, 189, 406, 121}"
17,0.0,0,5,"{257, 263, 396, 242, 250, 191}"
34,0.0,0,1,"{368, 379}"
35,100.0,1,1,"{377, 378}"
52,0.0,0,2,"{29, 30, 359}"
54,12.0,3,25,"{303, 310, 312, 318, 321, 323, 327, 328, 331, 332, 333, 334, 335, 337, 338, 349, 227, 228, 357}"
55,0.0,0,2,"{51, 356, 340}"
56,0.0,0,1,"{355, 237}"
60,0.0,0,2,"{343, 350, 351}"
72,0.0,0,1,"{325, 326}"
83,0.0,0,2,"{224, 131, 309}"
85,0.0,0,2,"{305, 306, 307}"
96,0.0,0,3,"{291, 292, 293}"
108,100.0,1,1,"{221, 279}"
137,33.33333333333333,2,6,"{134, 117, 245, 183, 247}"
155,0.0,0,1,"{200, 223}"
160,0.0,0,5,"{153, 48, 211, 217, 58, 93}"
164,0.0,0,2,"{186, 171, 213}"
194,0.0,0,1,"{177, 174}"
195,0.0,0,1,"{176, 175}"
207,100.0,1,1,"{160, 161}"
210,0.0,0,2,"{156, 157, 143}"
213,0.0,0,1,"{152, 141}"
223,0.0,0,1,"{140, 133}"
230,0.0,0,1,"{129, 130}"
242,0.0,0,1,"{56, 115}"
277,0.0,0,1,"{37, 79}"
323,0.0,0,3,"{25, 26, 11, 12}"
331,0.0,0,1,"{17, 4}"
332,0.0,0,1,"{16, 2}"
