component,percentage,fixes_count,edge_count,component_nodes
2,0.0,0,1,"{1489, 1492}"
11,0.0,0,2,"{1329, 1482, 1338}"
22,11.76470588235294,2,17,"{1090, 1381, 1254, 585, 139, 957, 1008, 465, 1007, 467, 1015, 858, 413, 1471}"
28,0.0,0,1,"{1465, 450}"
36,0.0,0,2,"{1457, 1453, 1454}"
37,0.0,0,1,"{1421, 1455}"
38,4.878048780487805,2,41,"{1, 1153, 266, 1294, 1295, 1296, 1298, 1300, 1301, 1302, 1304, 1305, 1433, 1306, 1308, 1307, 1184, 1314, 1443, 1315, 1318, 1319, 1320, 1323, 1452, 1202, 696, 1218, 969, 974, 337, 1244, 1251, 232, 889, 890, 891, 893}"
43,0.0,0,3,"{968, 1070, 1447}"
49,0.0,0,2,"{1440, 953, 611}"
50,0.0,0,1,"{1216, 1439}"
58,0.0,0,3,"{1289, 753, 1347, 1430}"
66,0.0,0,1,"{833, 1422}"
68,0.0,0,1,"{98, 1419}"
70,5.88235294117647,1,17,"{1121, 579, 772, 1091, 1415, 1417, 938, 811, 684, 713, 945, 1234, 55, 697, 954, 1405}"
78,0.0,0,1,"{1408, 1048}"
88,0.0,0,8,"{1088, 1284, 1065, 1321, 749, 1012, 1397, 1303, 1274}"
92,0.0,0,1,"{1112, 1393}"
93,0.0,0,5,"{1376, 420, 1068, 1392, 720, 538}"
94,0.0,0,8,"{1377, 1282, 865, 589, 1391, 1145, 926}"
96,0.0,0,2,"{1353, 1098, 1389}"
108,0.0,0,1,"{1291, 1374}"
114,0.0,0,1,"{1368, 1327}"
133,0.0,0,1,"{1336, 1348}"
143,0.0,0,1,"{430, 1335}"
178,0.0,0,1,"{1272, 233}"
188,0.0,0,2,"{826, 675, 1262}"
199,0.0,0,6,"{1249, 133, 46, 594, 441, 1085, 25}"
206,0.0,0,1,"{1241, 566}"
216,0.0,0,1,"{1076, 1230}"
254,0.0,0,3,"{1181, 699, 1189, 1134}"
258,0.0,0,1,"{1185, 1109}"
260,0.0,0,1,"{517, 1182}"
268,0.0,0,1,"{1168, 1173}"
287,0.0,0,2,"{1152, 964, 1095}"
297,0.0,0,9,"{202, 747, 845, 110, 113, 723, 724, 1141, 727}"
315,0.0,0,1,"{1122, 1115}"
316,0.0,0,2,"{1120, 792, 930}"
326,0.0,0,1,"{1107, 374}"
330,0.0,0,2,"{1051, 1037, 1103}"
331,0.0,0,2,"{528, 726, 1102}"
336,0.0,0,2,"{1096, 128, 685}"
339,0.0,0,1,"{1016, 1092}"
362,0.0,0,1,"{819, 1061}"
368,0.0,0,4,"{658, 1047, 1045, 1055}"
373,0.0,0,10,"{97, 100, 870, 43, 812, 115, 54, 87, 120, 1049, 90}"
380,0.0,0,2,"{860, 846, 1039}"
382,0.0,0,2,"{1035, 1036, 1023}"
402,0.0,0,1,"{1011, 581}"
403,0.0,0,5,"{779, 944, 1010, 892, 990}"
418,100.0,1,1,"{993, 871}"
424,0.0,0,5,"{488, 425, 499, 504, 505, 986}"
425,0.0,0,1,"{985, 84}"
428,0.0,0,1,"{867, 982}"
434,0.0,0,1,"{976, 844}"
441,0.0,0,1,"{962, 966}"
449,0.0,0,1,"{955, 52}"
453,0.0,0,1,"{387, 949}"
454,50.0,1,2,"{489, 947, 948}"
467,0.0,0,1,"{931, 230}"
469,0.0,0,7,"{928, 809, 719, 925, 734, 735}"
471,0.0,0,1,"{896, 924}"
490,0.0,0,1,"{905, 804}"
494,0.0,0,1,"{898, 901}"
512,0.0,0,1,"{777, 876}"
516,100.0,1,1,"{872, 728}"
528,0.0,0,1,"{854, 526}"
531,0.0,0,11,"{682, 42, 620, 493, 44, 785, 851, 661, 406, 665}"
534,100.0,1,1,"{848, 839}"
537,0.0,0,1,"{840, 842}"
