component,percentage,fixes_count,edge_count,component_nodes
5,0.0,0,4,"{930, 962, 936, 877, 815}"
6,0.0,0,7,"{961, 2, 1, 866, 173, 687, 692, 186}"
13,0.0,0,1,"{954, 935}"
14,0.0,0,1,"{953, 938}"
31,0.0,0,1,"{913, 933}"
34,0.0,0,3,"{929, 682, 738, 772}"
48,0.0,0,5,"{775, 753, 915, 534, 542, 415}"
62,0.0,0,2,"{897, 140, 445}"
65,0.0,0,1,"{814, 894}"
69,0.0,0,1,"{889, 890}"
71,50.0,1,2,"{884, 886, 887}"
91,0.0,0,1,"{787, 863}"
94,0.0,0,1,"{859, 860}"
97,0.0,0,1,"{856, 834}"
104,0.0,0,1,"{849, 670}"
111,0.0,0,3,"{632, 760, 842, 771}"
117,0.0,0,1,"{721, 836}"
132,0.0,0,1,"{819, 820}"
137,0.0,0,2,"{468, 812, 703}"
150,0.0,0,1,"{618, 799}"
163,0.0,0,1,"{785, 751}"
180,0.0,0,5,"{642, 693, 505, 765, 607}"
208,0.0,0,1,"{733, 727}"
231,0.0,0,1,"{708, 271}"
236,0.0,0,1,"{690, 702}"
244,0.0,0,1,"{689, 694}"
277,0.0,0,1,"{120, 654}"
302,0.0,0,2,"{619, 595, 627}"
313,0.0,0,1,"{206, 614}"
318,0.0,0,4,"{608, 609, 365, 550}"
331,0.0,0,1,"{593, 3}"
342,0.0,0,2,"{333, 582, 39}"
370,0.0,0,1,"{553, 554}"
371,0.0,0,1,"{552, 497}"
374,0.0,0,1,"{474, 548}"
397,0.0,0,1,"{523, 511}"
428,0.0,0,2,"{489, 410, 437}"
450,0.0,0,1,"{465, 434}"
460,0.0,0,1,"{351, 455}"
470,0.0,0,1,"{440, 444}"
482,0.0,0,2,"{416, 429, 95}"
490,0.0,0,2,"{421, 118, 119}"
507,0.0,0,1,"{401, 398}"
532,0.0,0,3,"{284, 157, 94, 375}"
566,0.0,0,1,"{339, 324}"
581,0.0,0,1,"{322, 195}"
593,0.0,0,1,"{218, 309}"
598,0.0,0,2,"{304, 273, 265}"
604,0.0,0,1,"{161, 298}"
625,0.0,0,1,"{275, 276}"
633,0.0,0,1,"{264, 241}"
646,0.0,0,4,"{230, 232, 109, 249, 251}"
652,0.0,0,1,"{244, 229}"
684,0.0,0,1,"{188, 207}"
690,0.0,0,1,"{200, 199}"
694,0.0,0,2,"{194, 5, 114}"
695,0.0,0,2,"{193, 166, 127}"
700,0.0,0,1,"{185, 187}"
718,0.0,0,1,"{164, 165}"
728,0.0,0,1,"{152, 151}"
754,100.0,1,1,"{122, 123}"
768,0.0,0,1,"{102, 103}"
769,0.0,0,1,"{93, 101}"
780,0.0,0,1,"{56, 87}"
789,0.0,0,2,"{50, 61, 78}"
792,0.0,0,4,"{75, 68, 69, 71}"
810,0.0,0,2,"{52, 46, 47}"
842,0.0,0,1,"{16, 15}"
