component,percentage,fixes_count,edge_count,component_nodes
3,0.0,0,1,"{416, 412}"
12,0.0,0,1,"{404, 405}"
17,0.0,0,1,"{394, 399}"
25,0.0,0,1,"{72, 390}"
26,3.571428571428571,1,28,"{389, 137, 269, 303, 311, 183, 313, 326, 328, 332, 333, 335, 336, 343, 344, 345, 351, 352, 354, 355, 232, 361, 234, 110, 111, 366, 114}"
28,50.0,2,4,"{379, 387, 382, 383}"
31,100.0,2,2,"{384, 186, 375}"
52,0.0,0,3,"{57, 26, 356, 25}"
63,8.333333333333332,1,12,"{162, 164, 165, 167, 329, 77, 175, 338, 152, 63}"
68,14.285714285714285,1,7,"{321, 322, 323, 324, 325, 327}"
79,0.0,0,1,"{227, 308}"
96,0.0,0,1,"{265, 243}"
110,50.0,1,2,"{201, 251, 230}"
112,0.0,0,3,"{248, 249, 17}"
123,0.0,0,4,"{229, 233, 236, 221}"
127,100.0,1,1,"{226, 182}"
137,0.0,0,2,"{192, 79, 215}"
144,0.0,0,10,"{160, 203, 204, 205, 206, 208, 185}"
154,100.0,1,1,"{193, 178}"
169,0.0,0,1,"{169, 171}"
174,0.0,0,14,"{161, 106, 143, 80, 62, 153, 154, 158, 156, 157, 126}"
176,0.0,0,1,"{136, 155}"
177,0.0,0,1,"{149, 151}"
189,0.0,0,1,"{131, 135}"
190,0.0,0,1,"{61, 134}"
191,100.0,1,1,"{132, 133}"
197,0.0,0,2,"{96, 122, 124}"
213,66.66666666666666,2,3,"{73, 55, 103}"
218,0.0,0,1,"{98, 69}"
223,0.0,0,1,"{91, 92}"
235,0.0,0,1,"{76, 54}"
254,0.0,0,1,"{48, 46}"
255,0.0,0,1,"{38, 47}"
261,0.0,0,1,"{40, 36}"
264,0.0,0,1,"{35, 28}"
273,100.0,1,1,"{22, 23}"
276,0.0,0,4,"{11, 13, 14, 15, 19}"
280,0.0,0,8,"{1, 2, 3, 4, 5, 7, 10}"
