component,percentage,edge_count,max_possible,component_nodes
0,50.0,1,2,"{972, 950}"
1,50.0,1,2,"{960, 969}"
5,50.0,1,2,"{944, 959}"
8,33.33333333333333,2,6,"{954, 955, 923}"
12,1.431901431901432,86,6006,"{557, 558, 572, 578, 663, 699, 720, 208, 210, 736, 759, 760, 761, 769, 270, 787, 788, 276, 792, 283, 284, 797, 799, 800, 801, 803, 811, 812, 302, 816, 817, 818, 819, 821, 309, 310, 824, 353, 359, 360, 363, 371, 374, 376, 377, 381, 386, 393, 395, 396, 399, 400, 403, 404, 409, 413, 414, 415, 420, 428, 947, 439, 440, 441, 443, 446, 447, 450, 464, 465, 467, 472, 473, 474, 483, 486, 488, 509}"
17,16.666666666666664,7,42,"{419, 679, 940, 941, 654, 475, 735}"
20,50.0,1,2,"{936, 937}"
30,5.0,30,600,"{896, 897, 898, 899, 900, 901, 902, 903, 906, 907, 908, 912, 913, 922, 689, 870, 874, 877, 880, 881, 889, 892, 893, 894, 895}"
37,50.0,1,2,"{915, 910}"
38,50.0,1,2,"{914, 909}"
42,50.0,1,2,"{890, 891}"
51,50.0,1,2,"{872, 873}"
54,33.33333333333333,2,6,"{865, 866, 868}"
74,50.0,1,2,"{840, 846}"
86,33.33333333333333,2,6,"{554, 828, 551}"
97,50.0,1,2,"{809, 807}"
137,33.33333333333333,2,6,"{322, 756, 324}"
148,50.0,3,6,"{745, 594, 588}"
151,25.0,3,12,"{739, 741, 742, 723}"
153,25.0,3,12,"{537, 738, 534, 535}"
156,50.0,1,2,"{733, 726}"
170,33.33333333333333,2,6,"{697, 714, 716}"
189,50.0,1,2,"{693, 694}"
190,50.0,1,2,"{691, 692}"
193,50.0,1,2,"{685, 687}"
199,50.0,1,2,"{680, 604}"
201,50.0,1,2,"{674, 677}"
202,50.0,1,2,"{675, 676}"
204,50.0,1,2,"{672, 671}"
208,50.0,1,2,"{658, 667}"
212,50.0,1,2,"{643, 662}"
213,20.0,4,20,"{647, 656, 657, 627, 661}"
221,20.0,4,20,"{614, 646, 649, 601, 638}"
230,33.33333333333333,2,6,"{635, 636, 622}"
232,50.0,1,2,"{633, 611}"
233,50.0,1,2,"{632, 562}"
234,12.5,7,56,"{230, 390, 265, 298, 339, 500, 631, 282}"
