component,percentage,fixes_count,edge_count,component_nodes
0,0.0,0,1,"{972, 950}"
1,0.0,0,1,"{960, 969}"
5,0.0,0,1,"{944, 959}"
8,0.0,0,2,"{954, 955, 923}"
12,4.651162790697675,4,86,"{557, 558, 572, 578, 663, 699, 720, 208, 210, 736, 759, 760, 761, 769, 270, 787, 788, 276, 792, 283, 284, 797, 799, 800, 801, 803, 811, 812, 302, 816, 817, 818, 819, 821, 309, 310, 824, 353, 359, 360, 363, 371, 374, 376, 377, 381, 386, 393, 395, 396, 399, 400, 403, 404, 409, 413, 414, 415, 420, 428, 947, 439, 440, 441, 443, 446, 447, 450, 464, 465, 467, 472, 473, 474, 483, 486, 488, 509}"
17,14.285714285714285,1,7,"{419, 679, 940, 941, 654, 475, 735}"
20,0.0,0,1,"{936, 937}"
30,16.666666666666664,5,30,"{896, 897, 898, 899, 900, 901, 902, 903, 906, 907, 908, 912, 913, 922, 689, 870, 874, 877, 880, 881, 889, 892, 893, 894, 895}"
37,0.0,0,1,"{915, 910}"
38,0.0,0,1,"{914, 909}"
42,0.0,0,1,"{890, 891}"
51,0.0,0,1,"{872, 873}"
54,0.0,0,2,"{865, 866, 868}"
74,0.0,0,1,"{840, 846}"
86,0.0,0,2,"{554, 828, 551}"
97,0.0,0,1,"{809, 807}"
137,0.0,0,2,"{322, 756, 324}"
148,0.0,0,3,"{745, 594, 588}"
151,66.66666666666666,2,3,"{739, 741, 742, 723}"
153,66.66666666666666,2,3,"{537, 738, 534, 535}"
156,0.0,0,1,"{733, 726}"
170,0.0,0,2,"{697, 714, 716}"
189,100.0,1,1,"{693, 694}"
190,0.0,0,1,"{691, 692}"
193,100.0,1,1,"{685, 687}"
199,0.0,0,1,"{680, 604}"
201,0.0,0,1,"{674, 677}"
202,0.0,0,1,"{675, 676}"
204,0.0,0,1,"{672, 671}"
208,0.0,0,1,"{658, 667}"
212,0.0,0,1,"{643, 662}"
213,0.0,0,4,"{647, 656, 657, 627, 661}"
221,0.0,0,4,"{614, 646, 649, 601, 638}"
230,0.0,0,2,"{635, 636, 622}"
232,0.0,0,1,"{633, 611}"
233,0.0,0,1,"{632, 562}"
234,14.285714285714285,1,7,"{230, 390, 265, 298, 339, 500, 631, 282}"
236,4.545454545454546,1,22,"{609, 515, 478, 583, 552, 520, 521, 267, 526, 527, 398, 529, 530, 629, 568, 574}"
244,100.0,1,1,"{570, 619}"
247,0.0,0,2,"{616, 1, 2}"
258,100.0,1,1,"{600, 589}"
260,0.0,0,1,"{598, 559}"
275,25.0,1,4,"{576, 579, 13, 565, 24}"
285,19.230769230769234,5,26,"{266, 280, 293, 561, 306, 312, 320, 323, 343, 348, 226, 231, 236, 237, 239, 240, 243, 244, 245, 246, 250, 251, 254}"
290,0.0,0,2,"{544, 528, 550}"
292,44.44444444444444,4,9,"{548, 518, 524, 539, 540, 541, 542, 543}"
294,100.0,1,1,"{545, 546}"
296,0.0,0,1,"{536, 522}"
297,0.0,0,1,"{337, 533}"
299,50.0,1,2,"{505, 506, 531}"
301,0.0,0,2,"{523, 508, 455}"
323,0.0,0,5,"{345, 490, 491, 489}"
336,33.33333333333333,1,3,"{380, 378, 468, 349}"
337,0.0,0,1,"{466, 221}"
338,50.0,1,2,"{448, 460, 463}"
346,0.0,0,2,"{449, 452, 453}"
357,100.0,1,1,"{432, 418}"
358,0.0,0,2,"{424, 422, 431}"
359,0.0,0,1,"{427, 430}"
361,50.0,1,2,"{417, 426, 351}"
366,33.33333333333333,1,3,"{410, 412, 406}"
368,100.0,1,1,"{408, 392}"
371,0.0,0,1,"{401, 402}"
