component,percentage,fixes_count,edge_count,component_nodes
10,0.0,0,13,"{480, 1, 129, 355, 2, 3, 4, 5, 6, 44, 269, 124, 671}"
16,0.0,0,1,"{665, 153}"
58,0.0,0,1,"{11, 623}"
77,0.0,0,2,"{601, 602, 603}"
154,66.66666666666666,2,3,"{154, 523, 524}"
177,100.0,1,1,"{498, 499}"
183,33.33333333333333,2,6,"{484, 485, 487, 488, 490, 491}"
310,0.0,0,1,"{352, 357}"
334,0.0,0,1,"{23, 327}"
397,0.0,0,1,"{262, 263}"
424,0.0,0,1,"{80, 235}"
427,0.0,0,1,"{232, 100}"
430,0.0,0,1,"{228, 229}"
482,0.0,0,1,"{176, 171}"
498,100.0,1,1,"{147, 159}"
502,100.0,1,1,"{155, 151}"
604,0.0,0,1,"{45, 39}"
610,0.0,0,1,"{36, 37}"
