component,percentage,fixes_count,edge_count,component_nodes
2,0.0,0,6,"{4319, 4303, 2675, 4151, 4155, 3677, 4159}"
3,1.5384615384615385,1,65,"{2560, 1410, 3592, 3593, 3594, 1937, 530, 1427, 3478, 1942, 3616, 3744, 2977, 3366, 3495, 3112, 3113, 3498, 3370, 1964, 1574, 42, 3378, 2996, 3003, 3005, 2631, 712, 3659, 3661, 3024, 2519, 2007, 1879, 3031, 3672, 3678, 4318, 1759, 97, 3559, 3050, 2796, 3061, 3831, 3706, 3579, 3196, 3325}"
9,0.0,0,1,"{4312, 4270}"
13,0.0,0,15,"{4294, 4200, 4296, 4282, 4299, 4205, 4206, 4177, 3537, 4308, 4152, 3545, 4122, 4287}"
14,3.1963470319634704,14,438,"{4098, 4125, 45, 55, 61, 64, 66, 69, 2118, 72, 76, 77, 78, 102, 4218, 125, 2173, 2180, 133, 2182, 143, 2197, 156, 2216, 2217, 2218, 2228, 181, 185, 186, 4286, 2240, 2248, 2249, 202, 4306, 4307, 212, 226, 2277, 231, 2290, 243, 2291, 2299, 278, 2329, 282, 292, 293, 295, 303, 313, 316, 320, 2380, 2381, 2386, 2397, 353, 354, 2404, 2407, 2408, 2409, 2413, 2421, 2423, 377, 379, 2428, 2431, 2438, 2439, 2443, 2448, 401, 405, 416, 417, 419, 423, 428, 2482, 435, 436, 446, 466, 472, 475, 477, 478, 481, 482, 483, 485, 487, 489, 523, 2577, 533, 537, 539, 558, 583, 587, 588, 594, 596, 2648, 609, 627, 637, 638, 648, 655, 662, 669, 675, 677, 680, 685, 687, 690, 691, 693, 699, 706, 708, 709, 710, 718, 719, 720, 722, 723, 726, 733, 739, 745, 750, 754, 756, 757, 758, 764, 776, 783, 785, 794, 2848, 2849, 821, 822, 824, 845, 2898, 858, 861, 863, 866, 2922, 2933, 890, 898, 899, 905, 909, 918, 920, 923, 938, 948, 951, 3000, 957, 959, 3008, 965, 966, 3014, 3016, 972, 975, 977, 992, 3048, 1003, 1005, 3055, 1012, 1018, 1019, 1020, 1021, 3070, 1023, 1024, 1026, 1028, 1029, 3079, 1033, 1035, 1036, 1037, 1038, 1039, 3083, 1041, 1044, 1045, 1046, 1048, 1050, 1051, 1052, 1053, 1056, 1057, 1058, 1062, 1066, 1067, 1070, 1072, 1073, 1086, 1090, 1091, 1092, 1095, 1097, 1106, 1107, 1108, 1109, 1111, 1112, 1114, 1115, 1117, 1121, 3171, 1125, 1128, 1131, 1132, 1134, 1137, 1139, 3188, 1140, 1143, 1146, 1152, 1154, 1155, 1157, 1160, 1163, 1168, 1169, 1171, 1172, 1175, 1176, 1179, 1192, 1194, 1195, 1196, 1197, 1199, 1202, 1203, 1205, 1206, 1223, 1230, 1235, 3314, 1267, 1274, 1275, 1278, 1284, 1289, 1292, 1297, 1305, 1309, 1310, 1321, 1322, 1326, 1345, 1361, 1372, 3422, 1374, 1382, 1392, 3441, 1395, 1398, 1402, 1408, 1452, 1454, 1462, 1470, 1471, 1472, 1473, 1484, 1487, 1492, 1493, 1494, 1496, 1497, 1517, 1536, 1538, 1541, 1611, 1619, 3673, 1627, 1629, 1640, 1644, 1645, 3719, 1676, 1677, 1715, 1719, 1723, 1729, 1730, 3782, 1750, 1751, 1762, 1763, 1780, 1781, 1814, 1824, 1827, 1854, 1857, 3907, 3913, 1871, 1882, 3934, 3985, 1979, 4035, 4042, 2003, 2005, 2022, 2045}"
18,0.0,0,2,"{4292, 4301, 4261}"
30,100.0,1,1,"{4242, 4283}"
32,33.33333333333333,1,3,"{4280, 4083, 4220, 4279}"
33,0.0,0,10,"{4036, 3941, 4170, 4171, 4207, 4273, 4018, 4278, 4183, 3929, 3163}"
38,3.125,1,32,"{1, 2, 3, 3460, 5, 1543, 2057, 3465, 1421, 1173, 1560, 1946, 934, 1576, 1578, 2219, 1579, 4272, 2116, 1096, 332, 3405, 2941, 1622, 1626, 1630, 1631, 1632, 742, 1276, 4093}"
51,0.0,0,8,"{4257, 2564, 1714, 4148, 2041, 2557, 4255}"
66,0.0,0,3,"{4240, 4225, 4048}"
68,0.0,0,1,"{4216, 4238}"
75,0.0,0,1,"{4212, 4231}"
76,0.0,0,5,"{4196, 4165, 4198, 4230, 4204, 3963}"
81,0.0,0,12,"{4224, 3553, 3555, 3556, 3557, 2918, 3561, 3600, 4149, 2070, 4215, 3225, 3582}"
103,0.0,0,1,"{4189, 4190}"
109,0.0,0,1,"{4181, 4182}"
112,0.0,0,1,"{1952, 4178}"
116,50.0,1,2,"{3868, 4173, 3159}"
120,0.0,0,2,"{4162, 4095, 4167}"
124,0.0,0,1,"{4161, 3443}"
135,0.0,0,6,"{3213, 3214, 3215, 4144, 2654, 3647}"
151,0.0,0,5,"{4128, 4076, 3948, 3956, 3960}"
162,0.0,0,1,"{3736, 4115}"
177,0.0,0,1,"{4099, 4100}"
183,0.0,0,1,"{4089, 4090}"
196,0.0,0,10,"{546, 676, 1001, 4074, 2062, 1334, 121, 702}"
228,0.0,0,1,"{4040, 3897}"
232,100.0,1,1,"{4034, 3820}"
233,0.0,0,2,"{4033, 3238, 3239}"
239,0.0,0,1,"{3336, 4027}"
270,0.0,0,1,"{3994, 3995}"
310,0.0,0,3,"{3898, 3893, 3950}"
324,0.0,0,1,"{3932, 3933}"
329,0.0,0,1,"{2761, 3926}"
330,0.0,0,1,"{3300, 3925}"
331,0.0,0,2,"{3624, 3920, 3924}"
338,0.0,0,1,"{3916, 3901}"
342,0.0,0,4,"{3911, 3819, 3852, 3829, 3864}"
343,0.0,0,1,"{3908, 3910}"
351,0.0,0,1,"{3899, 94}"
355,0.0,0,1,"{2948, 3892}"
356,0.0,0,1,"{3840, 3891}"
357,0.0,0,1,"{3890, 3811}"
375,0.0,0,8,"{3872, 3747, 3752, 3660, 3608, 3772, 3645}"
430,0.0,0,1,"{3808, 3807}"
441,0.0,0,1,"{3796, 3791}"
448,0.0,0,15,"{2592, 2593, 2400, 2085, 2406, 1895, 1512, 3788, 2585, 1456, 2609, 1877, 1561, 2586, 891}"
482,0.0,0,1,"{3746, 3751}"
483,33.33333333333333,3,9,"{2788, 3750, 2959, 3119, 273, 272, 2231}"
484,0.0,0,1,"{3739, 3749}"
485,0.0,0,1,"{3740, 3748}"
491,0.0,0,2,"{3737, 3362, 3452}"
496,0.0,0,1,"{3731, 1316}"
507,0.0,0,5,"{3720, 3699, 3700, 3675, 3709}"
515,0.0,0,5,"{3472, 3512, 3705, 3710, 3711}"
522,0.0,0,1,"{3698, 3662}"
526,0.0,0,1,"{3691, 3694}"
530,0.0,0,2,"{3689, 2157, 2949}"
540,0.0,0,4,"{3394, 3398, 3635, 3636, 3679}"
542,0.0,0,2,"{1242, 3674, 605}"
565,0.0,0,2,"{3643, 2165, 1747}"
574,0.0,0,1,"{3632, 3620}"
586,0.0,0,1,"{3589, 3615}"
587,0.0,0,1,"{3611, 3614}"
591,0.0,0,1,"{3609, 3570}"
595,0.0,0,7,"{3429, 2729, 3499, 3503, 3604, 1846}"
597,7.142857142857142,1,14,"{704, 608, 328, 2574, 590, 3025, 3602, 2643, 1746, 244, 114, 727, 728, 563, 509}"
601,0.0,0,1,"{3588, 3597}"
610,0.0,0,4,"{2806, 3094, 3126, 2459, 3583}"
617,0.0,0,1,"{3565, 3574}"
621,0.0,0,1,"{3569, 3551}"
623,0.0,0,1,"{3566, 3567}"
625,0.0,0,3,"{3546, 3563, 3476, 3491}"
627,0.0,0,1,"{3560, 3549}"
630,0.0,0,1,"{3552, 2569}"
635,0.0,0,2,"{2708, 3541, 3543}"
636,0.0,0,1,"{3536, 3542}"
645,50.0,1,2,"{3312, 3530, 3316}"
652,0.0,0,1,"{3523, 3502}"
653,0.0,0,35,"{1671, 1552, 1564, 797, 3488, 33, 3490, 1569, 2982, 2985, 1845, 2998, 1591, 1592, 3257, 3004, 3522, 2141, 3040, 1504, 1767, 3049, 874, 3054, 1520, 2545, 2169}"
655,0.0,0,1,"{3520, 3424}"
664,0.0,0,1,"{2874, 3510}"
669,0.0,0,1,"{3505, 3303}"
677,0.0,0,1,"{3492, 3326}"
687,0.0,0,1,"{3306, 3479}"
697,3.4482758620689653,2,58,"{2048, 387, 645, 903, 904, 3466, 907, 2834, 2835, 1301, 2075, 1948, 1819, 2076, 1311, 928, 1185, 926, 933, 2342, 935, 805, 1193, 2101, 2229, 2615, 437, 60, 2366, 62, 447, 1217, 963, 2373, 2377, 331, 2253, 80, 1875, 2391, 1498, 93, 1501, 1248, 96, 2276, 3432, 1385, 2666, 3305, 1258, 1257, 111, 880, 3060, 3448}"
699,0.0,0,1,"{3462, 3463}"
701,0.0,0,6,"{3459, 2756, 2822, 2394, 2717, 3294}"
703,0.0,0,2,"{3457, 3406, 3342}"
705,0.0,0,3,"{2363, 3453, 3446, 3455}"
715,0.0,0,1,"{2349, 3439}"
718,0.0,0,1,"{2011, 3436}"
721,0.0,0,1,"{3433, 2947}"
723,0.0,0,1,"{2747, 3430}"
724,0.0,0,1,"{2378, 3428}"
726,6.25,1,16,"{321, 3426, 2466, 324, 1317, 1732, 615, 104, 105, 1736, 2571, 653, 1294, 2097, 1430, 3417, 1049}"
727,0.0,0,1,"{3425, 3343}"
729,0.0,0,1,"{3420, 3421}"
738,0.0,0,1,"{3410, 3199}"
758,0.0,0,2,"{3385, 3386, 2927}"
761,0.0,0,2,"{3307, 2516, 3382}"
765,0.0,0,14,"{740, 1957, 1384, 2829, 781, 3377, 2865, 118, 3351, 2554, 1246}"
777,0.0,0,1,"{3363, 3301}"
778,0.0,0,1,"{3361, 3313}"
781,0.0,0,1,"{3358, 3295}"
782,0.0,0,1,"{3357, 3334}"
783,0.0,0,1,"{3355, 3356}"
785,0.0,0,1,"{3352, 3353}"
786,0.0,0,1,"{3088, 3350}"
798,0.0,0,2,"{2825, 3283, 3335}"
805,0.0,0,1,"{2701, 3327}"
806,0.0,0,5,"{3136, 2468, 1658, 2587, 3324}"
808,0.0,0,3,"{3120, 3322, 3279, 2962}"
811,0.0,0,1,"{3127, 3319}"
824,0.0,0,3,"{3296, 329, 931, 349}"
833,0.0,0,1,"{3277, 3285}"
834,0.0,0,2,"{3249, 3284, 3150}"
836,33.33333333333333,1,3,"{3240, 3281, 3251, 3229}"
838,0.0,0,1,"{3019, 3278}"
843,100.0,1,1,"{3272, 3271}"
845,0.0,0,1,"{3177, 3269}"
848,100.0,1,1,"{3266, 3262}"
849,50.0,1,2,"{3265, 2845, 2903}"
852,0.0,0,1,"{2697, 3261}"
856,0.0,0,1,"{3256, 3253}"
887,0.0,0,1,"{3217, 2067}"
891,100.0,1,1,"{3210, 3174}"
893,100.0,1,1,"{3208, 3164}"
916,0.0,0,1,"{2155, 3182}"
925,0.0,0,1,"{2000, 3170}"
927,33.33333333333333,1,3,"{3168, 3166, 2776}"
936,0.0,0,1,"{3122, 3155}"
938,100.0,1,1,"{3153, 3093}"
952,0.0,0,2,"{3138, 1396, 1773}"
971,0.0,0,2,"{2674, 2732, 3111}"
974,0.0,0,1,"{2099, 3108}"
980,100.0,1,1,"{3102, 3095}"
986,0.0,0,1,"{3096, 2904}"
991,0.0,0,1,"{2886, 3087}"
992,0.0,0,3,"{2017, 2362, 3086, 2119}"
998,0.0,0,1,"{3073, 3078}"
1000,0.0,0,2,"{952, 2956, 3076}"
1002,100.0,1,1,"{3074, 1967}"
1003,0.0,0,4,"{3072, 3042, 1636, 2680, 1147}"
1006,0.0,0,6,"{2850, 1318, 1319, 3057, 1017, 3067, 3068}"
1010,0.0,0,3,"{3023, 3052, 3062, 3063}"
1011,0.0,0,1,"{3058, 3059}"
1017,0.0,0,1,"{3021, 3045}"
1019,0.0,0,1,"{2843, 3043}"
1038,0.0,0,1,"{3009, 3015}"
1058,100.0,1,1,"{2986, 2647}"
