component,percentage,edge_count,max_possible,component_nodes
11,50.0,1,2,"{1041, 988}"
31,33.33333333333333,2,6,"{1013, 1021, 1014}"
37,50.0,1,2,"{1007, 1015}"
41,50.0,1,2,"{1008, 1009}"
46,33.33333333333333,2,6,"{169, 1002, 25}"
51,0.4378990939148431,347,79242,"{1, 2, 3, 4, 5, 518, 6, 8, 9, 522, 10, 7, 520, 527, 16, 529, 21, 513, 24, 537, 538, 514, 540, 543, 545, 548, 551, 552, 39, 553, 554, 41, 557, 558, 559, 560, 564, 566, 568, 569, 570, 573, 574, 576, 577, 578, 71, 75, 600, 601, 604, 605, 608, 612, 613, 615, 619, 620, 108, 631, 634, 639, 641, 643, 649, 138, 651, 652, 655, 144, 657, 658, 146, 143, 149, 662, 148, 147, 153, 154, 667, 156, 670, 672, 674, 163, 677, 166, 679, 168, 681, 171, 684, 687, 688, 689, 690, 175, 692, 181, 694, 182, 184, 186, 187, 188, 699, 192, 193, 706, 197, 198, 199, 200, 201, 714, 202, 716, 718, 206, 208, 207, 722, 210, 212, 215, 729, 731, 219, 733, 221, 735, 222, 226, 228, 229, 233, 747, 235, 237, 749, 751, 236, 244, 757, 249, 251, 254, 766, 256, 257, 769, 770, 261, 262, 264, 268, 782, 271, 273, 786, 276, 277, 278, 283, 286, 289, 803, 804, 805, 291, 295, 294, 806, 298, 299, 300, 814, 302, 303, 305, 820, 828, 316, 319, 321, 834, 324, 335, 339, 854, 855, 350, 864, 354, 356, 873, 363, 878, 879, 368, 886, 887, 376, 377, 891, 380, 381, 898, 387, 388, 901, 390, 393, 909, 397, 911, 399, 400, 915, 916, 917, 918, 407, 404, 921, 410, 411, 417, 930, 931, 420, 421, 932, 935, 418, 939, 427, 942, 947, 948, 949, 439, 443, 444, 960, 449, 453, 454, 455, 968, 457, 458, 971, 459, 463, 978, 979, 466, 470, 984, 985, 986, 987, 989, 481, 994, 995, 996, 997, 484, 485, 488, 492, 494, 495, 499, 500, 501, 508, 509, 511}"
56,50.0,1,2,"{982, 983}"
74,50.0,1,2,"{292, 959}"
89,50.0,1,2,"{938, 940}"
96,50.0,1,2,"{736, 927}"
136,50.0,1,2,"{872, 845}"
138,33.33333333333333,2,6,"{868, 869, 870}"
148,50.0,1,2,"{857, 775}"
150,33.33333333333333,2,6,"{840, 842, 853}"
153,33.33333333333333,2,6,"{816, 850, 819}"
154,50.0,1,2,"{849, 162}"
157,33.33333333333333,2,6,"{824, 818, 846}"
160,50.0,1,2,"{841, 825}"
163,50.0,1,2,"{811, 837}"
170,50.0,1,2,"{812, 829}"
180,50.0,1,2,"{809, 807}"
184,50.0,1,2,"{800, 678}"
202,33.33333333333333,2,6,"{754, 780, 774}"
208,19.642857142857142,11,56,"{673, 772, 740, 745, 746, 726, 665, 730}"
212,50.0,1,2,"{764, 765}"
215,50.0,1,2,"{761, 758}"
224,14.285714285714285,6,42,"{515, 744, 584, 555, 429, 468, 469}"
225,50.0,1,2,"{710, 743}"
227,33.33333333333333,2,6,"{705, 707, 741}"
228,50.0,1,2,"{739, 693}"
242,50.0,1,2,"{307, 715}"
257,50.0,1,2,"{536, 691}"
270,33.33333333333333,2,6,"{616, 567, 663}"
282,20.0,4,20,"{644, 618, 588, 590, 630}"
294,50.0,1,2,"{626, 531}"
295,50.0,1,2,"{625, 493}"
298,50.0,1,2,"{614, 622}"
312,33.33333333333333,2,6,"{587, 586, 595}"
315,50.0,1,2,"{592, 28}"
320,50.0,3,6,"{491, 582, 486}"
324,50.0,1,2,"{571, 575}"
328,50.0,1,2,"{562, 285}"
338,50.0,1,2,"{539, 223}"
349,50.0,1,2,"{521, 519}"
351,50.0,1,2,"{504, 516}"
355,20.0,4,20,"{471, 440, 441, 506, 445}"
363,50.0,1,2,"{489, 479}"
369,25.0,3,12,"{204, 477, 190, 151}"
373,16.666666666666664,5,30,"{320, 231, 464, 309, 473, 315}"
381,50.0,1,2,"{442, 452}"
387,33.33333333333333,2,6,"{432, 436, 438}"
389,50.0,1,2,"{435, 431}"
394,33.33333333333333,2,6,"{281, 426, 203}"
400,33.33333333333333,4,12,"{416, 402, 403, 398}"
401,25.0,3,12,"{353, 332, 68, 415}"
423,25.0,5,20,"{367, 369, 246, 375, 347}"
424,25.0,3,12,"{282, 214, 374, 230}"
433,50.0,1,2,"{361, 242}"
436,50.0,1,2,"{357, 358}"
446,50.0,1,2,"{340, 342}"
460,50.0,1,2,"{322, 323}"
473,50.0,1,2,"{296, 245}"
483,50.0,1,2,"{272, 266}"
488,50.0,1,2,"{122, 263}"
504,50.0,3,6,"{232, 217, 159}"
519,50.0,1,2,"{189, 167}"
533,50.0,1,2,"{161, 121}"
541,50.0,1,2,"{140, 142}"
546,50.0,1,2,"{132, 135}"
552,20.0,4,20,"{128, 81, 83, 116, 115}"
562,16.666666666666664,5,30,"{48, 114, 82, 87, 88, 90}"
575,33.33333333333333,2,6,"{96, 98, 100}"
588,50.0,3,6,"{77, 78, 79}"
594,50.0,1,2,"{67, 69}"
