component,percentage,edge_count,max_possible,component_nodes
18,20.0,4,20,"{320, 293, 332, 349, 351}"
31,33.33333333333333,2,6,"{337, 330, 313}"
35,33.33333333333333,2,6,"{322, 284, 333}"
41,50.0,1,2,"{325, 303}"
47,3.4759358288770055,39,1122,"{134, 136, 17, 147, 151, 154, 160, 162, 166, 169, 170, 171, 178, 317, 193, 67, 77, 80, 86, 221, 223, 225, 226, 99, 230, 103, 104, 232, 109, 113, 116, 119, 120, 122}"
56,50.0,1,2,"{307, 285}"
60,50.0,1,2,"{197, 302}"
66,50.0,1,2,"{296, 243}"
98,14.285714285714285,8,56,"{259, 261, 101, 49, 56, 57, 61, 62}"
111,50.0,1,2,"{246, 247}"
112,33.33333333333333,2,6,"{229, 242, 245}"
118,50.0,1,2,"{237, 118}"
133,33.33333333333333,2,6,"{212, 213, 215}"
136,50.0,1,2,"{210, 125}"
142,50.0,1,2,"{203, 204}"
197,25.0,3,12,"{65, 114, 83, 135}"
221,50.0,1,2,"{96, 97}"
223,50.0,1,2,"{93, 94}"
224,50.0,1,2,"{88, 92}"
225,25.0,3,12,"{89, 90, 91, 22}"
229,33.33333333333333,2,6,"{81, 82, 34}"
233,50.0,1,2,"{75, 70}"
234,50.0,1,2,"{73, 74}"
249,50.0,1,2,"{51, 4}"
255,50.0,1,2,"{44, 30}"
262,33.33333333333333,4,12,"{24, 33, 21, 37}"
274,50.0,1,2,"{18, 19}"
275,33.33333333333333,2,6,"{16, 10, 13}"
