component,percentage,fixes_count,edge_count,component_nodes
1,2.4390243902439024,2,82,"{384, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 682, 51, 282, 56, 57, 668, 448, 71, 294, 76, 462, 592, 209, 594, 780, 598, 474, 608, 1123, 612, 1128, 617, 364, 628, 762, 638, 383}"
31,0.0,0,6,"{1089, 1097, 1081, 1082, 1085, 1086}"
44,10.0,1,10,"{1057, 1058, 1059, 1043, 1047, 1044, 1079, 1051, 1054}"
59,0.0,0,3,"{1064, 521, 152, 207}"
92,0.0,0,1,"{1020, 1022}"
96,0.0,0,4,"{1001, 1004, 1012, 1016, 1017}"
97,0.0,0,2,"{929, 402, 1015}"
116,4.545454545454546,1,22,"{993, 961, 967, 776, 777, 970, 975, 976, 977, 978, 591, 980, 799, 954, 955, 636, 959}"
124,0.0,0,1,"{985, 414}"
140,0.0,0,1,"{962, 956}"
157,100.0,1,1,"{938, 940}"
180,0.0,0,1,"{913, 915}"
186,0.0,0,1,"{890, 908}"
194,0.0,0,2,"{497, 900, 566}"
195,0.0,0,1,"{899, 893}"
203,0.0,0,1,"{889, 885}"
207,0.0,0,2,"{874, 884, 877}"
209,0.0,0,1,"{881, 882}"
220,0.0,0,1,"{868, 844}"
239,0.0,0,1,"{849, 579}"
265,0.0,0,1,"{816, 822}"
266,0.0,0,9,"{779, 685, 179, 821, 662}"
292,0.0,0,1,"{648, 793}"
298,0.0,0,1,"{787, 527}"
315,50.0,2,4,"{751, 752, 760, 765, 766}"
328,100.0,1,1,"{747, 748}"
336,0.0,0,1,"{713, 739}"
351,0.0,0,5,"{647, 263, 298, 368, 177, 724}"
361,0.0,0,1,"{714, 708}"
368,0.0,0,1,"{705, 700}"
375,0.0,0,1,"{697, 691}"
377,0.0,0,1,"{689, 695}"
388,0.0,0,3,"{680, 660, 631}"
395,0.0,0,1,"{673, 397}"
396,0.0,0,1,"{672, 671}"
399,0.0,0,1,"{666, 667}"
405,100.0,1,1,"{649, 658}"
407,0.0,0,1,"{656, 251}"
408,0.0,0,8,"{130, 165, 73, 78, 655, 81, 212, 508, 62}"
416,0.0,0,1,"{641, 644}"
418,50.0,1,2,"{624, 642, 629}"
419,0.0,0,1,"{640, 639}"
422,0.0,0,1,"{633, 634}"
433,0.0,0,1,"{618, 604}"
434,0.0,0,1,"{616, 127}"
439,0.0,0,1,"{610, 606}"
440,33.33333333333333,1,3,"{609, 580, 605}"
499,0.0,0,2,"{539, 491, 495}"
502,0.0,0,1,"{536, 501}"
522,0.0,0,3,"{312, 514, 316, 309}"
545,0.0,0,9,"{449, 260, 486, 264, 303, 308, 342}"
558,0.0,0,2,"{472, 68, 142}"
591,0.0,0,1,"{436, 430}"
592,0.0,0,4,"{200, 201, 435, 204}"
604,0.0,0,1,"{357, 421}"
636,0.0,0,1,"{386, 374}"
639,0.0,0,1,"{139, 381}"
641,0.0,0,2,"{376, 379, 375}"
643,0.0,0,1,"{352, 377}"
651,0.0,0,3,"{362, 252, 365, 143}"
654,0.0,0,1,"{360, 337}"
674,100.0,1,1,"{336, 333}"
678,0.0,0,1,"{331, 276}"
681,0.0,0,1,"{328, 261}"
697,0.0,0,5,"{96, 230, 74, 306, 310, 95}"
705,0.0,0,1,"{297, 259}"
721,0.0,0,1,"{154, 279}"
733,0.0,0,1,"{266, 262}"
758,0.0,0,1,"{232, 233}"
777,0.0,0,11,"{161, 195, 163, 168, 141, 211, 186, 156, 61}"
803,0.0,0,2,"{176, 170, 172}"
809,0.0,0,1,"{166, 167}"
812,0.0,0,1,"{160, 157}"
813,0.0,0,1,"{128, 159}"
817,0.0,0,1,"{150, 151}"
858,0.0,0,1,"{100, 102}"
863,0.0,0,2,"{89, 60, 94}"
865,0.0,0,1,"{92, 87}"
866,100.0,1,1,"{90, 91}"
872,100.0,1,1,"{82, 79}"
879,0.0,0,1,"{66, 67}"
