component,percentage,fixes_count,edge_count,component_nodes
5,0.0,0,2,"{369, 418, 343}"
14,100.0,1,1,"{408, 409}"
23,0.0,0,2,"{397, 398, 399}"
28,0.0,0,1,"{392, 391}"
29,0.0,0,2,"{112, 129, 390}"
45,0.0,0,1,"{201, 374}"
56,0.0,0,20,"{101, 70, 40, 59, 362, 74, 139, 13, 14, 45, 17, 18, 20, 118, 119, 57, 27}"
57,10.0,1,10,"{192, 323, 69, 361, 332, 172, 271, 272, 310}"
61,0.0,0,4,"{357, 327, 247, 250, 190}"
64,0.0,0,1,"{354, 131}"
67,0.0,0,2,"{320, 185, 351}"
81,33.33333333333333,1,3,"{336, 92, 37, 62}"
100,0.0,0,1,"{313, 311}"
115,0.0,0,1,"{296, 228}"
118,0.0,0,2,"{50, 51, 293}"
131,0.0,0,2,"{280, 48, 99}"
132,0.0,0,1,"{64, 279}"
133,0.0,0,1,"{187, 278}"
139,0.0,0,1,"{145, 270}"
161,66.66666666666666,2,3,"{184, 182, 246}"
167,0.0,0,1,"{240, 210}"
172,0.0,0,6,"{224, 225, 226, 229, 230, 235, 220}"
186,0.0,0,1,"{205, 214}"
190,0.0,0,2,"{209, 21, 95}"
194,0.0,0,1,"{204, 117}"
198,0.0,0,1,"{195, 199}"
199,100.0,1,1,"{189, 198}"
200,0.0,0,1,"{35, 197}"
208,0.0,0,1,"{181, 175}"
238,0.0,0,1,"{149, 55}"
244,0.0,0,1,"{121, 142}"
246,0.0,0,1,"{138, 140}"
252,0.0,0,2,"{120, 89, 132}"
258,0.0,0,1,"{34, 124}"
265,0.0,0,1,"{41, 111}"
270,0.0,0,1,"{106, 93}"
271,0.0,0,1,"{105, 78}"
272,100.0,1,1,"{104, 77}"
277,0.0,0,1,"{97, 61}"
296,0.0,0,1,"{39, 71}"
305,0.0,0,1,"{43, 54}"
319,0.0,0,1,"{29, 22}"
320,0.0,0,1,"{28, 23}"
