component,percentage,fixes_count,edge_count,component_nodes
0,37.5,3,8,"{740, 689, 723, 694, 697, 666, 730}"
1,100.0,1,1,"{736, 739}"
7,0.0,0,1,"{732, 727}"
10,0.0,0,1,"{728, 663}"
11,0.0,0,3,"{725, 726, 679}"
13,0.0,0,1,"{722, 711}"
17,0.0,0,2,"{696, 171, 717}"
24,0.0,0,3,"{691, 708, 701, 702}"
26,16.666666666666664,2,12,"{706, 523, 555, 621, 590, 570, 700, 542}"
29,7.936507936507936,5,63,"{1, 131, 133, 10, 267, 140, 654, 655, 400, 656, 143, 658, 20, 21, 24, 537, 538, 540, 669, 670, 32, 38, 39, 680, 681, 684, 557, 686, 48, 50, 693, 443, 66, 68, 212, 599, 88, 350, 101, 110, 368, 625, 114, 626, 116, 117, 118, 503, 628, 637, 638}"
34,0.0,0,3,"{682, 683, 685}"
35,0.0,0,1,"{662, 678}"
49,50.0,1,2,"{313, 659, 311}"
53,0.0,0,1,"{640, 651}"
54,0.0,0,1,"{649, 650}"
55,0.0,0,1,"{648, 595}"
67,0.0,0,4,"{609, 610, 633, 603, 604}"
72,7.59493670886076,6,79,"{385, 386, 261, 391, 392, 135, 263, 265, 12, 141, 527, 529, 402, 531, 276, 530, 406, 152, 153, 410, 548, 550, 423, 168, 554, 170, 172, 175, 176, 178, 563, 308, 179, 439, 441, 444, 572, 190, 320, 448, 195, 452, 454, 331, 77, 462, 466, 467, 216, 475, 478, 351, 480, 482, 484, 486, 487, 495, 497, 627, 373, 375, 506, 382, 511}"
79,0.0,0,3,"{617, 177, 188, 181}"
89,0.0,0,6,"{594, 596, 597, 598, 605}"
90,0.0,0,4,"{428, 435, 600, 601, 602}"
93,0.0,0,1,"{544, 591}"
114,0.0,0,1,"{566, 567}"
119,0.0,0,1,"{560, 321}"
140,25.0,1,4,"{401, 251, 525, 253}"
144,0.0,0,3,"{520, 473, 516, 517}"
146,0.0,0,1,"{515, 518}"
156,18.181818181818183,2,11,"{297, 298, 459, 396, 299, 395, 303, 340, 469, 502, 286}"
163,0.0,0,5,"{490, 491, 492, 493, 447}"
164,0.0,0,2,"{489, 468, 463}"
179,0.0,0,4,"{130, 137, 460, 442, 123}"
193,0.0,0,1,"{378, 436}"
195,0.0,0,1,"{433, 421}"
200,0.0,0,1,"{193, 427}"
208,0.0,0,1,"{417, 322}"
229,0.0,0,1,"{387, 381}"
231,0.0,0,1,"{353, 383}"
233,0.0,0,2,"{241, 2, 379}"
249,0.0,0,1,"{28, 359}"
251,0.0,0,2,"{357, 22, 23}"
255,0.0,0,1,"{352, 200}"
262,0.0,0,1,"{266, 343}"
265,0.0,0,1,"{339, 163}"
291,0.0,0,1,"{306, 239}"
296,0.0,0,1,"{291, 300}"
306,0.0,0,3,"{5, 3, 4, 285}"
312,0.0,0,1,"{277, 279}"
317,0.0,0,1,"{272, 235}"
319,0.0,0,4,"{145, 258, 142, 270}"
321,0.0,0,1,"{250, 268}"
323,50.0,1,2,"{208, 262, 207}"
327,0.0,0,1,"{256, 213}"
348,0.0,0,1,"{228, 229}"
349,0.0,0,2,"{136, 226, 227}"
370,0.0,0,1,"{198, 199}"
377,0.0,0,1,"{187, 183}"
383,16.666666666666664,2,12,"{160, 162, 169, 174, 148, 150, 156}"
394,0.0,0,1,"{154, 134}"
405,0.0,0,1,"{126, 127}"
416,11.11111111111111,1,9,"{104, 108, 109, 52, 53, 95}"
418,100.0,1,1,"{106, 82}"
424,0.0,0,2,"{96, 98, 61}"
435,0.0,0,1,"{80, 84}"
454,0.0,0,1,"{49, 59}"
469,100.0,1,1,"{19, 37}"
470,0.0,0,1,"{36, 31}"
472,0.0,0,1,"{34, 30}"
478,0.0,0,1,"{17, 18}"
