component,percentage,edge_count,max_possible,component_nodes
11,50.0,3,6,"{803, 812, 813}"
17,3.4453781512605044,41,1190,"{385, 1, 772, 7, 395, 14, 274, 276, 533, 277, 285, 414, 413, 417, 420, 806, 422, 552, 710, 330, 331, 203, 335, 80, 81, 344, 478, 486, 359, 365, 367, 623, 116, 503, 381}"
53,33.33333333333333,2,6,"{768, 598, 471}"
77,50.0,1,2,"{744, 35}"
78,16.666666666666664,7,42,"{736, 741, 743, 656, 240, 436, 729}"
92,33.33333333333333,2,6,"{652, 726, 687}"
97,11.11111111111111,8,72,"{256, 554, 364, 378, 176, 721, 25, 410, 702}"
98,50.0,1,2,"{720, 716}"
112,50.0,1,2,"{704, 588}"
187,33.33333333333333,4,12,"{625, 530, 509, 462}"
228,50.0,1,2,"{580, 581}"
231,50.0,1,2,"{576, 577}"
278,16.666666666666664,5,30,"{67, 488, 104, 525, 94, 95}"
282,50.0,1,2,"{520, 521}"
300,50.0,1,2,"{498, 500}"
314,50.0,1,2,"{482, 483}"
326,50.0,1,2,"{467, 468}"
336,50.0,1,2,"{456, 451}"
340,33.33333333333333,2,6,"{360, 353, 452}"
345,50.0,1,2,"{252, 446}"
346,33.33333333333333,2,6,"{376, 237, 445}"
350,50.0,1,2,"{441, 2}"
377,50.0,1,2,"{315, 407}"
380,50.0,1,2,"{56, 404}"
381,33.33333333333333,2,6,"{392, 394, 403}"
386,50.0,1,2,"{397, 398}"
388,50.0,1,2,"{393, 257}"
403,50.0,1,2,"{45, 373}"
411,50.0,1,2,"{361, 362}"
417,50.0,1,2,"{352, 338}"
434,50.0,1,2,"{332, 319}"
437,33.33333333333333,2,6,"{296, 246, 327}"
449,50.0,1,2,"{313, 302}"
452,50.0,1,2,"{309, 310}"
465,50.0,1,2,"{289, 294}"
469,11.11111111111111,8,72,"{129, 290, 122, 40, 105, 19, 245, 57, 26}"
492,50.0,1,2,"{262, 255}"
538,50.0,1,2,"{208, 205}"
540,50.0,1,2,"{72, 206}"
549,50.0,1,2,"{194, 195}"
550,50.0,1,2,"{193, 10}"
557,50.0,1,2,"{186, 126}"
562,50.0,1,2,"{180, 181}"
566,50.0,1,2,"{147, 175}"
574,50.0,1,2,"{163, 167}"
576,50.0,1,2,"{162, 165}"
578,50.0,1,2,"{161, 46}"
592,50.0,1,2,"{145, 146}"
596,50.0,1,2,"{131, 141}"
628,50.0,1,2,"{98, 102}"
631,50.0,1,2,"{96, 99}"
665,50.0,1,2,"{54, 55}"
