key_field,repo_name,component_number,component_size,percentage,fixes_count,edge_count,component_nodes
Activiti-Activiti+0,Activiti-Activiti,1,2,0.0,0,1,"{4011, 4013}"
Activiti-Activiti+1,Activiti-Activiti,16,2,0.0,0,1,"{3993, 3997}"
Activiti-Activiti+2,Activiti-Activiti,17,3,0.0,0,2,"{3992, 3986, 3996}"
Activiti-Activiti+3,Activiti-Activiti,26,2,0.0,0,1,"{3984, 3983}"
Activiti-Activiti+4,Activiti-Activiti,28,2,0.0,0,1,"{3980, 3981}"
Activiti-Activiti+5,Activiti-Activiti,30,3,0.0,0,2,"{3968, 3969, 3978}"
Activiti-Activiti+6,Activiti-Activiti,39,2,0.0,0,1,"{3966, 3967}"
Activiti-Activiti+7,Activiti-Activiti,40,2,0.0,0,1,"{3964, 3965}"
Activiti-Activiti+8,Activiti-Activiti,42,3,0.0,0,2,"{3962, 3948, 3950}"
Activiti-Activiti+9,Activiti-Activiti,44,6,0.0,0,5,"{3911, 3896, 3890, 3895, 3960, 3897}"
Activiti-Activiti+10,Activiti-Activiti,46,2,0.0,0,1,"{3957, 3958}"
Activiti-Activiti+11,Activiti-Activiti,53,2,0.0,0,1,"{3938, 3949}"
Activiti-Activiti+12,Activiti-Activiti,58,2,0.0,0,1,"{3916, 3943}"
Activiti-Activiti+13,Activiti-Activiti,62,2,0.0,0,1,"{3939, 3877}"
Activiti-Activiti+14,Activiti-Activiti,74,2,0.0,0,1,"{3925, 3926}"
Activiti-Activiti+15,Activiti-Activiti,79,2,0.0,0,1,"{3920, 3904}"
Activiti-Activiti+16,Activiti-Activiti,80,2,0.0,0,1,"{3882, 3919}"
Activiti-Activiti+17,Activiti-Activiti,86,2,0.0,0,1,"{3912, 3910}"
Activiti-Activiti+18,Activiti-Activiti,94,2,0.0,0,1,"{3900, 3901}"
Activiti-Activiti+19,Activiti-Activiti,99,2,0.0,0,1,"{3892, 3887}"
Activiti-Activiti+20,Activiti-Activiti,114,4,0.0,0,3,"{3873, 3826, 3828, 3825}"
Activiti-Activiti+21,Activiti-Activiti,120,3,0.0,0,2,"{3867, 3837, 3838}"
Activiti-Activiti+22,Activiti-Activiti,131,2,1.0,1,1,"{3856, 3855}"
Activiti-Activiti+23,Activiti-Activiti,135,2,0.0,0,1,"{3850, 3851}"
Activiti-Activiti+24,Activiti-Activiti,141,2,0.0,0,1,"{3836, 3844}"
Activiti-Activiti+25,Activiti-Activiti,145,3,0.0,0,2,"{3840, 3819, 3820}"
Activiti-Activiti+26,Activiti-Activiti,150,6,0.0,0,5,"{3713, 3815, 3816, 3657, 3832, 3679}"
Activiti-Activiti+27,Activiti-Activiti,153,2,0.0,0,1,"{3829, 3773}"
Activiti-Activiti+28,Activiti-Activiti,155,3,0.0,0,2,"{3824, 3721, 3656}"
Activiti-Activiti+29,Activiti-Activiti,159,2,0.0,0,1,"{3817, 3818}"
Activiti-Activiti+30,Activiti-Activiti,160,2,0.0,0,1,"{3813, 3814}"
Activiti-Activiti+31,Activiti-Activiti,174,3,0.0,0,2,"{3787, 3788, 3799}"
Activiti-Activiti+32,Activiti-Activiti,175,2,0.0,0,1,"{3796, 3798}"
Activiti-Activiti+33,Activiti-Activiti,176,11,0.0,0,10,"{3716, 3717, 3752, 3786, 3661, 3673, 3793, 3730, 3668, 3797, 3737}"
Activiti-Activiti+34,Activiti-Activiti,181,5,0.0,0,4,"{2507, 3790, 2577, 2579, 2428}"
Activiti-Activiti+35,Activiti-Activiti,183,3,0.0,0,2,"{3784, 3785, 3765}"
Activiti-Activiti+36,Activiti-Activiti,184,2,0.0,0,1,"{3782, 3783}"
Activiti-Activiti+37,Activiti-Activiti,196,2,1.0,1,1,"{3769, 1639}"
Activiti-Activiti+38,Activiti-Activiti,218,2,0.0,0,1,"{3744, 3745}"
Activiti-Activiti+39,Activiti-Activiti,220,2,0.0,0,1,"{3741, 3742}"
Activiti-Activiti+40,Activiti-Activiti,221,2,0.0,0,1,"{3738, 3740}"
Activiti-Activiti+41,Activiti-Activiti,226,2,0.0,0,1,"{3732, 3733}"
Activiti-Activiti+42,Activiti-Activiti,237,2,1.0,1,1,"{3718, 3719}"
Activiti-Activiti+43,Activiti-Activiti,241,5,0.0,0,6,"{2837, 3704, 3707, 3710, 3711}"
Activiti-Activiti+44,Activiti-Activiti,260,2,0.0,0,1,"{3688, 3689}"
Activiti-Activiti+45,Activiti-Activiti,262,2,0.0,0,1,"{3684, 3685}"
Activiti-Activiti+46,Activiti-Activiti,266,2,0.0,0,1,"{3680, 3674}"
Activiti-Activiti+47,Activiti-Activiti,269,2,0.0,0,1,"{3676, 3653}"
Activiti-Activiti+48,Activiti-Activiti,282,4,0.0,0,4,"{3392, 3368, 3659, 3430}"
Activiti-Activiti+49,Activiti-Activiti,283,2,0.0,0,1,"{1721, 3658}"
