component,percentage,edge_count,max_possible,component_nodes
1,25.0,3,12,"{350, 354, 357, 358}"
2,50.0,1,2,"{353, 356}"
3,50.0,1,2,"{355, 252}"
4,33.33333333333333,2,6,"{352, 329, 330}"
7,50.0,1,2,"{347, 348}"
10,50.0,1,2,"{344, 341}"
14,50.0,1,2,"{338, 339}"
18,50.0,1,2,"{195, 334}"
20,11.11111111111111,8,72,"{197, 201, 202, 299, 332, 300, 245, 217, 158}"
22,4.252873563218391,37,870,"{137, 267, 269, 22, 23, 24, 281, 159, 160, 169, 54, 187, 61, 189, 63, 64, 192, 65, 193, 70, 327, 328, 71, 74, 75, 76, 205, 213, 97, 235}"
24,50.0,1,2,"{60, 325}"
32,50.0,1,2,"{316, 317}"
35,50.0,1,2,"{312, 313}"
36,12.5,9,72,"{73, 81, 82, 311, 120, 89, 90, 124, 221}"
41,50.0,1,2,"{305, 306}"
46,33.33333333333333,2,6,"{296, 297, 298}"
47,33.33333333333333,2,6,"{242, 228, 295}"
50,33.33333333333333,2,6,"{218, 292, 246}"
51,50.0,1,2,"{291, 263}"
52,12.222222222222221,11,90,"{289, 290, 91, 237, 239, 92, 114, 155, 284, 93}"
54,25.0,3,12,"{231, 207, 223, 287}"
56,50.0,1,2,"{204, 285}"
59,50.0,1,2,"{280, 216}"
61,50.0,1,2,"{264, 278}"
62,20.0,4,20,"{262, 233, 270, 276, 277}"
64,16.666666666666664,5,30,"{260, 261, 7, 210, 274, 214}"
68,50.0,1,2,"{265, 268}"
75,50.0,1,2,"{236, 254}"
77,33.33333333333333,2,6,"{250, 251, 211}"
81,50.0,1,2,"{243, 244}"
83,33.33333333333333,2,6,"{240, 121, 151}"
87,20.0,4,20,"{230, 182, 183, 184, 185}"
111,33.33333333333333,2,6,"{178, 179, 181}"
124,50.0,1,2,"{136, 165}"
138,50.0,1,2,"{146, 138}"
149,25.0,3,12,"{98, 131, 132, 55}"
151,33.33333333333333,2,6,"{96, 129, 58}"
152,50.0,1,2,"{128, 127}"
153,50.0,1,2,"{125, 126}"
161,33.33333333333333,2,6,"{113, 100, 101}"
163,50.0,1,2,"{110, 111}"
168,17.857142857142858,10,56,"{99, 68, 105, 47, 49, 50, 83, 84}"
197,50.0,1,2,"{42, 43}"
199,50.0,1,2,"{40, 39}"
203,50.0,1,2,"{35, 31}"
204,50.0,1,2,"{34, 29}"
205,50.0,1,2,"{33, 30}"
207,50.0,1,2,"{27, 28}"
208,50.0,1,2,"{17, 26}"
209,50.0,1,2,"{25, 20}"
211,50.0,1,2,"{18, 19}"
212,50.0,1,2,"{16, 15}"
214,50.0,1,2,"{12, 13}"
221,50.0,1,2,"{3, 4}"
222,50.0,1,2,"{1, 2}"
