component,percentage,fixes_count,edge_count,component_nodes
1,0.0,0,3,"{350, 354, 357, 358}"
2,100.0,1,1,"{353, 356}"
3,100.0,1,1,"{355, 252}"
4,50.0,1,2,"{352, 329, 330}"
7,0.0,0,1,"{347, 348}"
10,0.0,0,1,"{344, 341}"
14,100.0,1,1,"{338, 339}"
18,0.0,0,1,"{195, 334}"
20,37.5,3,8,"{197, 201, 202, 299, 332, 300, 245, 217, 158}"
22,27.027027027027028,10,37,"{137, 267, 269, 22, 23, 24, 281, 159, 160, 169, 54, 187, 61, 189, 63, 64, 192, 65, 193, 70, 327, 328, 71, 74, 75, 76, 205, 213, 97, 235}"
24,0.0,0,1,"{60, 325}"
32,0.0,0,1,"{316, 317}"
35,0.0,0,1,"{312, 313}"
36,22.22222222222222,2,9,"{73, 81, 82, 311, 120, 89, 90, 124, 221}"
41,100.0,1,1,"{305, 306}"
46,0.0,0,2,"{296, 297, 298}"
47,100.0,2,2,"{242, 228, 295}"
50,100.0,2,2,"{218, 292, 246}"
51,100.0,1,1,"{291, 263}"
52,18.181818181818183,2,11,"{289, 290, 91, 237, 239, 92, 114, 155, 284, 93}"
54,66.66666666666666,2,3,"{231, 207, 223, 287}"
56,100.0,1,1,"{204, 285}"
59,100.0,1,1,"{280, 216}"
61,0.0,0,1,"{264, 278}"
62,0.0,0,4,"{262, 233, 270, 276, 277}"
64,0.0,0,5,"{260, 261, 7, 210, 274, 214}"
68,0.0,0,1,"{265, 268}"
75,0.0,0,1,"{236, 254}"
77,50.0,1,2,"{250, 251, 211}"
81,100.0,1,1,"{243, 244}"
83,0.0,0,2,"{240, 121, 151}"
87,25.0,1,4,"{230, 182, 183, 184, 185}"
111,50.0,1,2,"{178, 179, 181}"
124,0.0,0,1,"{136, 165}"
138,0.0,0,1,"{146, 138}"
149,33.33333333333333,1,3,"{98, 131, 132, 55}"
151,0.0,0,2,"{96, 129, 58}"
152,0.0,0,1,"{128, 127}"
153,0.0,0,1,"{125, 126}"
161,0.0,0,2,"{113, 100, 101}"
163,0.0,0,1,"{110, 111}"
168,30.0,3,10,"{99, 68, 105, 47, 49, 50, 83, 84}"
197,100.0,1,1,"{42, 43}"
199,100.0,1,1,"{40, 39}"
203,0.0,0,1,"{35, 31}"
204,100.0,1,1,"{34, 29}"
205,0.0,0,1,"{33, 30}"
207,100.0,1,1,"{27, 28}"
208,100.0,1,1,"{17, 26}"
209,100.0,1,1,"{25, 20}"
211,0.0,0,1,"{18, 19}"
212,0.0,0,1,"{16, 15}"
214,0.0,0,1,"{12, 13}"
221,0.0,0,1,"{3, 4}"
222,100.0,1,1,"{1, 2}"
