component,percentage,edge_count,max_possible,component_nodes
19,50.0,1,2,"{193, 194}"
25,50.0,1,2,"{187, 180}"
28,50.0,3,6,"{184, 169, 181}"
31,50.0,1,2,"{176, 179}"
41,25.0,3,12,"{135, 122, 134, 167}"
44,50.0,1,2,"{164, 143}"
63,33.33333333333333,2,6,"{128, 145, 51}"
68,50.0,3,6,"{99, 139, 101}"
69,33.33333333333333,2,6,"{81, 138, 91}"
72,33.33333333333333,2,6,"{125, 132, 133}"
89,33.33333333333333,2,6,"{112, 69, 39}"
96,50.0,1,2,"{104, 105}"
99,50.0,1,2,"{100, 84}"
101,50.0,1,2,"{97, 92}"
103,50.0,1,2,"{66, 95}"
110,50.0,1,2,"{75, 86}"
112,50.0,1,2,"{83, 78}"
115,50.0,1,2,"{46, 79}"
131,50.0,1,2,"{56, 59}"
138,50.0,1,2,"{50, 44}"
139,50.0,1,2,"{48, 49}"
141,50.0,1,2,"{43, 45}"
143,20.0,4,20,"{37, 41, 19, 29, 31}"
151,50.0,1,2,"{9, 30}"
154,50.0,1,2,"{26, 22}"
155,50.0,1,2,"{25, 11}"
161,50.0,1,2,"{17, 4}"
164,33.33333333333333,2,6,"{10, 13, 14}"
