component,percentage,fixes_count,edge_count,component_nodes
19,0.0,0,1,"{193, 194}"
25,0.0,0,1,"{187, 180}"
28,0.0,0,3,"{184, 169, 181}"
31,0.0,0,1,"{176, 179}"
41,0.0,0,3,"{135, 122, 134, 167}"
44,0.0,0,1,"{164, 143}"
63,0.0,0,2,"{128, 145, 51}"
68,0.0,0,3,"{99, 139, 101}"
69,0.0,0,2,"{81, 138, 91}"
72,0.0,0,2,"{125, 132, 133}"
89,0.0,0,2,"{112, 69, 39}"
96,0.0,0,1,"{104, 105}"
99,0.0,0,1,"{100, 84}"
101,0.0,0,1,"{97, 92}"
103,0.0,0,1,"{66, 95}"
110,100.0,1,1,"{75, 86}"
112,0.0,0,1,"{83, 78}"
115,0.0,0,1,"{46, 79}"
131,0.0,0,1,"{56, 59}"
138,100.0,1,1,"{50, 44}"
139,100.0,1,1,"{48, 49}"
141,100.0,1,1,"{43, 45}"
143,50.0,2,4,"{37, 41, 19, 29, 31}"
151,0.0,0,1,"{9, 30}"
154,100.0,1,1,"{26, 22}"
155,100.0,1,1,"{25, 11}"
161,100.0,1,1,"{17, 4}"
164,100.0,2,2,"{10, 13, 14}"
