component,percentage,fixes_count,edge_count,component_nodes
15,0.0,0,2,"{809, 642, 668}"
16,0.0,0,1,"{808, 676}"
24,0.0,0,4,"{800, 778, 763, 765, 798}"
47,0.0,0,2,"{690, 699, 775}"
69,0.0,0,1,"{749, 751}"
84,0.0,0,8,"{576, 448, 646, 496, 563, 312, 633, 637, 735}"
94,0.0,0,1,"{724, 725}"
97,0.0,0,2,"{721, 516, 513}"
132,0.0,0,9,"{615, 488, 649, 585, 555, 684, 595, 603, 604}"
141,0.0,0,14,"{1, 674, 2, 3, 131, 5, 7, 40, 9, 38, 11, 13, 15, 176, 49}"
154,0.0,0,1,"{225, 660}"
160,0.0,0,3,"{577, 458, 461, 654}"
167,0.0,0,1,"{644, 645}"
204,0.0,0,1,"{601, 594}"
207,0.0,0,1,"{598, 103}"
214,0.0,0,1,"{546, 589}"
215,0.0,0,1,"{584, 588}"
232,0.0,0,1,"{558, 566}"
238,0.0,0,2,"{249, 518, 559}"
244,0.0,0,1,"{524, 551}"
270,0.0,0,4,"{486, 487, 523, 491, 498}"
286,33.33333333333333,1,3,"{504, 474, 466, 503}"
320,8.333333333333332,1,12,"{320, 321, 326, 460, 396, 442, 339, 375, 410, 349, 413}"
332,0.0,0,1,"{300, 446}"
342,0.0,0,1,"{323, 435}"
343,0.0,0,17,"{288, 292, 294, 154, 296, 298, 107, 301, 142, 434, 306, 309, 310, 152, 314, 92, 157, 63}"
354,0.0,0,1,"{329, 423}"
385,0.0,0,1,"{389, 366}"
437,0.0,0,1,"{332, 333}"
446,0.0,0,1,"{317, 318}"
461,0.0,0,1,"{290, 291}"
469,0.0,0,1,"{281, 268}"
485,0.0,0,2,"{264, 104, 143}"
522,0.0,0,1,"{226, 223}"
557,0.0,0,1,"{170, 189}"
594,0.0,0,1,"{147, 117}"
614,0.0,0,1,"{8, 124}"
642,0.0,0,1,"{82, 91}"
692,0.0,0,2,"{26, 36, 22}"
694,0.0,0,2,"{34, 27, 30}"
698,0.0,0,1,"{28, 29}"
705,0.0,0,1,"{18, 14}"
