component,percentage,edge_count,max_possible,component_nodes
19,50.0,1,2,"{424, 426}"
23,50.0,1,2,"{416, 421}"
34,50.0,1,2,"{409, 170}"
62,33.33333333333333,2,6,"{378, 381, 358}"
68,50.0,1,2,"{360, 374}"
86,50.0,1,2,"{353, 354}"
90,16.666666666666664,7,42,"{325, 333, 335, 337, 345, 314, 349}"
103,25.0,3,12,"{202, 251, 332, 254}"
112,50.0,1,2,"{322, 277}"
116,50.0,1,2,"{97, 318}"
123,33.33333333333333,2,6,"{309, 269, 310}"
124,16.666666666666664,5,30,"{48, 308, 85, 86, 56, 92}"
133,50.0,1,2,"{299, 239}"
134,50.0,1,2,"{297, 298}"
137,50.0,1,2,"{292, 294}"
139,50.0,1,2,"{289, 291}"
142,50.0,1,2,"{134, 287}"
149,50.0,1,2,"{278, 279}"
157,33.33333333333333,2,6,"{265, 266, 268}"
175,50.0,1,2,"{213, 246}"
189,50.0,1,2,"{175, 231}"
204,50.0,1,2,"{216, 215}"
206,50.0,1,2,"{211, 212}"
207,50.0,1,2,"{210, 206}"
210,50.0,1,2,"{185, 207}"
211,25.0,3,12,"{184, 16, 204, 205}"
216,50.0,1,2,"{197, 198}"
217,10.0,11,110,"{2, 163, 196, 139, 172, 140, 112, 181, 182, 57, 58}"
223,33.33333333333333,4,12,"{160, 161, 162, 190}"
225,41.66666666666667,5,12,"{45, 188, 4, 142}"
227,50.0,1,2,"{186, 149}"
236,50.0,1,2,"{66, 171}"
246,50.0,1,2,"{156, 135}"
248,50.0,1,2,"{154, 119}"
249,50.0,1,2,"{153, 143}"
259,50.0,1,2,"{138, 50}"
267,50.0,1,2,"{128, 126}"
325,50.0,1,2,"{35, 62}"
338,50.0,1,2,"{43, 37}"
347,50.0,1,2,"{32, 11}"
349,50.0,1,2,"{29, 30}"
353,20.0,4,20,"{1, 14, 20, 22, 25}"
359,50.0,1,2,"{17, 15}"
363,50.0,1,2,"{8, 9}"
