component,percentage,fixes_count,edge_count,component_nodes
19,100.0,1,1,"{424, 426}"
23,0.0,0,1,"{416, 421}"
34,100.0,1,1,"{409, 170}"
62,50.0,1,2,"{378, 381, 358}"
68,0.0,0,1,"{360, 374}"
86,0.0,0,1,"{353, 354}"
90,0.0,0,7,"{325, 333, 335, 337, 345, 314, 349}"
103,33.33333333333333,1,3,"{202, 251, 332, 254}"
112,0.0,0,1,"{322, 277}"
116,0.0,0,1,"{97, 318}"
123,0.0,0,2,"{309, 269, 310}"
124,0.0,0,5,"{48, 308, 85, 86, 56, 92}"
133,0.0,0,1,"{299, 239}"
134,100.0,1,1,"{297, 298}"
137,0.0,0,1,"{292, 294}"
139,0.0,0,1,"{289, 291}"
142,0.0,0,1,"{134, 287}"
149,0.0,0,1,"{278, 279}"
157,0.0,0,2,"{265, 266, 268}"
175,0.0,0,1,"{213, 246}"
189,0.0,0,1,"{175, 231}"
204,0.0,0,1,"{216, 215}"
206,0.0,0,1,"{211, 212}"
207,0.0,0,1,"{210, 206}"
210,0.0,0,1,"{185, 207}"
211,0.0,0,3,"{184, 16, 204, 205}"
216,0.0,0,1,"{197, 198}"
217,0.0,0,11,"{2, 163, 196, 139, 172, 140, 112, 181, 182, 57, 58}"
223,0.0,0,4,"{160, 161, 162, 190}"
225,0.0,0,5,"{45, 188, 4, 142}"
227,0.0,0,1,"{186, 149}"
236,0.0,0,1,"{66, 171}"
246,0.0,0,1,"{156, 135}"
248,0.0,0,1,"{154, 119}"
249,0.0,0,1,"{153, 143}"
259,0.0,0,1,"{138, 50}"
267,100.0,1,1,"{128, 126}"
325,0.0,0,1,"{35, 62}"
338,0.0,0,1,"{43, 37}"
347,0.0,0,1,"{32, 11}"
349,0.0,0,1,"{29, 30}"
353,25.0,1,4,"{1, 14, 20, 22, 25}"
359,0.0,0,1,"{17, 15}"
363,0.0,0,1,"{8, 9}"
