component,percentage,edge_count,max_possible,component_nodes
24,50.0,1,2,"{5330, 5333}"
37,50.0,1,2,"{5302, 5319}"
44,50.0,1,2,"{5312, 5284}"
51,50.0,1,2,"{5305, 5303}"
57,50.0,1,2,"{5280, 5297}"
88,50.0,1,2,"{5264, 5243}"
94,33.33333333333333,2,6,"{5200, 5258, 5211}"
118,7.5,18,240,"{1312, 1, 2, 610, 3, 2082, 452, 1481, 46, 1822, 5233, 1074, 2451, 663, 3614, 1599}"
119,20.0,4,20,"{5216, 5218, 5227, 5232, 5209}"
122,50.0,1,2,"{5226, 5229}"
133,50.0,1,2,"{4820, 5214}"
157,50.0,1,2,"{5161, 5162}"
160,50.0,1,2,"{5128, 5158}"
162,33.33333333333333,2,6,"{5068, 5156, 4767}"
196,25.0,3,12,"{5120, 5121, 5112, 5119}"
210,33.33333333333333,2,6,"{5104, 5088, 5085}"
214,50.0,1,2,"{5100, 5039}"
259,50.0,1,2,"{5050, 4850}"
317,50.0,1,2,"{4920, 4991}"
325,50.0,1,2,"{4982, 4983}"
330,50.0,1,2,"{4977, 4266}"
358,50.0,1,2,"{4948, 4949}"
359,50.0,1,2,"{4947, 4925}"
362,50.0,1,2,"{4944, 4917}"
445,50.0,1,2,"{4858, 4348}"
448,50.0,1,2,"{4853, 4855}"
453,50.0,1,2,"{4848, 4694}"
464,50.0,1,2,"{4837, 4830}"
473,33.33333333333333,2,6,"{2745, 4827, 2750}"
497,50.0,1,2,"{4529, 4802}"
498,33.33333333333333,4,12,"{4801, 4397, 4381, 4213}"
500,50.0,1,2,"{4798, 4799}"
502,50.0,1,2,"{4792, 4796}"
507,50.0,1,2,"{4789, 4790}"
515,50.0,1,2,"{4752, 4781}"
530,50.0,1,2,"{4763, 4765}"
542,50.0,1,2,"{4750, 4751}"
544,50.0,1,2,"{4747, 4748}"
549,50.0,1,2,"{4723, 4742}"
576,33.33333333333333,2,6,"{4714, 4691, 4686}"
580,50.0,1,2,"{4197, 4710}"
591,50.0,1,2,"{4699, 28}"
596,50.0,1,2,"{4645, 4693}"
609,50.0,1,2,"{4665, 4678}"
626,50.0,1,2,"{4659, 4660}"
634,16.666666666666664,5,30,"{4001, 4323, 4651, 4601, 4122, 4221}"
640,25.0,3,12,"{3836, 4411, 4644, 4295}"
671,50.0,1,2,"{2634, 4613}"
721,50.0,1,2,"{4561, 4562}"
731,16.666666666666664,5,30,"{3623, 4551, 3597, 3821, 4495, 4543}"
762,50.0,1,2,"{4500, 4518}"
803,50.0,1,2,"{4457, 4475}"
848,50.0,1,2,"{4392, 4429}"
850,50.0,1,2,"{4427, 4405}"
871,50.0,1,2,"{723, 4404}"
891,50.0,3,6,"{4334, 4302, 4382}"
894,50.0,1,2,"{4217, 4378}"
950,50.0,1,2,"{4318, 4319}"
983,33.33333333333333,2,6,"{4168, 4283, 4231}"
987,20.0,4,20,"{4105, 4138, 4279, 4120, 4121}"
1011,50.0,1,2,"{4124, 4254}"
1032,25.0,3,12,"{1360, 4233, 2662, 3263}"
1034,33.33333333333333,2,6,"{4113, 4230, 3319}"
1046,50.0,1,2,"{4216, 3046}"
1057,50.0,1,2,"{4204, 1820}"
1069,50.0,1,2,"{4163, 4191}"
1073,50.0,1,2,"{4187, 4126}"
1076,33.33333333333333,2,6,"{4184, 3612, 3574}"
1091,25.0,3,12,"{3224, 4169, 3450, 3222}"
1098,50.0,1,2,"{4160, 4154}"
1101,50.0,1,2,"{4139, 4157}"
1110,50.0,1,2,"{4147, 3511}"
1113,50.0,1,2,"{4144, 3510}"
1132,50.0,1,2,"{4107, 4118}"
1136,50.0,1,2,"{3777, 4114}"
1150,50.0,1,2,"{4088, 4097}"
1161,50.0,1,2,"{4084, 4085}"
1167,50.0,1,2,"{4078, 2911}"
1178,20.0,4,20,"{2914, 4067, 4045, 4048, 4055}"
1183,50.0,1,2,"{4062, 4047}"
1185,50.0,1,2,"{3928, 4060}"
1193,50.0,1,2,"{4051, 1559}"
1199,25.0,3,12,"{4026, 3944, 4042, 3932}"
1201,50.0,1,2,"{4040, 4039}"
1203,50.0,3,6,"{4037, 4022, 4023}"
1229,33.33333333333333,2,6,"{4008, 3477, 3264}"
1240,50.0,1,2,"{3954, 3996}"
1254,50.0,1,2,"{2491, 3982}"
1255,50.0,1,2,"{3899, 3981}"
1256,50.0,1,2,"{3980, 1495}"
1282,50.0,1,2,"{3953, 1961}"
1309,50.0,1,2,"{3915, 3923}"
1339,50.0,1,2,"{2347, 3891}"
1358,50.0,1,2,"{3872, 875}"
1393,50.0,1,2,"{1778, 3837}"
1405,50.0,1,2,"{3824, 3823}"
1436,25.0,3,12,"{3624, 3743, 3638, 3791}"
1491,50.0,1,2,"{3680, 3734}"
1501,50.0,1,2,"{3354, 3724}"
1516,50.0,1,2,"{3130, 3709}"
1517,50.0,1,2,"{3708, 3693}"
1524,50.0,1,2,"{3160, 3701}"
1525,50.0,1,2,"{3683, 3700}"
1539,50.0,3,6,"{3467, 3468, 3685}"
1550,50.0,1,2,"{3672, 1222}"
1555,50.0,1,2,"{3667, 3383}"
1568,50.0,1,2,"{3654, 3647}"
1569,33.33333333333333,2,6,"{3376, 3381, 3653}"
1617,16.666666666666664,5,30,"{385, 3400, 2889, 3599, 2874, 2846}"
1710,50.0,1,2,"{3418, 3501}"
1721,33.33333333333333,2,6,"{3490, 1995, 1996}"
1750,50.0,1,2,"{3458, 3095}"
1755,50.0,1,2,"{3212, 3453}"
1761,50.0,1,2,"{1712, 3446}"
1790,50.0,1,2,"{3416, 2218}"
1795,25.0,3,12,"{1433, 3411, 477, 87}"
1797,33.33333333333333,2,6,"{3408, 3409, 3277}"
1830,50.0,1,2,"{3371, 3364}"
