component,percentage,fixes_count,edge_count,component_nodes
24,0.0,0,1,"{5330, 5333}"
37,0.0,0,1,"{5302, 5319}"
44,0.0,0,1,"{5312, 5284}"
51,0.0,0,1,"{5305, 5303}"
57,0.0,0,1,"{5280, 5297}"
88,0.0,0,1,"{5264, 5243}"
94,0.0,0,2,"{5200, 5258, 5211}"
118,0.0,0,18,"{1312, 1, 2, 610, 3, 2082, 452, 1481, 46, 1822, 5233, 1074, 2451, 663, 3614, 1599}"
119,0.0,0,4,"{5216, 5218, 5227, 5232, 5209}"
122,0.0,0,1,"{5226, 5229}"
133,0.0,0,1,"{4820, 5214}"
157,0.0,0,1,"{5161, 5162}"
160,0.0,0,1,"{5128, 5158}"
162,0.0,0,2,"{5068, 5156, 4767}"
196,0.0,0,3,"{5120, 5121, 5112, 5119}"
210,50.0,1,2,"{5104, 5088, 5085}"
214,0.0,0,1,"{5100, 5039}"
259,0.0,0,1,"{5050, 4850}"
317,0.0,0,1,"{4920, 4991}"
325,0.0,0,1,"{4982, 4983}"
330,0.0,0,1,"{4977, 4266}"
358,0.0,0,1,"{4948, 4949}"
359,0.0,0,1,"{4947, 4925}"
362,0.0,0,1,"{4944, 4917}"
445,0.0,0,1,"{4858, 4348}"
448,0.0,0,1,"{4853, 4855}"
453,0.0,0,1,"{4848, 4694}"
464,0.0,0,1,"{4837, 4830}"
473,0.0,0,2,"{2745, 4827, 2750}"
497,0.0,0,1,"{4529, 4802}"
498,0.0,0,4,"{4801, 4397, 4381, 4213}"
500,0.0,0,1,"{4798, 4799}"
502,0.0,0,1,"{4792, 4796}"
507,0.0,0,1,"{4789, 4790}"
515,0.0,0,1,"{4752, 4781}"
530,0.0,0,1,"{4763, 4765}"
542,0.0,0,1,"{4750, 4751}"
544,0.0,0,1,"{4747, 4748}"
549,0.0,0,1,"{4723, 4742}"
576,100.0,2,2,"{4714, 4691, 4686}"
580,0.0,0,1,"{4197, 4710}"
591,0.0,0,1,"{4699, 28}"
596,0.0,0,1,"{4645, 4693}"
609,0.0,0,1,"{4665, 4678}"
626,0.0,0,1,"{4659, 4660}"
634,0.0,0,5,"{4001, 4323, 4651, 4601, 4122, 4221}"
640,0.0,0,3,"{3836, 4411, 4644, 4295}"
671,0.0,0,1,"{2634, 4613}"
721,0.0,0,1,"{4561, 4562}"
731,0.0,0,5,"{3623, 4551, 3597, 3821, 4495, 4543}"
762,0.0,0,1,"{4500, 4518}"
803,0.0,0,1,"{4457, 4475}"
848,100.0,1,1,"{4392, 4429}"
850,0.0,0,1,"{4427, 4405}"
871,0.0,0,1,"{723, 4404}"
891,0.0,0,3,"{4334, 4302, 4382}"
894,100.0,1,1,"{4217, 4378}"
950,0.0,0,1,"{4318, 4319}"
983,0.0,0,2,"{4168, 4283, 4231}"
987,0.0,0,4,"{4105, 4138, 4279, 4120, 4121}"
1011,0.0,0,1,"{4124, 4254}"
1032,0.0,0,3,"{1360, 4233, 2662, 3263}"
1034,0.0,0,2,"{4113, 4230, 3319}"
1046,0.0,0,1,"{4216, 3046}"
1057,0.0,0,1,"{4204, 1820}"
1069,0.0,0,1,"{4163, 4191}"
1073,0.0,0,1,"{4187, 4126}"
1076,0.0,0,2,"{4184, 3612, 3574}"
1091,33.33333333333333,1,3,"{3224, 4169, 3450, 3222}"
1098,0.0,0,1,"{4160, 4154}"
1101,0.0,0,1,"{4139, 4157}"
1110,0.0,0,1,"{4147, 3511}"
1113,0.0,0,1,"{4144, 3510}"
1132,0.0,0,1,"{4107, 4118}"
1136,0.0,0,1,"{3777, 4114}"
1150,0.0,0,1,"{4088, 4097}"
1161,100.0,1,1,"{4084, 4085}"
1167,0.0,0,1,"{4078, 2911}"
1178,0.0,0,4,"{2914, 4067, 4045, 4048, 4055}"
1183,0.0,0,1,"{4062, 4047}"
1185,0.0,0,1,"{3928, 4060}"
1193,0.0,0,1,"{4051, 1559}"
1199,0.0,0,3,"{4026, 3944, 4042, 3932}"
1201,0.0,0,1,"{4040, 4039}"
1203,0.0,0,3,"{4037, 4022, 4023}"
1229,0.0,0,2,"{4008, 3477, 3264}"
1240,0.0,0,1,"{3954, 3996}"
1254,0.0,0,1,"{2491, 3982}"
1255,0.0,0,1,"{3899, 3981}"
1256,0.0,0,1,"{3980, 1495}"
1282,0.0,0,1,"{3953, 1961}"
1309,0.0,0,1,"{3915, 3923}"
1339,0.0,0,1,"{2347, 3891}"
1358,0.0,0,1,"{3872, 875}"
1393,0.0,0,1,"{1778, 3837}"
1405,0.0,0,1,"{3824, 3823}"
