component,percentage,fixes_count,edge_count,component_nodes
5,0.0,0,3,"{381, 389, 382, 383}"
13,0.0,0,1,"{377, 378}"
17,0.0,0,1,"{372, 373}"
21,0.0,0,4,"{368, 364, 365, 367}"
23,0.0,0,1,"{360, 362}"
31,0.0,0,1,"{352, 353}"
34,0.0,0,1,"{213, 349}"
36,0.0,0,7,"{1, 2, 3, 4, 5, 347, 222, 223}"
41,100.0,1,1,"{340, 341}"
43,33.33333333333333,2,6,"{160, 322, 162, 265, 338}"
47,0.0,0,3,"{305, 306, 301, 334}"
49,0.0,0,1,"{331, 332}"
50,0.0,0,1,"{329, 330}"
54,100.0,1,1,"{324, 325}"
61,0.0,0,1,"{250, 316}"
64,0.0,0,8,"{84, 308, 309, 311, 313}"
72,0.0,0,2,"{297, 229, 253}"
86,0.0,0,3,"{283, 165, 195}"
94,0.0,0,1,"{264, 275}"
101,0.0,0,1,"{267, 268}"
118,0.0,0,3,"{244, 245, 246}"
129,0.0,0,2,"{232, 233}"
134,0.0,0,1,"{225, 226}"
138,100.0,1,1,"{177, 219}"
139,100.0,1,1,"{217, 218}"
141,0.0,0,1,"{208, 215}"
156,0.0,0,6,"{197, 198, 168, 157, 189, 190}"
159,0.0,0,1,"{192, 193}"
173,0.0,0,1,"{144, 173}"
181,0.0,0,1,"{163, 159}"
184,0.0,0,1,"{155, 156}"
202,50.0,1,2,"{136, 109}"
220,0.0,0,1,"{117, 118}"
227,0.0,0,2,"{96, 98, 110}"
235,0.0,0,1,"{100, 101}"
247,100.0,1,1,"{77, 86}"
255,100.0,1,1,"{75, 76}"
258,100.0,1,1,"{72, 68}"
271,0.0,0,2,"{57, 58}"
284,0.0,0,2,"{43, 44}"
311,50.0,1,2,"{16, 14}"
