component,percentage,edge_count,max_possible,component_nodes
1,33.33333333333333,2,6,"{10306, 10303, 10327}"
14,25.0,3,12,"{10312, 10313, 10274, 10267}"
21,33.33333333333333,2,6,"{10304, 10257, 10262}"
24,23.333333333333332,7,30,"{10256, 10196, 10197, 10170, 10043, 10300}"
25,33.33333333333333,2,6,"{10188, 10299, 10164}"
27,50.0,1,2,"{10297, 10283}"
31,50.0,1,2,"{10289, 10293}"
32,7.894736842105263,30,380,"{6404, 9623, 9112, 10154, 8746, 8748, 8752, 8755, 10292, 8756, 3896, 9408, 10195, 10201, 9826, 1508, 10220, 10221, 10223, 10224}"
34,50.0,1,2,"{10288, 10290}"
50,25.0,3,12,"{9552, 9544, 10269, 10270}"
51,25.0,3,12,"{7424, 10266, 6773, 10246}"
58,33.33333333333333,2,6,"{10248, 10258, 10236}"
61,8.333333333333332,11,132,"{9761, 9634, 10179, 9638, 10108, 9643, 10253, 1012, 2870, 1494, 9436, 10174}"
62,50.0,1,2,"{10249, 10252}"
64,50.0,1,2,"{10250, 10212}"
66,50.0,1,2,"{9973, 10245}"
67,50.0,1,2,"{10244, 10214}"
73,50.0,1,2,"{10168, 10235}"
74,50.0,1,2,"{10234, 10227}"
75,16.666666666666664,7,42,"{5989, 4103, 3468, 8916, 8948, 10233, 10111}"
76,1.8433179723502304,72,3906,"{8707, 8837, 8711, 8327, 9737, 9617, 8725, 8985, 9115, 8993, 8098, 9127, 9000, 9001, 8234, 9003, 9516, 9002, 9129, 8109, 6833, 3510, 9015, 9014, 9016, 9145, 8120, 9148, 8765, 7741, 8768, 9033, 7754, 9034, 9161, 9164, 9165, 9168, 9182, 9183, 9184, 9185, 9186, 8675, 8676, 8677, 8805, 8679, 8681, 8682, 8683, 8686, 8689, 8946, 8949, 9079, 10232, 8954, 9083, 8956, 8701, 8702, 8703}"
77,50.0,1,2,"{10219, 10231}"
82,25.0,3,12,"{10192, 10225, 10193, 10222}"
95,50.0,1,2,"{10202, 10203}"
96,50.0,3,6,"{10200, 10181, 10182}"
97,50.0,1,2,"{10198, 10199}"
98,50.0,1,2,"{10194, 10191}"
100,33.33333333333333,2,6,"{10186, 10189, 10166}"
106,33.33333333333333,2,6,"{10178, 10020, 10021}"
118,50.0,1,2,"{10161, 10031}"
119,41.66666666666667,5,12,"{10160, 10139, 10136, 10078}"
123,50.0,1,2,"{10107, 10156}"
129,50.0,1,2,"{10146, 10149}"
130,16.071428571428573,9,56,"{10018, 10019, 10148, 9662, 9606, 10120, 9873, 10110}"
131,50.0,1,2,"{10105, 10147}"
133,33.33333333333333,2,6,"{10144, 10068, 10135}"
134,33.33333333333333,4,12,"{7967, 10085, 10086, 10143}"
140,50.0,1,2,"{10052, 10134}"
141,50.0,1,2,"{10113, 10133}"
159,50.0,1,2,"{10106, 10059}"
163,25.0,3,12,"{10027, 9962, 9994, 10101}"
