component,percentage,edge_count,max_possible,component_nodes
1,50.0,1,2,"{928, 929}"
4,50.0,1,2,"{922, 925}"
36,50.0,1,2,"{890, 891}"
42,0.7286851566512584,227,31152,"{513, 2, 3, 1, 9, 11, 12, 22, 536, 26, 27, 538, 31, 33, 34, 547, 36, 35, 38, 39, 552, 40, 554, 41, 45, 558, 559, 48, 51, 564, 567, 56, 58, 572, 63, 71, 73, 75, 589, 79, 81, 82, 601, 89, 90, 604, 608, 100, 102, 615, 614, 617, 103, 110, 623, 624, 627, 632, 636, 637, 643, 133, 647, 648, 145, 659, 666, 157, 671, 672, 673, 159, 161, 678, 681, 173, 690, 691, 180, 183, 696, 189, 703, 704, 193, 194, 195, 709, 199, 713, 202, 203, 721, 209, 213, 217, 221, 734, 225, 226, 228, 232, 745, 235, 237, 238, 750, 754, 242, 756, 244, 247, 760, 250, 257, 260, 261, 262, 264, 787, 275, 277, 278, 282, 288, 292, 296, 809, 302, 303, 304, 313, 316, 835, 325, 840, 329, 842, 328, 337, 338, 341, 344, 347, 349, 357, 358, 363, 368, 369, 884, 373, 375, 378, 386, 395, 402, 409, 411, 417, 419, 425, 430, 434, 436, 443, 449, 465, 469, 472, 476, 478, 479, 487, 491, 495, 496}"
65,50.0,1,2,"{860, 861}"
87,50.0,3,6,"{779, 836, 820}"
98,50.0,1,2,"{824, 816}"
119,33.33333333333333,2,6,"{800, 642, 715}"
156,50.0,1,2,"{761, 546}"
161,25.0,3,12,"{753, 498, 705, 466}"
162,50.0,1,2,"{752, 504}"
167,50.0,1,2,"{746, 743}"
196,20.0,4,20,"{711, 526, 560, 529, 286}"
201,50.0,1,2,"{700, 702}"
218,50.0,1,2,"{680, 405}"
235,50.0,1,2,"{657, 626}"
250,50.0,1,2,"{635, 638}"
252,50.0,1,2,"{633, 489}"
254,50.0,1,2,"{628, 630}"
260,33.33333333333333,2,6,"{592, 594, 619}"
263,33.33333333333333,2,6,"{612, 605, 613}"
268,50.0,1,2,"{291, 606}"
270,20.0,4,20,"{353, 486, 345, 602, 444}"
273,25.0,3,12,"{414, 132, 437, 598}"
279,50.0,1,2,"{452, 590}"
280,50.0,1,2,"{569, 588}"
287,33.33333333333333,2,6,"{541, 581, 389}"
291,50.0,1,2,"{577, 191}"
298,50.0,1,2,"{568, 530}"
324,50.0,1,2,"{528, 360}"
325,33.33333333333333,2,6,"{187, 475, 527}"
327,50.0,1,2,"{524, 245}"
329,14.285714285714285,6,42,"{384, 297, 522, 139, 201, 308, 285}"
367,50.0,1,2,"{318, 470}"
387,50.0,1,2,"{60, 445}"
414,33.33333333333333,4,12,"{392, 393, 390, 406}"
456,25.0,3,12,"{185, 340, 310, 135}"
467,33.33333333333333,2,6,"{289, 324, 271}"
469,50.0,1,2,"{320, 322}"
471,33.33333333333333,2,6,"{192, 61, 319}"
482,50.0,1,2,"{300, 253}"
497,50.0,1,2,"{273, 258}"
505,50.0,1,2,"{259, 263}"
506,50.0,1,2,"{256, 208}"
532,50.0,1,2,"{214, 215}"
533,50.0,1,2,"{83, 212}"
543,50.0,1,2,"{130, 196}"
544,50.0,3,6,"{166, 190, 167}"
545,33.33333333333333,2,6,"{154, 188, 134}"
561,50.0,1,2,"{164, 165}"
585,50.0,3,6,"{129, 124, 125}"
594,50.0,1,2,"{114, 118}"
595,50.0,1,2,"{109, 117}"
599,33.33333333333333,2,6,"{112, 111, 87}"
628,33.33333333333333,2,6,"{66, 67, 62}"
639,50.0,1,2,"{46, 47}"
645,33.33333333333333,4,12,"{28, 29, 30, 14}"
648,50.0,1,2,"{21, 23}"
649,50.0,1,2,"{16, 20}"
650,33.33333333333333,2,6,"{17, 18, 19}"
