component,percentage,fixes_count,edge_count,component_nodes
1,0.0,0,1,"{928, 929}"
4,0.0,0,1,"{922, 925}"
36,100.0,1,1,"{890, 891}"
42,0.4405286343612335,1,227,"{513, 2, 3, 1, 9, 11, 12, 22, 536, 26, 27, 538, 31, 33, 34, 547, 36, 35, 38, 39, 552, 40, 554, 41, 45, 558, 559, 48, 51, 564, 567, 56, 58, 572, 63, 71, 73, 75, 589, 79, 81, 82, 601, 89, 90, 604, 608, 100, 102, 615, 614, 617, 103, 110, 623, 624, 627, 632, 636, 637, 643, 133, 647, 648, 145, 659, 666, 157, 671, 672, 673, 159, 161, 678, 681, 173, 690, 691, 180, 183, 696, 189, 703, 704, 193, 194, 195, 709, 199, 713, 202, 203, 721, 209, 213, 217, 221, 734, 225, 226, 228, 232, 745, 235, 237, 238, 750, 754, 242, 756, 244, 247, 760, 250, 257, 260, 261, 262, 264, 787, 275, 277, 278, 282, 288, 292, 296, 809, 302, 303, 304, 313, 316, 835, 325, 840, 329, 842, 328, 337, 338, 341, 344, 347, 349, 357, 358, 363, 368, 369, 884, 373, 375, 378, 386, 395, 402, 409, 411, 417, 419, 425, 430, 434, 436, 443, 449, 465, 469, 472, 476, 478, 479, 487, 491, 495, 496}"
65,0.0,0,1,"{860, 861}"
87,0.0,0,3,"{779, 836, 820}"
98,0.0,0,1,"{824, 816}"
119,0.0,0,2,"{800, 642, 715}"
156,0.0,0,1,"{761, 546}"
161,0.0,0,3,"{753, 498, 705, 466}"
162,0.0,0,1,"{752, 504}"
167,0.0,0,1,"{746, 743}"
196,0.0,0,4,"{711, 526, 560, 529, 286}"
201,0.0,0,1,"{700, 702}"
218,0.0,0,1,"{680, 405}"
235,0.0,0,1,"{657, 626}"
250,0.0,0,1,"{635, 638}"
252,0.0,0,1,"{633, 489}"
254,0.0,0,1,"{628, 630}"
260,0.0,0,2,"{592, 594, 619}"
263,0.0,0,2,"{612, 605, 613}"
268,0.0,0,1,"{291, 606}"
270,0.0,0,4,"{353, 486, 345, 602, 444}"
273,0.0,0,3,"{414, 132, 437, 598}"
279,0.0,0,1,"{452, 590}"
280,0.0,0,1,"{569, 588}"
287,0.0,0,2,"{541, 581, 389}"
291,0.0,0,1,"{577, 191}"
298,0.0,0,1,"{568, 530}"
324,0.0,0,1,"{528, 360}"
325,0.0,0,2,"{187, 475, 527}"
327,0.0,0,1,"{524, 245}"
329,0.0,0,6,"{384, 297, 522, 139, 201, 308, 285}"
367,0.0,0,1,"{318, 470}"
387,0.0,0,1,"{60, 445}"
414,25.0,1,4,"{392, 393, 390, 406}"
456,0.0,0,3,"{185, 340, 310, 135}"
467,0.0,0,2,"{289, 324, 271}"
469,0.0,0,1,"{320, 322}"
471,0.0,0,2,"{192, 61, 319}"
482,0.0,0,1,"{300, 253}"
497,0.0,0,1,"{273, 258}"
505,0.0,0,1,"{259, 263}"
506,0.0,0,1,"{256, 208}"
532,0.0,0,1,"{214, 215}"
533,0.0,0,1,"{83, 212}"
543,0.0,0,1,"{130, 196}"
544,33.33333333333333,1,3,"{166, 190, 167}"
545,0.0,0,2,"{154, 188, 134}"
561,0.0,0,1,"{164, 165}"
585,0.0,0,3,"{129, 124, 125}"
594,0.0,0,1,"{114, 118}"
595,0.0,0,1,"{109, 117}"
599,0.0,0,2,"{112, 111, 87}"
628,0.0,0,2,"{66, 67, 62}"
639,0.0,0,1,"{46, 47}"
645,25.0,1,4,"{28, 29, 30, 14}"
648,100.0,1,1,"{21, 23}"
649,100.0,1,1,"{16, 20}"
650,50.0,1,2,"{17, 18, 19}"
