component,percentage,edge_count,max_possible,component_nodes
13,50.0,1,2,"{848, 847}"
31,2.0765027322404372,76,3660,"{512, 771, 772, 773, 774, 651, 780, 782, 398, 784, 657, 658, 660, 661, 662, 791, 794, 798, 800, 672, 801, 420, 806, 687, 688, 432, 690, 437, 822, 829, 575, 711, 583, 714, 715, 458, 461, 588, 721, 722, 466, 471, 728, 600, 735, 736, 481, 480, 611, 616, 488, 746, 749, 624, 754, 500, 759, 760, 634, 635, 510}"
37,50.0,1,2,"{674, 823}"
38,33.33333333333333,2,6,"{649, 530, 821}"
42,50.0,1,2,"{816, 817}"
52,20.0,4,20,"{416, 805, 523, 750, 655}"
63,50.0,1,2,"{789, 678}"
65,50.0,1,2,"{786, 787}"
78,50.0,1,2,"{764, 766}"
83,50.0,1,2,"{731, 758}"
84,50.0,1,2,"{357, 757}"
94,50.0,1,2,"{741, 743}"
100,33.33333333333333,2,6,"{465, 163, 734}"
105,20.0,4,20,"{564, 727, 667, 446, 447}"
111,50.0,1,2,"{718, 719}"
116,50.0,1,2,"{682, 710}"
117,50.0,1,2,"{707, 709}"
118,33.33333333333333,2,6,"{628, 708, 704}"
119,33.33333333333333,2,6,"{706, 483, 230}"
121,50.0,1,2,"{547, 703}"
123,2.6955602536997887,51,1892,"{258, 644, 395, 652, 399, 656, 401, 404, 539, 540, 413, 670, 548, 423, 683, 684, 686, 305, 307, 694, 438, 184, 310, 313, 316, 701, 445, 66, 455, 215, 216, 359, 504, 620, 364, 366, 621, 365, 508, 369, 371, 632, 636, 511}"
130,25.0,3,12,"{328, 673, 333, 693}"
141,50.0,1,2,"{648, 671}"
145,50.0,1,2,"{665, 659}"
162,50.0,1,2,"{596, 631}"
167,50.0,1,2,"{625, 326}"
172,50.0,1,2,"{617, 482}"
175,33.33333333333333,2,6,"{560, 498, 613}"
176,50.0,1,2,"{459, 612}"
177,50.0,1,2,"{609, 610}"
181,20.0,4,20,"{209, 212, 502, 28, 605}"
186,50.0,1,2,"{584, 599}"
190,25.0,3,12,"{594, 581, 590, 591}"
196,33.33333333333333,2,6,"{585, 565, 566}"
198,50.0,1,2,"{578, 580}"
206,33.33333333333333,4,12,"{568, 569, 538, 546}"
224,50.0,1,2,"{542, 543}"
233,33.33333333333333,2,6,"{528, 529, 520}"
242,50.0,1,2,"{517, 343}"
271,50.0,1,2,"{474, 475}"
274,50.0,3,6,"{468, 469, 470}"
278,50.0,1,2,"{436, 462}"
282,50.0,1,2,"{453, 454}"
283,50.0,1,2,"{451, 452}"
284,50.0,1,2,"{449, 450}"
290,50.0,1,2,"{440, 356}"
296,33.33333333333333,2,6,"{428, 429, 430}"
301,50.0,1,2,"{321, 422}"
302,50.0,1,2,"{408, 421}"
303,50.0,1,2,"{418, 419}"
305,50.0,1,2,"{405, 415}"
309,50.0,1,2,"{410, 388}"
313,50.0,1,2,"{393, 403}"
316,50.0,1,2,"{396, 397}"
319,50.0,1,2,"{390, 391}"
324,50.0,1,2,"{384, 383}"
332,50.0,1,2,"{374, 375}"
333,50.0,1,2,"{372, 373}"
335,33.33333333333333,2,6,"{368, 362, 360}"
339,50.0,1,2,"{330, 358}"
341,50.0,1,2,"{354, 311}"
342,50.0,1,2,"{353, 327}"
343,50.0,1,2,"{352, 349}"
344,50.0,1,2,"{350, 351}"
347,33.33333333333333,2,6,"{346, 340, 341}"
348,50.0,1,2,"{345, 342}"
359,50.0,1,2,"{324, 325}"
362,33.33333333333333,2,6,"{320, 306, 315}"
363,50.0,1,2,"{318, 319}"
364,50.0,1,2,"{314, 317}"
369,50.0,1,2,"{302, 303}"
370,50.0,1,2,"{301, 127}"
373,50.0,1,2,"{298, 155}"
374,25.0,3,12,"{296, 297, 293, 264}"
375,50.0,1,2,"{290, 295}"
379,50.0,1,2,"{289, 190}"
380,50.0,1,2,"{288, 276}"
381,33.33333333333333,2,6,"{275, 277, 287}"
382,33.33333333333333,2,6,"{285, 286, 181}"
385,50.0,1,2,"{281, 282}"
386,50.0,1,2,"{280, 279}"
389,50.0,1,2,"{272, 273}"
392,12.5,7,56,"{160, 99, 269, 173, 240, 241, 250, 251}"
393,50.0,1,2,"{266, 268}"
394,50.0,1,2,"{267, 260}"
397,50.0,1,2,"{259, 262}"
415,33.33333333333333,4,12,"{180, 179, 236, 237}"
416,50.0,1,2,"{235, 221}"
417,50.0,1,2,"{234, 165}"
439,41.66666666666667,5,12,"{134, 182, 205, 206}"
443,33.33333333333333,4,12,"{201, 197, 149, 199}"
459,50.0,3,6,"{176, 177, 174}"
466,30.0,6,20,"{101, 166, 167, 137, 154}"
467,10.909090909090908,12,110,"{97, 162, 161, 164, 132, 143, 114, 51, 152, 153, 126}"
507,50.0,1,2,"{107, 108}"
509,16.666666666666664,5,30,"{32, 103, 105, 24, 93, 94}"
514,50.0,1,2,"{96, 81}"
522,50.0,1,2,"{69, 86}"
524,16.666666666666664,5,30,"{33, 38, 84, 23, 26, 27}"
527,33.33333333333333,2,6,"{80, 78, 79}"
528,50.0,1,2,"{76, 77}"
531,33.33333333333333,2,6,"{72, 73, 59}"
540,50.0,1,2,"{20, 61}"
545,50.0,1,2,"{53, 55}"
551,33.33333333333333,2,6,"{42, 43, 47}"
557,33.33333333333333,2,6,"{36, 37, 39}"
558,50.0,1,2,"{34, 35}"
560,50.0,1,2,"{29, 30}"
569,33.33333333333333,4,12,"{9, 12, 14, 7}"
570,50.0,1,2,"{1, 13}"
