component,percentage,fixes_count,edge_count,component_nodes
13,0.0,0,1,"{848, 847}"
31,7.894736842105263,6,76,"{512, 771, 772, 773, 774, 651, 780, 782, 398, 784, 657, 658, 660, 661, 662, 791, 794, 798, 800, 672, 801, 420, 806, 687, 688, 432, 690, 437, 822, 829, 575, 711, 583, 714, 715, 458, 461, 588, 721, 722, 466, 471, 728, 600, 735, 736, 481, 480, 611, 616, 488, 746, 749, 624, 754, 500, 759, 760, 634, 635, 510}"
37,0.0,0,1,"{674, 823}"
38,0.0,0,2,"{649, 530, 821}"
42,0.0,0,1,"{816, 817}"
52,0.0,0,4,"{416, 805, 523, 750, 655}"
63,0.0,0,1,"{789, 678}"
65,0.0,0,1,"{786, 787}"
78,0.0,0,1,"{764, 766}"
83,100.0,1,1,"{731, 758}"
84,0.0,0,1,"{357, 757}"
94,0.0,0,1,"{741, 743}"
100,0.0,0,2,"{465, 163, 734}"
105,0.0,0,4,"{564, 727, 667, 446, 447}"
111,0.0,0,1,"{718, 719}"
116,0.0,0,1,"{682, 710}"
117,0.0,0,1,"{707, 709}"
118,0.0,0,2,"{628, 708, 704}"
119,0.0,0,2,"{706, 483, 230}"
121,0.0,0,1,"{547, 703}"
123,3.9215686274509802,2,51,"{258, 644, 395, 652, 399, 656, 401, 404, 539, 540, 413, 670, 548, 423, 683, 684, 686, 305, 307, 694, 438, 184, 310, 313, 316, 701, 445, 66, 455, 215, 216, 359, 504, 620, 364, 366, 621, 365, 508, 369, 371, 632, 636, 511}"
130,0.0,0,3,"{328, 673, 333, 693}"
141,0.0,0,1,"{648, 671}"
145,0.0,0,1,"{665, 659}"
162,0.0,0,1,"{596, 631}"
167,0.0,0,1,"{625, 326}"
172,0.0,0,1,"{617, 482}"
175,0.0,0,2,"{560, 498, 613}"
176,0.0,0,1,"{459, 612}"
177,0.0,0,1,"{609, 610}"
181,0.0,0,4,"{209, 212, 502, 28, 605}"
186,0.0,0,1,"{584, 599}"
190,33.33333333333333,1,3,"{594, 581, 590, 591}"
196,50.0,1,2,"{585, 565, 566}"
198,0.0,0,1,"{578, 580}"
206,0.0,0,4,"{568, 569, 538, 546}"
224,0.0,0,1,"{542, 543}"
233,0.0,0,2,"{528, 529, 520}"
242,0.0,0,1,"{517, 343}"
271,0.0,0,1,"{474, 475}"
274,0.0,0,3,"{468, 469, 470}"
278,0.0,0,1,"{436, 462}"
282,0.0,0,1,"{453, 454}"
283,0.0,0,1,"{451, 452}"
284,0.0,0,1,"{449, 450}"
290,0.0,0,1,"{440, 356}"
296,50.0,1,2,"{428, 429, 430}"
301,0.0,0,1,"{321, 422}"
302,0.0,0,1,"{408, 421}"
303,0.0,0,1,"{418, 419}"
305,0.0,0,1,"{405, 415}"
309,0.0,0,1,"{410, 388}"
313,0.0,0,1,"{393, 403}"
316,0.0,0,1,"{396, 397}"
319,100.0,1,1,"{390, 391}"
324,0.0,0,1,"{384, 383}"
332,0.0,0,1,"{374, 375}"
333,0.0,0,1,"{372, 373}"
335,50.0,1,2,"{368, 362, 360}"
339,0.0,0,1,"{330, 358}"
341,0.0,0,1,"{354, 311}"
342,0.0,0,1,"{353, 327}"
343,0.0,0,1,"{352, 349}"
344,0.0,0,1,"{350, 351}"
347,50.0,1,2,"{346, 340, 341}"
348,0.0,0,1,"{345, 342}"
359,0.0,0,1,"{324, 325}"
362,50.0,1,2,"{320, 306, 315}"
363,0.0,0,1,"{318, 319}"
364,0.0,0,1,"{314, 317}"
369,0.0,0,1,"{302, 303}"
370,0.0,0,1,"{301, 127}"
373,0.0,0,1,"{298, 155}"
374,0.0,0,3,"{296, 297, 293, 264}"
375,0.0,0,1,"{290, 295}"
379,0.0,0,1,"{289, 190}"
380,0.0,0,1,"{288, 276}"
381,0.0,0,2,"{275, 277, 287}"
382,0.0,0,2,"{285, 286, 181}"
385,0.0,0,1,"{281, 282}"
386,0.0,0,1,"{280, 279}"
389,0.0,0,1,"{272, 273}"
392,0.0,0,7,"{160, 99, 269, 173, 240, 241, 250, 251}"
393,0.0,0,1,"{266, 268}"
394,0.0,0,1,"{267, 260}"
397,0.0,0,1,"{259, 262}"
415,25.0,1,4,"{180, 179, 236, 237}"
416,0.0,0,1,"{235, 221}"
417,0.0,0,1,"{234, 165}"
439,20.0,1,5,"{134, 182, 205, 206}"
443,0.0,0,4,"{201, 197, 149, 199}"
459,0.0,0,3,"{176, 177, 174}"
466,16.666666666666664,1,6,"{101, 166, 167, 137, 154}"
467,0.0,0,12,"{97, 162, 161, 164, 132, 143, 114, 51, 152, 153, 126}"
507,0.0,0,1,"{107, 108}"
509,0.0,0,5,"{32, 103, 105, 24, 93, 94}"
514,0.0,0,1,"{96, 81}"
522,0.0,0,1,"{69, 86}"
524,20.0,1,5,"{33, 38, 84, 23, 26, 27}"
527,0.0,0,2,"{80, 78, 79}"
528,0.0,0,1,"{76, 77}"
531,0.0,0,2,"{72, 73, 59}"
540,0.0,0,1,"{20, 61}"
545,0.0,0,1,"{53, 55}"
551,0.0,0,2,"{42, 43, 47}"
557,0.0,0,2,"{36, 37, 39}"
558,0.0,0,1,"{34, 35}"
560,0.0,0,1,"{29, 30}"
569,0.0,0,4,"{9, 12, 14, 7}"
570,0.0,0,1,"{1, 13}"
