component,percentage,fixes_count,edge_count,component_nodes
6,0.0,0,1,"{1450, 1466}"
11,0.0,0,1,"{1461, 1453}"
14,0.0,0,1,"{1458, 1358}"
15,100.0,1,1,"{1457, 1054}"
16,0.0,0,1,"{1456, 1455}"
29,0.0,0,19,"{1430, 1431, 1432, 1433, 1434, 1436, 1437, 1439}"
35,50.0,1,2,"{1425, 362, 451}"
37,0.0,0,1,"{1411, 1423}"
45,7.209612817089453,54,749,"{2, 4, 5, 7, 16, 41, 56, 72, 78, 82, 94, 97, 117, 120, 124, 125, 139, 147, 149, 150, 154, 167, 184, 193, 195, 208, 209, 210, 218, 227, 228, 230, 239, 244, 246, 249, 253, 254, 264, 265, 270, 272, 281, 285, 286, 291, 297, 302, 304, 305, 306, 308, 309, 311, 312, 313, 316, 317, 318, 320, 321, 324, 325, 326, 328, 329, 330, 332, 333, 334, 335, 336, 337, 338, 339, 346, 347, 349, 355, 357, 358, 359, 361, 363, 364, 366, 371, 376, 377, 379, 380, 384, 390, 393, 394, 399, 407, 408, 410, 413, 415, 422, 425, 426, 427, 428, 429, 430, 436, 440, 441, 445, 455, 457, 460, 464, 467, 469, 470, 472, 473, 475, 476, 491, 496, 498, 499, 501, 502, 503, 506, 507, 508, 509, 511, 514, 515, 518, 526, 528, 530, 531, 537, 538, 544, 549, 551, 552, 557, 558, 559, 562, 572, 574, 575, 576, 578, 585, 588, 589, 590, 594, 596, 601, 604, 605, 606, 607, 608, 610, 620, 621, 632, 633, 634, 635, 641, 642, 643, 644, 645, 646, 648, 654, 655, 659, 660, 661, 662, 665, 668, 669, 670, 672, 674, 675, 676, 677, 678, 680, 681, 682, 683, 684, 688, 689, 690, 691, 692, 693, 697, 700, 701, 702, 703, 706, 709, 710, 716, 717, 718, 721, 723, 724, 726, 727, 728, 736, 737, 739, 742, 743, 744, 745, 746, 751, 752, 756, 757, 758, 760, 761, 763, 765, 766, 768, 770, 771, 772, 773, 774, 775, 776, 780, 781, 782, 783, 784, 785, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 799, 800, 801, 804, 806, 807, 808, 810, 812, 814, 815, 816, 819, 820, 821, 824, 825, 827, 828, 829, 830, 837, 838, 840, 841, 844, 846, 852, 856, 858, 860, 862, 863, 867, 868, 870, 872, 875, 877, 878, 880, 881, 882, 884, 885, 887, 890, 891, 892, 893, 896, 897, 899, 900, 901, 902, 904, 905, 907, 909, 914, 916, 917, 918, 919, 920, 922, 923, 924, 925, 926, 929, 930, 932, 934, 938, 939, 940, 941, 945, 947, 951, 955, 956, 962, 963, 964, 966, 967, 968, 969, 970, 971, 972, 973, 978, 979, 980, 981, 982, 985, 986, 988, 989, 990, 992, 993, 994, 996, 997, 998, 1000, 1004, 1005, 1008, 1009, 1010, 1011, 1012, 1014, 1015, 1016, 1017, 1019, 1020, 1021, 1023, 1024, 1025, 1032, 1037, 1042, 1046, 1051, 1052, 1055, 1056, 1060, 1065, 1070, 1071, 1079, 1083, 1084, 1085, 1086, 1089, 1090, 1096, 1097, 1103, 1108, 1109, 1110, 1112, 1115, 1118, 1120, 1124, 1127, 1128, 1130, 1131, 1132, 1137, 1146, 1150, 1153, 1159, 1166, 1188, 1237, 1240, 1254, 1259, 1260, 1261, 1310, 1405, 1414}"
47,66.66666666666666,2,3,"{1400, 1410, 1387, 1406}"
50,50.0,2,4,"{1401, 1228, 1229, 1407}"
64,0.0,0,3,"{1365, 1382, 1383}"
65,40.0,2,5,"{1379, 1380, 1334, 1241, 1244}"
66,100.0,1,1,"{1378, 1375}"
67,0.0,0,1,"{1376, 1377}"
68,100.0,1,1,"{1373, 1374}"
72,0.0,0,3,"{1369, 1340, 1317, 1359}"
81,0.0,0,1,"{1357, 1175}"
89,0.0,0,2,"{1321, 1195, 1349}"
95,0.0,0,1,"{256, 1343}"
116,0.0,0,1,"{1315, 1319}"
125,0.0,0,1,"{1307, 1143}"
129,7.142857142857142,1,14,"{1249, 1284, 1252, 1253, 1288, 1257, 1225, 1227, 1231, 1232, 1201, 1266, 1204, 1303}"
134,0.0,0,1,"{1298, 1213}"
145,100.0,1,1,"{1285, 1286}"
156,0.0,0,3,"{1273, 1267, 1263}"
187,0.0,0,1,"{1220, 1221}"
194,0.0,0,1,"{1211, 1212}"
195,0.0,0,1,"{1210, 261}"
197,0.0,0,9,"{1092, 650, 822, 1208, 1116, 1117, 1119}"
198,0.0,0,1,"{178, 1207}"
208,0.0,0,1,"{1193, 1190}"
209,0.0,0,1,"{1192, 1177}"
216,0.0,0,2,"{1098, 1095, 1183}"
238,100.0,1,1,"{1156, 1157}"
249,0.0,0,1,"{1138, 1141}"
255,0.0,0,1,"{1061, 1133}"
268,50.0,1,2,"{1104, 1040, 1034}"
270,100.0,1,1,"{1050, 1101}"
281,60.0,3,5,"{236, 237, 1073, 1077, 1078, 927}"
284,100.0,1,1,"{1074, 1059}"
306,0.0,0,4,"{673, 1026, 487, 488, 1035}"
327,100.0,1,1,"{977, 975}"
333,0.0,0,2,"{777, 778, 959}"
359,0.0,0,1,"{280, 906}"
372,100.0,1,1,"{859, 871}"
373,0.0,0,2,"{823, 869, 855}"
374,50.0,1,2,"{864, 865, 866}"
377,100.0,1,1,"{853, 854}"
387,0.0,0,2,"{834, 835, 836}"
393,0.0,0,5,"{813, 45, 46, 47, 817}"
394,0.0,0,1,"{618, 811}"
396,0.0,0,1,"{629, 805}"
401,0.0,0,1,"{779, 271}"
416,0.0,0,1,"{738, 732}"
424,0.0,0,3,"{200, 81, 722, 188}"
434,0.0,0,1,"{640, 705}"
442,0.0,0,1,"{685, 686}"
446,0.0,0,1,"{664, 666}"
448,100.0,1,1,"{657, 658}"
450,0.0,0,1,"{652, 653}"
451,0.0,0,1,"{96, 651}"
464,0.0,0,1,"{624, 623}"
470,0.0,0,1,"{370, 614}"
491,0.0,0,3,"{386, 395, 580}"
494,0.0,0,1,"{504, 573}"
496,0.0,0,1,"{560, 570}"
499,0.0,0,1,"{564, 567}"
503,0.0,0,1,"{561, 354}"
511,0.0,0,1,"{545, 546}"
523,0.0,0,1,"{525, 527}"
527,0.0,0,1,"{520, 521}"
537,100.0,1,1,"{493, 494}"
541,0.0,0,2,"{483, 485, 486}"
545,0.0,0,1,"{480, 477}"
546,100.0,1,1,"{478, 479}"
552,0.0,0,1,"{353, 463}"
558,0.0,0,3,"{452, 453, 454}"
559,0.0,0,3,"{450, 250, 298, 223}"
566,33.33333333333333,1,3,"{442, 203, 204, 206}"
567,100.0,1,1,"{438, 439}"
576,0.0,0,3,"{416, 418, 420, 421}"
577,100.0,1,1,"{419, 391}"
584,0.0,0,2,"{402, 405, 398}"
586,50.0,1,2,"{369, 145, 403}"
589,0.0,0,1,"{397, 382}"
594,0.0,0,1,"{385, 387}"
599,0.0,0,1,"{373, 374}"
605,0.0,0,2,"{352, 356, 350}"
624,0.0,0,2,"{299, 100, 301}"
627,0.0,0,1,"{268, 295}"
632,0.0,0,1,"{289, 282}"
639,0.0,0,1,"{276, 277}"
640,100.0,1,1,"{274, 275}"
653,0.0,0,4,"{211, 212, 213, 214, 251}"
665,66.66666666666666,2,3,"{232, 220, 221}"
666,0.0,0,1,"{229, 231}"
671,0.0,0,3,"{216, 217, 219, 215}"
674,0.0,0,1,"{201, 202}"
679,0.0,0,6,"{160, 192, 194, 182, 187, 156}"
686,0.0,0,1,"{179, 181}"
688,0.0,0,1,"{177, 175}"
693,100.0,1,1,"{171, 165}"
695,0.0,0,1,"{152, 169}"
696,0.0,0,1,"{168, 144}"
706,0.0,0,1,"{153, 148}"
716,0.0,0,1,"{134, 135}"
719,0.0,0,3,"{128, 131, 127}"
723,0.0,0,3,"{109, 106, 123, 101}"
732,0.0,0,1,"{112, 111}"
735,0.0,0,1,"{107, 86}"
737,0.0,0,1,"{104, 98}"
761,0.0,0,1,"{69, 15}"
763,0.0,0,1,"{66, 67}"
764,0.0,0,2,"{64, 65, 63}"
772,0.0,0,1,"{36, 54}"
775,0.0,0,1,"{51, 44}"
776,0.0,0,1,"{50, 38}"
789,0.0,0,2,"{25, 26, 30}"
803,0.0,0,1,"{12, 6}"
804,0.0,0,1,"{9, 11}"
