component,percentage,fixes_count,edge_count,component_nodes
20,0.0,0,1,"{218, 219}"
42,0.0,0,3,"{177, 154, 196, 141}"
59,0.0,0,2,"{179, 100, 175}"
68,0.0,0,1,"{168, 167}"
71,100.0,1,1,"{163, 164}"
72,0.0,0,1,"{160, 162}"
85,25.0,2,8,"{73, 137, 77, 145, 146, 83, 147, 84, 118}"
92,0.0,0,2,"{136, 131, 134}"
95,0.0,0,3,"{88, 89, 132, 22}"
101,0.0,0,9,"{58, 69, 105, 115, 120, 121, 122, 91, 124, 125}"
103,0.0,0,1,"{104, 119}"
118,0.0,0,1,"{99, 95}"
121,0.0,0,1,"{96, 93}"
125,0.0,0,1,"{31, 87}"
130,0.0,0,1,"{80, 70}"
142,16.666666666666664,1,6,"{64, 40, 44, 45, 47, 48, 63}"
144,100.0,1,1,"{60, 61}"
148,0.0,0,1,"{54, 55}"
149,100.0,1,1,"{50, 53}"
154,0.0,0,1,"{42, 43}"
155,0.0,0,1,"{41, 15}"
156,0.0,0,2,"{33, 29, 39}"
158,25.0,2,8,"{1, 36, 37, 6, 26, 27}"
163,50.0,1,2,"{18, 28, 20}"
164,0.0,0,3,"{24, 25, 23}"
165,0.0,0,3,"{16, 8, 10, 21}"
168,0.0,0,1,"{9, 14}"
