repo_name,component_size,component_frequency,edge_count,max_possible,subgraph_density
amphp-amp,1,1,{393},1,0,393
amphp-amp,4,1,{390},2,0,390
amphp-amp,5,4,"{381, 389, 382, 383}",6,0,389
amphp-amp,6,1,{388},2,0,388
amphp-amp,7,1,{387},1,0,387
amphp-amp,10,1,{384},6,0,384
amphp-amp,12,1,{379},3,0,379
amphp-amp,13,2,"{377, 378}",2,0,378
amphp-amp,17,2,"{372, 373}",2,0,373
amphp-amp,18,1,{371},2,0,371
amphp-amp,21,4,"{368, 364, 365, 367}",3,0,368
amphp-amp,23,2,"{360, 362}",3,0,360
amphp-amp,26,1,{358},2,0,358
amphp-amp,27,1,{357},2,0,357
amphp-amp,28,1,{356},3,0,356
amphp-amp,36,8,"{1, 2, 3, 4, 5, 347, 222, 223}",10,6,5
amphp-amp,41,2,"{340, 341}",2,0,341
amphp-amp,42,1,{339},3,0,339
amphp-amp,43,5,"{160, 322, 162, 265, 338}",7,0,338
amphp-amp,44,1,{337},2,0,337
amphp-amp,45,1,{336},2,0,336
amphp-amp,47,4,"{305, 306, 301, 334}",6,0,334
amphp-amp,49,2,"{331, 332}",3,0,332
amphp-amp,54,2,"{324, 325}",3,0,325
amphp-amp,58,1,{319},3,0,319
amphp-amp,62,1,{315},3,0,315
amphp-amp,66,1,{307},2,0,307
amphp-amp,68,1,{303},3,0,303
amphp-amp,71,1,{299},2,0,299
amphp-amp,74,1,{295},3,0,295
amphp-amp,79,1,{290},2,0,290
amphp-amp,81,1,{288},1,0,288
amphp-amp,83,1,{286},1,0,286
amphp-amp,86,3,"{283, 165, 195}",1,0,283
amphp-amp,88,1,{281},1,0,281
amphp-amp,89,1,{280},2,0,280
amphp-amp,91,1,{278},3,0,278
amphp-amp,97,1,{272},2,0,272
amphp-amp,98,1,{271},2,0,271
amphp-amp,100,1,{269},2,0,269
amphp-amp,101,2,"{267, 268}",2,0,268
amphp-amp,103,1,{263},2,0,263
amphp-amp,106,1,{260},3,0,260
amphp-amp,116,1,{248},1,0,248
amphp-amp,118,3,"{244, 245, 246}",4,0,245
amphp-amp,120,1,{242},1,0,242
amphp-amp,123,1,{239},4,0,239
amphp-amp,125,1,{237},1,0,237
amphp-amp,128,1,{234},4,0,234
amphp-amp,134,2,"{225, 226}",3,0,226
amphp-amp,139,2,"{217, 218}",4,0,218
amphp-amp,140,1,{216},3,0,216
amphp-amp,141,2,"{208, 215}",4,0,208
amphp-amp,148,1,{206},3,0,206
amphp-amp,156,6,"{197, 198, 168, 157, 189, 190}",5,0,197
amphp-amp,157,1,{196},1,0,196
amphp-amp,158,1,{194},2,0,194
amphp-amp,159,2,"{192, 193}",3,0,192
amphp-amp,161,1,{188},3,0,188
amphp-amp,163,1,{186},2,0,186
amphp-amp,170,1,{179},1,0,179
amphp-amp,175,1,{171},2,0,171
amphp-amp,176,1,{170},1,0,170
amphp-amp,180,1,{164},2,0,164
amphp-amp,191,1,{148},1,0,148
amphp-amp,199,1,{139},2,0,139
amphp-amp,203,1,{135},5,0,135
amphp-amp,205,1,{133},2,0,133
amphp-amp,208,1,{130},3,0,130
amphp-amp,211,1,{127},5,0,127
amphp-amp,215,1,{123},5,0,123
amphp-amp,217,1,{121},2,0,121
amphp-amp,219,1,{119},4,0,119
amphp-amp,222,1,{115},4,0,115
amphp-amp,226,1,{111},3,0,111
amphp-amp,227,3,"{96, 98, 110}",3,0,110
amphp-amp,247,2,"{77, 86}",7,0,86
amphp-amp,255,2,"{75, 76}",6,0,76
amphp-amp,257,1,{73},3,0,73
amphp-amp,258,2,"{72, 68}",5,0,72
amphp-amp,259,1,{71},3,0,71
amphp-amp,260,1,{70},3,0,70
amphp-amp,267,1,{62},4,0,62
amphp-amp,274,1,{54},5,0,54
amphp-amp,278,1,{50},3,0,50
amphp-amp,280,1,{48},4,0,48
amphp-amp,282,1,{46},2,0,46
amphp-amp,283,1,{45},6,0,45
amphp-amp,285,1,{42},4,0,42
amphp-amp,289,1,{38},5,0,38
amphp-amp,292,1,{35},5,0,35
amphp-amp,294,1,{33},2,0,33
amphp-amp,295,1,{32},4,0,32
amphp-amp,298,1,{29},2,0,29
amphp-amp,300,1,{27},2,0,27
amphp-amp,301,1,{26},3,0,26
amphp-amp,302,1,{25},2,0,25
amphp-amp,303,1,{24},1,0,24
amphp-amp,305,1,{22},2,0,22
amphp-amp,306,1,{21},3,0,21
amphp-amp,307,1,{20},2,0,20
amphp-amp,309,1,{18},2,0,18
amphp-amp,310,1,{17},4,0,17
amphp-amp,311,2,"{16, 14}",4,0,16
amphp-amp,313,1,{13},3,0,13
amphp-amp,315,1,{11},2,0,11
amphp-amp,316,1,{10},1,0,10
amphp-amp,318,1,{8},1,0,8
