repo_name,component_size,component_frequency,edge_count,max_possible,subgraph_density,,repo_name,component_size,component_frequency,edge_count,max_possible,subgraph_density,,repo_name,aggregated_density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,1,2852,0,0,0,,Activiti-Activiti,2,280,298,560,0.532142857,,Activiti-Activiti,18.28%,,All project mean density,24.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,2,280,298,560,0.532142857,,Activiti-Activiti,3,67,144,402,0.358208955,,ag-grid-ag-grid,22.10%,,All project median density,24.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,3,67,144,402,0.358208955,,Activiti-Activiti,4,33,107,396,0.27020202,,amphp-amp,32.55%,,All project min density,13.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,4,33,107,396,0.27020202,,Activiti-Activiti,5,16,84,320,0.2625,,apache-dubbo,13.64%,,All project max density,36.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,5,16,84,320,0.2625,,Activiti-Activiti,6,7,35,210,0.166666667,,App-vNext-Polly,25.52%,,All project stdev density,5.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,6,7,35,210,0.166666667,,Activiti-Activiti,7,2,16,84,0.19047619,,archriss-react-native-snap-carousel,27.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,7,2,16,84,0.19047619,,Activiti-Activiti,8,2,14,112,0.125,,BurntSushi-toml,23.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,8,2,14,112,0.125,,Activiti-Activiti,9,2,18,144,0.125,,casesandberg-react-color,21.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,9,2,18,144,0.125,,Activiti-Activiti,10,1,10,90,0.111111111,,cglib-cglib,31.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,10,1,10,90,0.111111111,,Activiti-Activiti,11,2,21,220,0.095454545,,chaijs-chai,26.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,11,2,21,220,0.095454545,,Activiti-Activiti,12,1,12,132,0.090909091,,cruffenach-CRToast,26.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,12,1,12,132,0.090909091,,Activiti-Activiti,13,1,14,156,0.08974359,,deepinsight-insightface,21.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,13,1,14,156,0.08974359,,Activiti-Activiti,15,1,19,210,0.09047619,,deployphp-deployer,17.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,15,1,19,210,0.09047619,,Activiti-Activiti,23,1,26,506,0.051383399,,duo-labs-cloudmapper,19.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activiti-Activiti,23,1,26,506,0.051383399,,ag-grid-ag-grid,2,255,270,510,0.529411765,,fantasyland-fantasy-land,33.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ag-grid-ag-grid,1,4491,0,0,0,,ag-grid-ag-grid,3,47,105,282,0.372340426,,Flipboard-bottomsheet,34.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ag-grid-ag-grid,2,255,270,510,0.529411765,,ag-grid-ag-grid,4,16,56,192,0.291666667,,go-chi-chi,27.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ag-grid-ag-grid,3,47,105,282,0.372340426,,ag-grid-ag-grid,5,7,32,140,0.228571429,,grpc-grpc-web,19.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ag-grid-ag-grid,4,16,56,192,0.291666667,,ag-grid-ag-grid,6,4,25,120,0.208333333,,imbrn-v8n,32.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
