component,percentage,edge_count,max_possible,component_nodes
133,33.33333333333333,2,6,"{1917, 1910, 1903}"
159,50.0,1,2,"{1889, 1067}"
169,50.0,1,2,"{1518, 1879}"
267,33.33333333333333,2,6,"{1680, 1593, 1781}"
309,23.333333333333332,7,30,"{1349, 1386, 1387, 1739, 1364, 1374}"
372,50.0,1,2,"{1674, 1675}"
384,20.0,4,20,"{481, 171, 333, 1559, 1662}"
410,50.0,1,2,"{1635, 1636}"
510,50.0,1,2,"{1356, 1533}"
522,50.0,1,2,"{1521, 242}"
539,11.11111111111111,8,72,"{704, 1448, 682, 1107, 1015, 791, 731, 829, 1503}"
562,33.33333333333333,2,6,"{1480, 1264, 1269}"
573,50.0,1,2,"{1469, 1271}"
575,50.0,1,2,"{1467, 1438}"
610,8.095238095238095,17,210,"{1, 2, 1379, 1124, 3, 4, 5, 6, 7, 8, 269, 336, 1430, 699, 415}"
623,50.0,1,2,"{1417, 1350}"
643,50.0,1,2,"{1396, 1397}"
679,50.0,1,2,"{1354, 1283}"
710,33.33333333333333,2,6,"{1321, 866, 637}"
736,50.0,1,2,"{980, 1295}"
788,50.0,1,2,"{1022, 1239}"
799,50.0,1,2,"{1228, 470}"
838,33.33333333333333,2,6,"{800, 569, 1189}"
850,50.0,1,2,"{1177, 1069}"
857,20.0,4,20,"{197, 904, 80, 1170, 127}"
882,50.0,1,2,"{1145, 858}"
923,50.0,1,2,"{1102, 255}"
927,50.0,1,2,"{1098, 684}"
929,12.5,7,56,"{803, 1096, 938, 78, 755, 760, 668, 669}"
930,50.0,1,2,"{781, 1095}"
931,50.0,1,2,"{1094, 783}"
939,50.0,1,2,"{555, 1086}"
960,12.5,7,56,"{66, 1063, 73, 169, 43, 650, 239, 19}"
991,33.33333333333333,4,12,"{1032, 395, 325, 679}"
1028,50.0,1,2,"{993, 185}"
1035,50.0,1,2,"{986, 223}"
1037,14.285714285714285,6,42,"{835, 870, 871, 875, 876, 984, 670}"
1042,50.0,1,2,"{978, 330}"
1059,33.33333333333333,2,6,"{528, 961, 542}"
1087,50.0,1,2,"{932, 748}"
1099,33.33333333333333,2,6,"{920, 556, 741}"
1118,50.0,1,2,"{897, 900}"
1119,50.0,1,2,"{891, 899}"
1120,33.33333333333333,2,6,"{674, 898, 894}"
1179,33.33333333333333,2,6,"{778, 828, 687}"
1215,7.6923076923076925,12,156,"{256, 193, 291, 313, 265, 649, 554, 505, 206, 789, 214, 537, 187}"
1229,50.0,1,2,"{770, 772}"
1267,25.0,3,12,"{728, 163, 176, 423}"
1343,50.0,1,2,"{640, 574}"
1370,50.0,1,2,"{416, 612}"
1395,50.0,1,2,"{353, 587}"
1399,50.0,1,2,"{572, 583}"
1413,25.0,3,12,"{24, 331, 566, 215}"
1449,50.0,1,2,"{467, 524}"
1477,33.33333333333333,2,6,"{405, 478, 495}"
1491,25.0,3,12,"{480, 144, 184, 167}"
1556,50.0,1,2,"{409, 251}"
1570,23.333333333333332,7,30,"{226, 393, 302, 272, 279, 281}"
1594,50.0,1,2,"{369, 67}"
1601,50.0,1,2,"{362, 108}"
1648,50.0,1,2,"{140, 308}"
1726,14.285714285714285,6,42,"{32, 33, 130, 55, 216, 92, 125}"
1731,50.0,1,2,"{208, 209}"
1779,50.0,1,2,"{149, 70}"
1783,50.0,1,2,"{145, 26}"
1790,33.33333333333333,2,6,"{136, 121, 65}"
1799,33.33333333333333,2,6,"{40, 124, 86}"
1811,50.0,1,2,"{85, 111}"
1813,33.33333333333333,2,6,"{99, 28, 109}"
1819,50.0,1,2,"{97, 102}"
1829,50.0,1,2,"{89, 29}"
1833,50.0,1,2,"{83, 68}"
1880,50.0,1,2,"{17, 18}"
1883,50.0,1,2,"{13, 14}"
1885,50.0,1,2,"{10, 11}"
