component,percentage,fixes_count,edge_count,component_nodes
133,0.0,0,2,"{1917, 1910, 1903}"
159,0.0,0,1,"{1889, 1067}"
169,0.0,0,1,"{1518, 1879}"
267,0.0,0,2,"{1680, 1593, 1781}"
309,0.0,0,7,"{1349, 1386, 1387, 1739, 1364, 1374}"
372,0.0,0,1,"{1674, 1675}"
384,0.0,0,4,"{481, 171, 333, 1559, 1662}"
410,0.0,0,1,"{1635, 1636}"
510,0.0,0,1,"{1356, 1533}"
522,0.0,0,1,"{1521, 242}"
539,0.0,0,8,"{704, 1448, 682, 1107, 1015, 791, 731, 829, 1503}"
562,0.0,0,2,"{1480, 1264, 1269}"
573,0.0,0,1,"{1469, 1271}"
575,0.0,0,1,"{1467, 1438}"
610,0.0,0,17,"{1, 2, 1379, 1124, 3, 4, 5, 6, 7, 8, 269, 336, 1430, 699, 415}"
623,0.0,0,1,"{1417, 1350}"
643,0.0,0,1,"{1396, 1397}"
679,0.0,0,1,"{1354, 1283}"
710,0.0,0,2,"{1321, 866, 637}"
736,0.0,0,1,"{980, 1295}"
788,0.0,0,1,"{1022, 1239}"
799,0.0,0,1,"{1228, 470}"
838,0.0,0,2,"{800, 569, 1189}"
850,0.0,0,1,"{1177, 1069}"
857,0.0,0,4,"{197, 904, 80, 1170, 127}"
882,0.0,0,1,"{1145, 858}"
923,0.0,0,1,"{1102, 255}"
927,0.0,0,1,"{1098, 684}"
929,0.0,0,7,"{803, 1096, 938, 78, 755, 760, 668, 669}"
930,0.0,0,1,"{781, 1095}"
931,0.0,0,1,"{1094, 783}"
939,0.0,0,1,"{555, 1086}"
960,0.0,0,7,"{66, 1063, 73, 169, 43, 650, 239, 19}"
991,0.0,0,4,"{1032, 395, 325, 679}"
1028,0.0,0,1,"{993, 185}"
1035,0.0,0,1,"{986, 223}"
1037,0.0,0,6,"{835, 870, 871, 875, 876, 984, 670}"
1042,0.0,0,1,"{978, 330}"
1059,0.0,0,2,"{528, 961, 542}"
1087,0.0,0,1,"{932, 748}"
1099,0.0,0,2,"{920, 556, 741}"
1118,0.0,0,1,"{897, 900}"
1119,0.0,0,1,"{891, 899}"
1120,0.0,0,2,"{674, 898, 894}"
1179,0.0,0,2,"{778, 828, 687}"
1215,0.0,0,12,"{256, 193, 291, 313, 265, 649, 554, 505, 206, 789, 214, 537, 187}"
1229,0.0,0,1,"{770, 772}"
1267,0.0,0,3,"{728, 163, 176, 423}"
1343,0.0,0,1,"{640, 574}"
1370,0.0,0,1,"{416, 612}"
1395,0.0,0,1,"{353, 587}"
1399,0.0,0,1,"{572, 583}"
1413,0.0,0,3,"{24, 331, 566, 215}"
1449,0.0,0,1,"{467, 524}"
1477,0.0,0,2,"{405, 478, 495}"
1491,0.0,0,3,"{480, 144, 184, 167}"
1556,0.0,0,1,"{409, 251}"
1570,0.0,0,7,"{226, 393, 302, 272, 279, 281}"
1594,0.0,0,1,"{369, 67}"
1601,0.0,0,1,"{362, 108}"
1648,0.0,0,1,"{140, 308}"
1726,0.0,0,6,"{32, 33, 130, 55, 216, 92, 125}"
1731,0.0,0,1,"{208, 209}"
1779,0.0,0,1,"{149, 70}"
1783,0.0,0,1,"{145, 26}"
1790,0.0,0,2,"{136, 121, 65}"
1799,0.0,0,2,"{40, 124, 86}"
1811,0.0,0,1,"{85, 111}"
1813,0.0,0,2,"{99, 28, 109}"
1819,0.0,0,1,"{97, 102}"
1829,0.0,0,1,"{89, 29}"
1833,0.0,0,1,"{83, 68}"
1880,100.0,1,1,"{17, 18}"
1883,0.0,0,1,"{13, 14}"
1885,0.0,0,1,"{10, 11}"
