component,percentage,fixes_count,edge_count,component_nodes
4,0.0,0,1,"{3070, 3191}"
6,0.0,0,1,"{3189, 3159}"
11,0.0,0,3,"{3178, 3082, 3124, 3149}"
12,0.0,0,2,"{3177, 3121, 3151}"
19,16.666666666666664,1,6,"{3139, 2628, 3048, 1774, 2644, 3165}"
33,100.0,1,1,"{3146, 3147}"
34,100.0,1,1,"{3144, 3145}"
38,100.0,1,1,"{3137, 3138}"
41,0.0,0,1,"{3129, 3133}"
50,25.0,1,4,"{3115, 2948, 2949, 2876}"
52,100.0,1,1,"{3112, 3111}"
56,0.0,0,9,"{3088, 3089, 3091, 3092, 3093, 3095, 3096, 3097, 3098, 3100}"
68,0.0,0,1,"{3049, 3068}"
69,0.0,0,2,"{3064, 2536, 2680}"
73,100.0,1,1,"{3057, 3058}"
77,0.0,0,1,"{3051, 2997}"
78,0.0,0,3,"{2864, 3050, 2891, 2918}"
82,100.0,1,1,"{3044, 2927}"
89,0.0,0,1,"{3032, 3004}"
98,0.0,0,3,"{3001, 2995, 2996, 2951}"
116,0.0,0,1,"{2946, 2967}"
120,33.33333333333333,1,3,"{2923, 2924, 2958}"
123,50.0,1,2,"{2952, 2953, 2939}"
127,33.33333333333333,1,3,"{2936, 2941, 2878, 2879}"
128,25.0,1,4,"{2932, 2933, 2007, 1976, 2044}"
133,2.7210884353741496,4,147,"{1024, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1043, 1038, 1567, 1059, 1025, 1063, 1064, 1065, 1066, 2603, 1071, 1027, 2612, 566, 1029, 64, 1092, 1103, 1106, 1034, 1543, 1109, 1110, 1035, 126, 1154, 1157, 146, 147, 1187, 1192, 683, 684, 1219, 1220, 1222, 1233, 1748, 1753, 1276, 1280, 2323, 1337, 1849, 1857, 845, 846, 2392, 859, 863, 2912, 1376, 2402, 866, 2925, 888, 889, 891, 2440, 905, 2442, 908, 2450, 2458, 924, 929, 931, 932, 2472, 937, 953, 955, 963, 968, 971, 974, 979, 980, 2523, 988, 2524, 1507, 1001, 1005, 1006, 1011, 1013, 1016, 1018, 1021, 1023}"
138,0.0,0,1,"{2917, 2814}"
143,0.0,0,1,"{2910, 2823}"
147,100.0,1,1,"{2905, 2906}"
160,0.0,0,1,"{2881, 2882}"
164,0.0,0,1,"{2861, 2870}"
173,100.0,1,1,"{2850, 2852}"
175,0.0,0,1,"{2849, 2535}"
177,0.0,0,2,"{2788, 2845, 2759}"
181,100.0,1,1,"{2836, 2837}"
183,100.0,1,1,"{2832, 2834}"
184,0.0,0,1,"{2576, 2833}"
188,50.0,1,2,"{2570, 2820, 2821}"
189,0.0,0,1,"{2819, 2734}"
196,0.0,0,3,"{2801, 2754, 2755, 2710}"
200,0.0,0,1,"{2793, 2779}"
202,0.0,0,1,"{2777, 2786}"
218,0.0,0,7,"{1313, 1409, 1383, 1319, 2764, 1620}"
219,100.0,1,1,"{2762, 2763}"
220,100.0,1,1,"{2760, 2761}"
241,0.0,0,1,"{2722, 2723}"
245,0.0,0,1,"{2126, 2718}"
254,100.0,1,1,"{2696, 2694}"
264,100.0,1,1,"{2674, 2675}"
265,50.0,1,2,"{2528, 2673, 2672}"
268,11.11111111111111,1,9,"{2656, 2592, 2659, 2667, 2668, 2669, 1072, 2544, 1367}"
269,25.0,1,4,"{2598, 2664, 2616, 729, 2461}"
279,0.0,0,1,"{2636, 2637}"
283,0.0,0,1,"{2626, 2630}"
291,0.0,0,1,"{2620, 2548}"
300,0.0,0,2,"{2604, 2485, 2486}"
302,0.0,0,1,"{2568, 2601}"
304,0.0,0,1,"{1786, 2595}"
305,50.0,1,2,"{2594, 2574, 2575}"
311,66.66666666666666,2,3,"{2560, 2545, 2525, 2526}"
313,100.0,1,1,"{2554, 2538}"
315,100.0,1,1,"{2549, 2551}"
321,0.0,0,2,"{2512, 2513, 2533}"
324,0.0,0,1,"{1305, 2527}"
326,0.0,0,1,"{2520, 2521}"
327,100.0,2,2,"{2510, 2509, 2518}"
331,20.0,1,5,"{1923, 2506, 2507, 2514, 1907}"
334,100.0,2,2,"{2504, 25, 2503}"
336,0.0,0,1,"{2497, 2500}"
342,0.0,0,1,"{2490, 2403}"
345,33.33333333333333,1,3,"{2280, 2417, 2275, 2487}"
358,0.0,0,6,"{2464, 1356, 1939, 1940, 2388, 1941}"
363,5.555555555555555,1,18,"{1287, 1548, 1421, 1557, 2457, 1434, 1441, 1598, 1483, 1868, 1484, 2133, 1505, 1509, 1387, 1259, 1518, 1904, 1529}"
365,0.0,0,1,"{2454, 2455}"
367,100.0,1,1,"{2451, 2452}"
370,0.0,0,1,"{2445, 2446}"
371,0.0,0,1,"{2444, 2439}"
380,7.317073170731707,3,41,"{896, 898, 527, 530, 2067, 2069, 541, 2080, 1446, 1719, 1593, 2106, 2105, 572, 957, 1594, 1982, 2377, 2122, 2393, 1371, 2267, 2401, 875, 619, 2413, 877, 1647, 622, 625, 2424, 1404, 2429, 894}"
381,100.0,1,1,"{2427, 2428}"
383,100.0,1,1,"{2425, 2423}"
386,0.0,0,1,"{2419, 2414}"
387,100.0,1,1,"{2418, 2364}"
392,50.0,1,2,"{2408, 2169, 2407}"
394,0.0,0,1,"{2405, 1207}"
397,0.0,0,3,"{2352, 2345, 2348, 2390}"
405,0.0,0,1,"{2370, 2371}"
408,0.0,0,1,"{2365, 2366}"
424,0.0,0,1,"{2265, 2324}"
426,100.0,1,1,"{2317, 2319}"
427,0.0,0,1,"{1651, 2318}"
430,0.0,0,1,"{2299, 2310}"
433,100.0,1,1,"{2281, 2293}"
436,19.047619047619047,4,21,"{2176, 2178, 2180, 2185, 2186, 2187, 2188, 2192, 2193, 2194, 2210, 2218, 2225, 2226, 2240, 2241, 2242, 2245, 2246, 2250, 2290}"
447,0.0,0,2,"{2202, 1379, 2262}"
448,0.0,0,1,"{2261, 2255}"
