component,percentage,edge_count,max_possible,component_nodes
5,1.0582838077364196,203,19182,"{1, 2, 3, 4, 7, 11, 12, 13, 14, 16, 20, 21, 23, 24, 25, 30, 31, 33, 50, 52, 53, 56, 60, 61, 62, 66, 68, 73, 82, 85, 86, 88, 90, 91, 92, 96, 97, 102, 103, 117, 118, 119, 120, 122, 124, 128, 130, 131, 132, 133, 134, 135, 136, 137, 138, 141, 144, 145, 146, 147, 149, 150, 151, 152, 154, 157, 158, 160, 162, 163, 164, 168, 169, 170, 171, 172, 173, 174, 176, 177, 179, 180, 181, 184, 185, 186, 187, 188, 192, 193, 194, 195, 197, 199, 200, 201, 203, 205, 206, 207, 213, 214, 219, 220, 221, 222, 223, 224, 228, 229, 233, 235, 236, 239, 240, 241, 242, 244, 250, 259, 261, 273, 274, 276, 278, 280, 281, 283, 284, 285, 286, 290, 291, 298, 310, 315, 317, 320, 327}"
9,50.0,1,2,"{322, 323}"
15,25.0,5,20,"{293, 294, 266, 270, 313}"
17,33.33333333333333,2,6,"{210, 303, 311}"
26,50.0,1,2,"{299, 300}"
29,33.33333333333333,2,6,"{288, 211, 295}"
31,50.0,3,6,"{289, 218, 217}"
33,50.0,1,2,"{282, 204}"
36,33.33333333333333,2,6,"{272, 275, 269}"
38,50.0,1,2,"{267, 268}"
39,50.0,3,6,"{265, 262, 263}"
50,25.0,3,12,"{248, 249, 232, 208}"
51,50.0,1,2,"{246, 247}"
62,50.0,1,2,"{216, 191}"
79,33.33333333333333,2,6,"{153, 139, 159}"
94,50.0,1,2,"{113, 114}"
95,50.0,1,2,"{112, 111}"
96,50.0,1,2,"{109, 110}"
109,25.0,3,12,"{72, 89, 70, 57}"
111,50.0,1,2,"{83, 84}"
119,50.0,1,2,"{74, 51}"
157,50.0,1,2,"{8, 9}"
