component,percentage,edge_count,max_possible,component_nodes
8,50.0,1,2,"{730, 326}"
12,50.0,1,2,"{724, 726}"
17,33.33333333333333,2,6,"{224, 218, 719}"
21,50.0,1,2,"{712, 714}"
23,8.333333333333332,13,156,"{708, 453, 518, 711, 462, 590, 560, 561, 592, 591, 593, 473, 541}"
34,50.0,1,2,"{696, 695}"
39,33.33333333333333,2,6,"{336, 337, 687}"
41,50.0,1,2,"{685, 678}"
47,50.0,1,2,"{480, 679}"
50,50.0,1,2,"{675, 662}"
60,50.0,1,2,"{664, 665}"
81,33.33333333333333,4,12,"{641, 642, 148, 149}"
85,50.0,3,6,"{609, 636, 637}"
95,50.0,1,2,"{624, 588}"
101,23.809523809523807,10,42,"{610, 583, 584, 617, 618, 559, 562}"
104,50.0,1,2,"{536, 614}"
110,50.0,1,2,"{587, 606}"
115,50.0,1,2,"{600, 601}"
116,50.0,1,2,"{597, 599}"
124,7.18954248366013,22,306,"{1, 582, 327, 362, 363, 364, 333, 366, 302, 334, 346, 370, 379, 373, 343, 378, 347, 330}"
125,33.33333333333333,2,6,"{576, 555, 581}"
126,50.0,1,2,"{580, 548}"
134,50.0,1,2,"{528, 571}"
138,50.0,1,2,"{551, 567}"
147,33.33333333333333,2,6,"{552, 553, 550}"
151,50.0,1,2,"{545, 537}"
152,50.0,1,2,"{544, 543}"
161,50.0,1,2,"{530, 531}"
172,50.0,1,2,"{516, 517}"
175,50.0,1,2,"{513, 403}"
180,50.0,1,2,"{508, 500}"
182,50.0,1,2,"{506, 411}"
187,50.0,1,2,"{91, 501}"
202,50.0,1,2,"{484, 485}"
208,33.33333333333333,2,6,"{426, 476, 477}"
226,50.0,3,6,"{456, 412, 407}"
227,50.0,1,2,"{448, 455}"
233,33.33333333333333,2,6,"{423, 322, 447}"
247,50.0,1,2,"{432, 433}"
255,41.66666666666667,5,12,"{409, 410, 417, 422}"
261,50.0,1,2,"{80, 415}"
269,50.0,3,6,"{401, 306, 397}"
272,50.0,3,6,"{392, 277, 398}"
283,33.33333333333333,2,6,"{385, 382, 383}"
294,50.0,1,2,"{368, 367}"
295,50.0,1,2,"{365, 198}"
305,50.0,1,2,"{352, 270}"
309,50.0,1,2,"{307, 348}"
321,50.0,1,2,"{328, 314}"
326,50.0,1,2,"{320, 257}"
343,50.0,1,2,"{290, 299}"
344,50.0,1,2,"{297, 298}"
349,50.0,1,2,"{163, 292}"
359,33.33333333333333,2,6,"{281, 259, 260}"
361,50.0,1,2,"{278, 279}"
367,33.33333333333333,2,6,"{264, 265, 271}"
369,50.0,1,2,"{267, 268}"
375,33.33333333333333,2,6,"{256, 242, 199}"
376,4.273504273504273,30,702,"{255, 167, 168, 43, 45, 47, 176, 48, 49, 179, 182, 55, 56, 185, 61, 78, 207, 79, 209, 83, 221, 94, 99, 100, 246, 125, 127}"
382,33.33333333333333,4,12,"{248, 249, 238, 247}"
383,50.0,1,2,"{245, 230}"
391,50.0,1,2,"{234, 235}"
401,50.0,1,2,"{222, 87}"
405,50.0,1,2,"{216, 215}"
408,50.0,1,2,"{210, 212}"
417,50.0,1,2,"{200, 20}"
419,50.0,1,2,"{193, 196}"
420,50.0,1,2,"{194, 195}"
421,50.0,1,2,"{192, 191}"
424,50.0,1,2,"{188, 183}"
427,50.0,1,2,"{184, 155}"
434,25.0,3,12,"{85, 84, 173, 86}"
438,50.0,1,2,"{169, 164}"
441,50.0,1,2,"{162, 150}"
448,50.0,1,2,"{152, 154}"
471,50.0,1,2,"{124, 126}"
489,50.0,1,2,"{106, 103}"
494,50.0,1,2,"{97, 98}"
498,33.33333333333333,2,6,"{90, 92, 58}"
505,50.0,1,2,"{74, 75}"
510,50.0,3,6,"{67, 68, 69}"
528,50.0,1,2,"{40, 37}"
531,50.0,1,2,"{35, 36}"
536,33.33333333333333,4,12,"{9, 3, 29, 30}"
553,50.0,1,2,"{11, 5}"
555,50.0,1,2,"{8, 7}"
