component,percentage,fixes_count,edge_count,component_nodes
8,0.0,0,1,"{730, 326}"
12,100.0,1,1,"{724, 726}"
17,0.0,0,2,"{224, 218, 719}"
21,0.0,0,1,"{712, 714}"
23,7.6923076923076925,1,13,"{708, 453, 518, 711, 462, 590, 560, 561, 592, 591, 593, 473, 541}"
34,0.0,0,1,"{696, 695}"
39,50.0,1,2,"{336, 337, 687}"
41,0.0,0,1,"{685, 678}"
47,0.0,0,1,"{480, 679}"
50,100.0,1,1,"{675, 662}"
60,0.0,0,1,"{664, 665}"
81,0.0,0,4,"{641, 642, 148, 149}"
85,0.0,0,3,"{609, 636, 637}"
95,0.0,0,1,"{624, 588}"
101,0.0,0,10,"{610, 583, 584, 617, 618, 559, 562}"
104,0.0,0,1,"{536, 614}"
110,100.0,1,1,"{587, 606}"
115,0.0,0,1,"{600, 601}"
116,0.0,0,1,"{597, 599}"
124,9.090909090909092,2,22,"{1, 582, 327, 362, 363, 364, 333, 366, 302, 334, 346, 370, 379, 373, 343, 378, 347, 330}"
125,0.0,0,2,"{576, 555, 581}"
126,0.0,0,1,"{580, 548}"
134,0.0,0,1,"{528, 571}"
138,100.0,1,1,"{551, 567}"
147,0.0,0,2,"{552, 553, 550}"
151,0.0,0,1,"{545, 537}"
152,0.0,0,1,"{544, 543}"
161,0.0,0,1,"{530, 531}"
172,0.0,0,1,"{516, 517}"
175,0.0,0,1,"{513, 403}"
180,0.0,0,1,"{508, 500}"
182,100.0,1,1,"{506, 411}"
187,0.0,0,1,"{91, 501}"
202,100.0,1,1,"{484, 485}"
208,100.0,2,2,"{426, 476, 477}"
226,66.66666666666666,2,3,"{456, 412, 407}"
227,0.0,0,1,"{448, 455}"
233,0.0,0,2,"{423, 322, 447}"
247,0.0,0,1,"{432, 433}"
255,20.0,1,5,"{409, 410, 417, 422}"
261,0.0,0,1,"{80, 415}"
269,33.33333333333333,1,3,"{401, 306, 397}"
272,0.0,0,3,"{392, 277, 398}"
283,50.0,1,2,"{385, 382, 383}"
294,0.0,0,1,"{368, 367}"
295,0.0,0,1,"{365, 198}"
305,0.0,0,1,"{352, 270}"
309,0.0,0,1,"{307, 348}"
321,0.0,0,1,"{328, 314}"
326,0.0,0,1,"{320, 257}"
343,100.0,1,1,"{290, 299}"
344,100.0,1,1,"{297, 298}"
349,0.0,0,1,"{163, 292}"
359,0.0,0,2,"{281, 259, 260}"
361,0.0,0,1,"{278, 279}"
367,0.0,0,2,"{264, 265, 271}"
369,100.0,1,1,"{267, 268}"
375,0.0,0,2,"{256, 242, 199}"
376,6.666666666666667,2,30,"{255, 167, 168, 43, 45, 47, 176, 48, 49, 179, 182, 55, 56, 185, 61, 78, 207, 79, 209, 83, 221, 94, 99, 100, 246, 125, 127}"
382,0.0,0,4,"{248, 249, 238, 247}"
383,0.0,0,1,"{245, 230}"
391,0.0,0,1,"{234, 235}"
401,0.0,0,1,"{222, 87}"
405,100.0,1,1,"{216, 215}"
408,0.0,0,1,"{210, 212}"
417,0.0,0,1,"{200, 20}"
419,100.0,1,1,"{193, 196}"
420,100.0,1,1,"{194, 195}"
421,0.0,0,1,"{192, 191}"
424,0.0,0,1,"{188, 183}"
427,0.0,0,1,"{184, 155}"
434,0.0,0,3,"{85, 84, 173, 86}"
438,0.0,0,1,"{169, 164}"
441,0.0,0,1,"{162, 150}"
448,0.0,0,1,"{152, 154}"
471,0.0,0,1,"{124, 126}"
489,0.0,0,1,"{106, 103}"
494,0.0,0,1,"{97, 98}"
498,0.0,0,2,"{90, 92, 58}"
505,0.0,0,1,"{74, 75}"
510,0.0,0,3,"{67, 68, 69}"
528,0.0,0,1,"{40, 37}"
531,0.0,0,1,"{35, 36}"
536,0.0,0,4,"{9, 3, 29, 30}"
553,0.0,0,1,"{11, 5}"
555,0.0,0,1,"{8, 7}"
