component,percentage,fixes_count,edge_count,component_nodes
1,0.0,0,2,"{1257, 1251, 1241}"
2,0.0,0,3,"{1256, 1242, 535}"
6,50.0,1,2,"{1249, 1214, 1159}"
13,0.0,0,1,"{1240, 946}"
16,20.0,1,5,"{422, 270, 79, 469, 1237}"
18,100.0,2,2,"{529, 1235, 1233}"
21,100.0,1,1,"{1216, 1231}"
22,10.0,3,30,"{1025, 1026, 259, 260, 1039, 1043, 673, 550, 939, 941, 1076, 1077, 1082, 700, 1085, 575, 1221, 330, 1230, 1105, 219, 222, 223, 744, 745, 1137, 1138, 253}"
27,20.0,1,5,"{1158, 1160, 1225, 1164, 1166, 1199}"
28,0.0,0,1,"{1224, 1177}"
29,0.0,0,2,"{1220, 1222, 1223}"
39,100.0,1,1,"{1208, 1207}"
46,18.51851851851852,10,54,"{518, 908, 909, 910, 785, 786, 405, 918, 283, 541, 544, 418, 292, 425, 555, 558, 942, 1200, 176, 567, 695, 956, 317, 574, 580, 847, 848, 338, 466, 858, 988, 604, 351, 608, 865, 868, 489, 746, 873, 874, 877, 498, 756, 886, 632, 1018, 766}"
57,100.0,1,1,"{1184, 1072}"
64,0.0,0,2,"{1176, 1162, 1168}"
68,0.0,0,1,"{1153, 1172}"
69,0.0,0,1,"{1170, 1171}"
71,100.0,1,1,"{950, 1167}"
77,0.0,0,15,"{1154, 453, 645, 714, 1134, 660, 949, 952, 920, 571}"
79,0.0,0,5,"{1088, 1063, 1139, 1142, 1151}"
112,15.555555555555555,7,45,"{384, 906, 528, 657, 284, 413, 543, 1057, 289, 294, 295, 171, 300, 557, 302, 301, 304, 1075, 307, 309, 1078, 311, 568, 566, 308, 182, 186, 200, 209, 467, 342, 1112, 1113, 352, 356, 361, 490, 363, 497, 377, 250}"
116,0.0,0,1,"{634, 1108}"
122,10.0,1,10,"{419, 903, 1101, 881, 951, 696, 1050, 343, 415}"
132,0.0,0,3,"{576, 1091, 901, 957}"
139,0.0,0,1,"{1081, 839}"
152,25.0,1,4,"{1056, 1060, 870, 1062, 958}"
153,0.0,0,1,"{691, 1061}"
156,0.0,0,1,"{1054, 1055}"
160,0.0,0,3,"{1049, 819, 985, 1007}"
167,100.0,1,1,"{1041, 1015}"
168,0.0,0,4,"{551, 552, 1040, 436, 380}"
178,0.0,0,3,"{1024, 1021, 1028, 1029}"
190,33.33333333333333,1,3,"{944, 1010, 981}"
193,0.0,0,1,"{1005, 1006}"
198,0.0,0,11,"{1000, 713, 840, 684, 461, 975, 976, 561, 80, 87, 344, 281}"
210,0.0,0,1,"{987, 884}"
215,0.0,0,1,"{980, 702}"
216,0.0,0,1,"{977, 979}"
225,0.0,0,7,"{898, 967, 872, 458, 494, 501, 502, 507}"
231,0.0,0,1,"{961, 132}"
241,0.0,0,2,"{752, 940, 447}"
251,0.0,0,2,"{929, 716, 719}"
255,0.0,0,1,"{857, 925}"
258,0.0,0,1,"{922, 919}"
260,0.0,0,1,"{747, 917}"
261,0.0,0,1,"{915, 916}"
265,0.0,0,2,"{866, 738, 911}"
272,0.0,0,1,"{896, 897}"
274,100.0,1,1,"{893, 894}"
278,0.0,0,1,"{889, 882}"
279,100.0,1,1,"{888, 887}"
283,0.0,0,1,"{871, 879}"
284,0.0,0,1,"{339, 878}"
286,0.0,0,1,"{315, 875}"
295,0.0,0,1,"{856, 630}"
296,20.0,2,10,"{1, 2, 837, 805, 844, 780, 693, 855}"
297,0.0,0,1,"{852, 854}"
307,0.0,0,1,"{587, 838}"
317,0.0,0,1,"{827, 821}"
328,0.0,0,5,"{522, 588, 814, 432, 81, 86}"
331,0.0,0,1,"{768, 811}"
337,100.0,1,1,"{804, 661}"
348,0.0,0,4,"{13, 789, 24, 793, 350}"
360,100.0,1,1,"{777, 662}"
368,0.0,0,1,"{769, 347}"
373,0.0,0,4,"{40, 762, 125, 741}"
378,50.0,1,2,"{754, 755, 757}"
384,0.0,0,1,"{699, 743}"
389,0.0,0,6,"{736, 424, 399, 667, 670, 671}"
391,0.0,0,4,"{689, 683, 710, 734}"
393,0.0,0,1,"{732, 207}"
400,0.0,0,1,"{725, 686}"
408,0.0,0,3,"{448, 715, 452, 400}"
411,0.0,0,1,"{706, 709}"
421,100.0,1,1,"{690, 692}"
433,33.33333333333333,1,3,"{585, 674, 621, 625}"
440,0.0,0,1,"{659, 663}"
443,0.0,0,1,"{649, 655}"
467,0.0,0,3,"{393, 626, 603, 382}"
470,0.0,0,4,"{503, 381, 622, 534}"
471,0.0,0,1,"{450, 620}"
472,0.0,0,1,"{569, 619}"
474,0.0,0,4,"{593, 617, 595, 614}"
487,50.0,1,2,"{600, 596, 599}"
489,0.0,0,1,"{90, 597}"
498,100.0,1,1,"{581, 582}"
499,0.0,0,1,"{579, 527}"
504,0.0,0,4,"{564, 565, 152, 570, 155}"
509,0.0,0,1,"{554, 556}"
510,0.0,0,4,"{323, 324, 327, 553, 473}"
511,0.0,0,7,"{545, 549, 431, 411, 537, 539, 540}"
518,0.0,0,1,"{49, 533}"
520,33.33333333333333,2,6,"{360, 336, 531, 244, 245, 249}"
528,0.0,0,1,"{460, 519}"
534,0.0,0,3,"{512, 396, 392, 389}"
542,50.0,1,2,"{428, 500, 430}"
549,50.0,1,2,"{488, 442, 444}"
555,100.0,1,1,"{464, 482}"
