component,percentage,edge_count,max_possible,component_nodes
5,10.606060606060606,14,132,"{227, 228, 165, 101, 103, 206, 48, 177, 178, 180, 28, 223}"
6,50.0,1,2,"{226, 220}"
8,20.0,6,30,"{224, 164, 176, 179, 52, 191}"
9,50.0,1,2,"{221, 222}"
10,20.0,4,20,"{195, 209, 210, 219, 190}"
22,50.0,1,2,"{200, 204}"
23,50.0,1,2,"{201, 203}"
37,50.0,3,6,"{184, 171, 45}"
51,50.0,1,2,"{161, 162}"
62,50.0,1,2,"{149, 150}"
66,50.0,1,2,"{145, 140}"
70,50.0,1,2,"{139, 141}"
80,50.0,1,2,"{129, 127}"
82,50.0,1,2,"{125, 126}"
84,50.0,1,2,"{91, 123}"
87,50.0,1,2,"{120, 119}"
88,50.0,1,2,"{117, 118}"
91,50.0,1,2,"{114, 109}"
96,50.0,1,2,"{107, 108}"
98,50.0,1,2,"{104, 105}"
102,33.33333333333333,2,6,"{96, 97, 98}"
103,50.0,1,2,"{94, 95}"
105,50.0,1,2,"{92, 60}"
110,50.0,1,2,"{53, 86}"
113,50.0,1,2,"{83, 76}"
134,50.0,1,2,"{57, 61}"
135,50.0,3,6,"{51, 50, 59}"
136,50.0,1,2,"{24, 58}"
138,50.0,1,2,"{54, 55}"
141,50.0,1,2,"{44, 46}"
142,50.0,1,2,"{41, 43}"
145,50.0,1,2,"{38, 39}"
149,50.0,1,2,"{25, 34}"
154,50.0,1,2,"{26, 29}"
