component,percentage,edge_count,max_possible,component_nodes
6,3.643724696356275,54,1482,"{386, 261, 523, 527, 528, 532, 533, 415, 544, 551, 295, 424, 560, 564, 567, 568, 570, 446, 447, 576, 578, 579, 450, 581, 457, 591, 464, 466, 478, 483, 615, 616, 618, 494, 625, 501, 635, 510, 511}"
7,33.33333333333333,2,6,"{632, 634, 629}"
10,25.0,3,12,"{617, 620, 630, 604}"
21,50.0,1,2,"{584, 612}"
30,33.33333333333333,2,6,"{225, 602, 423}"
34,50.0,1,2,"{597, 598}"
36,50.0,1,2,"{594, 595}"
38,50.0,1,2,"{592, 542}"
41,33.33333333333333,2,6,"{586, 587, 588}"
42,50.0,1,2,"{585, 582}"
52,33.33333333333333,2,6,"{565, 566, 526}"
60,50.0,1,2,"{425, 555}"
62,50.0,1,2,"{553, 548}"
63,50.0,1,2,"{552, 547}"
93,20.0,4,20,"{352, 491, 368, 311, 509}"
113,50.0,3,6,"{362, 486, 327}"
115,33.33333333333333,2,6,"{476, 484, 127}"
122,50.0,1,2,"{473, 474}"
139,50.0,1,2,"{452, 453}"
143,50.0,1,2,"{442, 445}"
155,33.33333333333333,2,6,"{432, 409, 351}"
156,50.0,1,2,"{411, 431}"
161,50.0,1,2,"{426, 419}"
179,33.33333333333333,2,6,"{401, 355, 353}"
182,33.33333333333333,2,6,"{393, 397, 398}"
198,50.0,1,2,"{361, 379}"
203,50.0,1,2,"{373, 374}"
206,50.0,1,2,"{369, 370}"
216,50.0,1,2,"{356, 309}"
230,50.0,1,2,"{338, 308}"
240,33.33333333333333,2,6,"{328, 317, 318}"
241,20.0,4,20,"{320, 323, 324, 325, 326}"
245,50.0,1,2,"{315, 316}"
246,50.0,1,2,"{313, 314}"
268,10.0,11,110,"{263, 265, 266, 239, 272, 273, 275, 245, 278, 186, 287}"
290,50.0,1,2,"{256, 257}"
308,50.0,1,2,"{234, 236}"
312,50.0,1,2,"{230, 231}"
313,33.33333333333333,2,6,"{217, 172, 229}"
314,50.0,1,2,"{227, 228}"
319,50.0,1,2,"{221, 215}"
320,33.33333333333333,2,6,"{203, 220, 171}"
337,25.0,3,12,"{200, 196, 197, 199}"
343,50.0,1,2,"{18, 191}"
344,50.0,1,2,"{187, 189}"
350,50.0,1,2,"{180, 181}"
356,50.0,1,2,"{173, 174}"
361,33.33333333333333,2,6,"{155, 165, 166}"
367,50.0,1,2,"{158, 159}"
388,33.33333333333333,2,6,"{136, 133, 135}"
390,50.0,1,2,"{130, 132}"
396,25.0,3,12,"{122, 124, 118, 119}"
397,50.0,1,2,"{121, 123}"
404,16.666666666666664,7,42,"{105, 106, 108, 109, 112, 93, 94}"
405,50.0,1,2,"{68, 111}"
406,33.33333333333333,2,6,"{98, 99, 110}"
407,50.0,1,2,"{107, 95}"
411,50.0,1,2,"{100, 101}"
415,50.0,1,2,"{89, 91}"
454,33.33333333333333,4,12,"{48, 49, 50, 47}"
460,50.0,1,2,"{40, 41}"
467,50.0,1,2,"{33, 30}"
484,50.0,1,2,"{13, 14}"
