component,percentage,fixes_count,edge_count,component_nodes
6,11.11111111111111,6,54,"{386, 261, 523, 527, 528, 532, 533, 415, 544, 551, 295, 424, 560, 564, 567, 568, 570, 446, 447, 576, 578, 579, 450, 581, 457, 591, 464, 466, 478, 483, 615, 616, 618, 494, 625, 501, 635, 510, 511}"
7,0.0,0,2,"{632, 634, 629}"
10,33.33333333333333,1,3,"{617, 620, 630, 604}"
21,0.0,0,1,"{584, 612}"
30,0.0,0,2,"{225, 602, 423}"
34,0.0,0,1,"{597, 598}"
36,0.0,0,1,"{594, 595}"
38,0.0,0,1,"{592, 542}"
41,0.0,0,2,"{586, 587, 588}"
42,100.0,1,1,"{585, 582}"
52,0.0,0,2,"{565, 566, 526}"
60,100.0,1,1,"{425, 555}"
62,0.0,0,1,"{553, 548}"
63,100.0,1,1,"{552, 547}"
93,0.0,0,4,"{352, 491, 368, 311, 509}"
113,66.66666666666666,2,3,"{362, 486, 327}"
115,0.0,0,2,"{476, 484, 127}"
122,100.0,1,1,"{473, 474}"
139,0.0,0,1,"{452, 453}"
143,100.0,1,1,"{442, 445}"
155,50.0,1,2,"{432, 409, 351}"
156,0.0,0,1,"{411, 431}"
161,100.0,1,1,"{426, 419}"
179,0.0,0,2,"{401, 355, 353}"
182,50.0,1,2,"{393, 397, 398}"
198,0.0,0,1,"{361, 379}"
203,0.0,0,1,"{373, 374}"
206,0.0,0,1,"{369, 370}"
216,100.0,1,1,"{356, 309}"
230,0.0,0,1,"{338, 308}"
240,50.0,1,2,"{328, 317, 318}"
241,0.0,0,4,"{320, 323, 324, 325, 326}"
245,0.0,0,1,"{315, 316}"
246,100.0,1,1,"{313, 314}"
268,36.36363636363637,4,11,"{263, 265, 266, 239, 272, 273, 275, 245, 278, 186, 287}"
290,0.0,0,1,"{256, 257}"
308,100.0,1,1,"{234, 236}"
312,0.0,0,1,"{230, 231}"
313,100.0,2,2,"{217, 172, 229}"
314,0.0,0,1,"{227, 228}"
319,0.0,0,1,"{221, 215}"
320,0.0,0,2,"{203, 220, 171}"
337,33.33333333333333,1,3,"{200, 196, 197, 199}"
343,0.0,0,1,"{18, 191}"
344,0.0,0,1,"{187, 189}"
350,0.0,0,1,"{180, 181}"
356,0.0,0,1,"{173, 174}"
361,50.0,1,2,"{155, 165, 166}"
367,100.0,1,1,"{158, 159}"
388,50.0,1,2,"{136, 133, 135}"
390,100.0,1,1,"{130, 132}"
396,33.33333333333333,1,3,"{122, 124, 118, 119}"
397,100.0,1,1,"{121, 123}"
404,57.14285714285714,4,7,"{105, 106, 108, 109, 112, 93, 94}"
405,0.0,0,1,"{68, 111}"
406,0.0,0,2,"{98, 99, 110}"
407,100.0,1,1,"{107, 95}"
411,100.0,1,1,"{100, 101}"
415,0.0,0,1,"{89, 91}"
454,0.0,0,4,"{48, 49, 50, 47}"
460,100.0,1,1,"{40, 41}"
467,0.0,0,1,"{33, 30}"
484,0.0,0,1,"{13, 14}"
