component,percentage,edge_count,max_possible,component_nodes
1,25.0,3,12,"{317, 85, 710, 303}"
3,20.0,4,20,"{673, 708, 620, 627, 668}"
10,50.0,1,2,"{664, 701}"
19,50.0,1,2,"{657, 692}"
26,50.0,1,2,"{680, 685}"
27,50.0,1,2,"{681, 684}"
28,50.0,1,2,"{683, 679}"
30,50.0,1,2,"{674, 678}"
34,50.0,1,2,"{672, 580}"
51,50.0,1,2,"{649, 652}"
54,33.33333333333333,2,6,"{648, 632, 640}"
55,50.0,1,2,"{633, 647}"
56,50.0,1,2,"{646, 631}"
70,50.0,1,2,"{628, 590}"
71,25.0,3,12,"{608, 626, 611, 573}"
73,50.0,1,2,"{624, 592}"
78,25.0,3,12,"{153, 618, 129, 154}"
102,25.0,3,12,"{584, 586, 587, 591}"
104,4.334677419354839,43,992,"{532, 158, 159, 423, 426, 431, 432, 440, 56, 189, 190, 62, 588, 209, 210, 211, 214, 215, 216, 217, 218, 219, 220, 356, 365, 242, 244, 245, 246, 247, 376, 382}"
120,25.0,3,12,"{552, 553, 565, 566}"
121,50.0,1,2,"{328, 564}"
125,50.0,1,2,"{560, 557}"
126,50.0,1,2,"{558, 559}"
145,50.0,1,2,"{536, 438}"
148,50.0,1,2,"{360, 533}"
149,9.090909090909092,10,110,"{416, 417, 130, 516, 178, 531, 147, 405, 151, 412, 414}"
155,33.33333333333333,2,6,"{496, 512, 525}"
156,50.0,1,2,"{524, 301}"
171,33.33333333333333,2,6,"{504, 507, 494}"
172,50.0,1,2,"{506, 500}"
173,50.0,1,2,"{505, 495}"
174,50.0,1,2,"{502, 503}"
179,33.33333333333333,2,6,"{459, 493, 479}"
185,11.11111111111111,8,72,"{70, 391, 487, 45, 142, 367, 110, 371, 84}"
188,50.0,1,2,"{483, 484}"
202,50.0,1,2,"{467, 468}"
214,50.0,1,2,"{252, 453}"
227,7.6923076923076925,12,156,"{160, 439, 1, 3, 298, 177, 145, 86, 311, 186, 188, 61, 255}"
228,50.0,1,2,"{435, 437}"
240,50.0,1,2,"{410, 420}"
242,50.0,1,2,"{401, 418}"
246,12.5,7,56,"{386, 265, 302, 400, 309, 409, 379, 318}"
249,50.0,1,2,"{77, 406}"
277,50.0,1,2,"{369, 327}"
288,50.0,1,2,"{354, 332}"
291,50.0,1,2,"{197, 351}"
300,33.33333333333333,2,6,"{320, 342, 199}"
309,50.0,1,2,"{330, 333}"
315,50.0,1,2,"{296, 323}"
316,50.0,1,2,"{322, 181}"
320,33.33333333333333,2,6,"{315, 277, 239}"
326,50.0,1,2,"{307, 292}"
333,50.0,1,2,"{291, 295}"
338,33.33333333333333,2,6,"{288, 139, 175}"
353,25.0,3,12,"{272, 267, 268, 270}"
354,50.0,1,2,"{269, 271}"
355,7.6923076923076925,12,156,"{256, 257, 128, 131, 164, 165, 262, 263, 135, 38, 266, 101, 149}"
361,50.0,1,2,"{36, 254}"
377,20.0,4,20,"{231, 73, 140, 141, 148}"
396,33.33333333333333,4,12,"{201, 202, 198, 194}"
423,50.0,1,2,"{155, 157}"
427,50.0,1,2,"{146, 122}"
428,20.0,4,20,"{96, 102, 108, 144, 118}"
434,33.33333333333333,2,6,"{32, 72, 133}"
436,50.0,1,2,"{29, 127}"
441,50.0,1,2,"{120, 121}"
442,50.0,1,2,"{89, 119}"
453,50.0,1,2,"{81, 105}"
456,50.0,1,2,"{98, 100}"
473,33.33333333333333,2,6,"{59, 75, 47}"
474,25.0,3,12,"{74, 18, 55, 15}"
478,33.33333333333333,2,6,"{67, 21, 63}"
499,50.0,1,2,"{12, 37}"
