component,percentage,fixes_count,edge_count,component_nodes
1,0.0,0,3,"{317, 85, 710, 303}"
3,0.0,0,4,"{673, 708, 620, 627, 668}"
10,0.0,0,1,"{664, 701}"
19,0.0,0,1,"{657, 692}"
26,0.0,0,1,"{680, 685}"
27,0.0,0,1,"{681, 684}"
28,0.0,0,1,"{683, 679}"
30,0.0,0,1,"{674, 678}"
34,0.0,0,1,"{672, 580}"
51,0.0,0,1,"{649, 652}"
54,0.0,0,2,"{648, 632, 640}"
55,0.0,0,1,"{633, 647}"
56,0.0,0,1,"{646, 631}"
70,0.0,0,1,"{628, 590}"
71,0.0,0,3,"{608, 626, 611, 573}"
73,0.0,0,1,"{624, 592}"
78,33.33333333333333,1,3,"{153, 618, 129, 154}"
102,33.33333333333333,1,3,"{584, 586, 587, 591}"
104,9.30232558139535,4,43,"{532, 158, 159, 423, 426, 431, 432, 440, 56, 189, 190, 62, 588, 209, 210, 211, 214, 215, 216, 217, 218, 219, 220, 356, 365, 242, 244, 245, 246, 247, 376, 382}"
120,0.0,0,3,"{552, 553, 565, 566}"
121,0.0,0,1,"{328, 564}"
125,0.0,0,1,"{560, 557}"
126,0.0,0,1,"{558, 559}"
145,0.0,0,1,"{536, 438}"
148,0.0,0,1,"{360, 533}"
149,0.0,0,10,"{416, 417, 130, 516, 178, 531, 147, 405, 151, 412, 414}"
155,0.0,0,2,"{496, 512, 525}"
156,0.0,0,1,"{524, 301}"
171,0.0,0,2,"{504, 507, 494}"
172,100.0,1,1,"{506, 500}"
173,100.0,1,1,"{505, 495}"
174,100.0,1,1,"{502, 503}"
179,0.0,0,2,"{459, 493, 479}"
185,0.0,0,8,"{70, 391, 487, 45, 142, 367, 110, 371, 84}"
188,0.0,0,1,"{483, 484}"
202,0.0,0,1,"{467, 468}"
214,100.0,1,1,"{252, 453}"
227,0.0,0,12,"{160, 439, 1, 3, 298, 177, 145, 86, 311, 186, 188, 61, 255}"
228,0.0,0,1,"{435, 437}"
240,0.0,0,1,"{410, 420}"
242,100.0,1,1,"{401, 418}"
246,0.0,0,7,"{386, 265, 302, 400, 309, 409, 379, 318}"
249,0.0,0,1,"{77, 406}"
277,100.0,1,1,"{369, 327}"
288,0.0,0,1,"{354, 332}"
291,0.0,0,1,"{197, 351}"
300,0.0,0,2,"{320, 342, 199}"
309,0.0,0,1,"{330, 333}"
315,0.0,0,1,"{296, 323}"
316,0.0,0,1,"{322, 181}"
320,0.0,0,2,"{315, 277, 239}"
326,100.0,1,1,"{307, 292}"
333,0.0,0,1,"{291, 295}"
338,0.0,0,2,"{288, 139, 175}"
353,0.0,0,3,"{272, 267, 268, 270}"
354,0.0,0,1,"{269, 271}"
355,0.0,0,12,"{256, 257, 128, 131, 164, 165, 262, 263, 135, 38, 266, 101, 149}"
361,0.0,0,1,"{36, 254}"
377,0.0,0,4,"{231, 73, 140, 141, 148}"
396,50.0,2,4,"{201, 202, 198, 194}"
423,0.0,0,1,"{155, 157}"
427,0.0,0,1,"{146, 122}"
428,0.0,0,4,"{96, 102, 108, 144, 118}"
434,50.0,1,2,"{32, 72, 133}"
436,0.0,0,1,"{29, 127}"
441,0.0,0,1,"{120, 121}"
442,0.0,0,1,"{89, 119}"
453,0.0,0,1,"{81, 105}"
456,0.0,0,1,"{98, 100}"
473,0.0,0,2,"{59, 75, 47}"
474,0.0,0,3,"{74, 18, 55, 15}"
478,0.0,0,2,"{67, 21, 63}"
499,0.0,0,1,"{12, 37}"
